arch,hazard_cost,num_steps,run_idx,seed,flag_type,flag_coord,flag_id,flag_set_step,confirming_observations,disconfirming_observations,last_confirmation_step,last_observation_step,transformed_at_step,derived_knowledge_flag_id,derived_from_threat_flag_id
v1_10,0.1,320000,5,248131594,mastery,att_free_2,mastery:att_free_2,251323,2,0,251325,251325,,,
v1_10,0.1,320000,5,248131594,knowledge_banking,haz_unaff_2,knowledge_banking:haz_unaff_2,251332,0,0,,251332,,,
v1_10,0.1,320000,5,248131594,mastery,att_free_3,mastery:att_free_3,251336,16,0,251353,251353,,,
v1_10,0.1,320000,6,1915669724,mastery,att_free_3,mastery:att_free_3,519,0,0,,519,,,
v1_10,0.1,320000,6,1915669724,knowledge_banking,haz_unaff_2,knowledge_banking:haz_unaff_2,523,0,0,,523,,,
v1_10,0.1,320000,6,1915669724,mastery,att_free_1,mastery:att_free_1,527,0,0,,527,,,
v1_10,0.1,320000,6,1915669724,mastery,att_yellow,mastery:att_yellow,531,4,0,535,535,,,
v1_10,0.1,320000,6,1915669724,knowledge_banking,haz_yellow,knowledge_banking:haz_yellow,7689,0,0,,7689,,,
v1_10,0.1,320000,6,1915669724,knowledge_banking,haz_unaff_0,knowledge_banking:haz_unaff_0,15908,0,0,,15908,,,
v1_10,0.1,320000,6,1915669724,knowledge_banking,haz_unaff_1,knowledge_banking:haz_unaff_1,15911,7,0,15918,15918,,,
v1_10,0.1,320000,6,1915669724,mastery,att_free_2,mastery:att_free_2,136919,10,0,136929,136929,,,
v1_10,0.1,320000,6,1915669724,mastery,att_green,mastery:att_green,136937,15,0,312953,312953,,,
v1_10,0.1,320000,7,1535063093,mastery,att_free_1,mastery:att_free_1,522,0,0,,522,,,
v1_10,0.1,320000,7,1535063093,mastery,att_yellow,mastery:att_yellow,526,23,0,549,549,,,
v1_10,0.1,320000,7,1535063093,knowledge_banking,haz_unaff_2,knowledge_banking:haz_unaff_2,557,20,0,304935,304935,,,
v1_10,0.1,320000,7,1535063093,mastery,att_free_2,mastery:att_free_2,7519,1,0,7520,7520,,,
v1_10,0.1,320000,7,1535063093,mastery,att_green,mastery:att_green,7527,4,0,7531,7531,,,
v1_10,0.1,320000,7,1535063093,knowledge_banking,haz_yellow,knowledge_banking:haz_yellow,7539,0,0,,7539,,,
v1_10,0.1,320000,7,1535063093,knowledge_banking,haz_unaff_0,knowledge_banking:haz_unaff_0,7543,0,0,,7543,,,
v1_10,0.1,320000,7,1535063093,knowledge_banking,haz_unaff_1,knowledge_banking:haz_unaff_1,7546,7,0,7553,7553,,,
v1_10,0.1,320000,7,1535063093,knowledge_banking,haz_green,knowledge_banking:haz_green,7560,0,0,,7560,,,
v1_10,0.1,320000,8,1154456462,mastery,att_free_1,mastery:att_free_1,518,5,0,75363,75363,,,
v1_10,0.1,320000,8,1154456462,knowledge_banking,haz_unaff_2,knowledge_banking:haz_unaff_2,522,6,0,50708,50708,,,
v1_10,0.1,320000,8,1154456462,mastery,att_free_2,mastery:att_free_2,53903,0,0,,53903,,,
v1_10,0.1,320000,8,1154456462,mastery,att_green,mastery:att_green,53911,53501,0,319999,319999,,,
v1_10,0.1,320000,8,1154456462,mastery,att_free_0,mastery:att_free_0,55102,20,0,55122,55122,,,
v1_10,0.1,320000,8,1154456462,mastery,att_yellow,mastery:att_yellow,55129,84,0,92950,92950,,,
v1_10,0.1,320000,8,1154456462,knowledge_banking,haz_yellow,knowledge_banking:haz_yellow,56456,0,0,,56456,,,
v1_10,0.1,320000,8,1154456462,knowledge_banking,haz_unaff_0,knowledge_banking:haz_unaff_0,56462,8,0,56477,56477,,,
v1_10,0.1,320000,8,1154456462,knowledge_banking,haz_unaff_1,knowledge_banking:haz_unaff_1,56463,7,0,56478,56478,,,
v1_10,0.1,320000,8,1154456462,knowledge_banking,haz_green,knowledge_banking:haz_green,56496,0,0,,56496,,,
v1_10,0.1,320000,8,1154456462,end_state_activation,,end_state_activation,56496,263503,0,319999,319999,,,
v1_10,0.1,320000,8,1154456462,end_state_banking,att_free_3,end_state_banking:att_free_3,56499,510,0,57083,57083,,,
