hazard_mode,hazard_cost,p3_concentration,p3_attractor_ratio,p2_attractor_ratio,mastered_count,top_on_attractor,top_near_attractor,top_attractor,hazard_entries_p1,hazard_entries_p2,hazard_entries_p3,hazard_entries_total,total_cost_incurred,rule_violated_total,rule_violated_p3,frame_attempts_total,hazard_attempts_total
cost_no_aversion,0.1,93.940515625,24.1617578125,17.111098335580664,226,5,5,"(16, 3)",0,63,0,63,6.299999999999994,1,0,0,0
cost_no_aversion,0.1,146.077078125,24.346179687499998,18.40985237293864,194,3,3,"(15, 16)",0,467,60,527,52.70000000000048,1,1,0,0
cost_no_aversion,0.1,146.206671875,24.36777864583333,21.032924284076696,136,5,5,"(3, 3)",0,316,0,316,31.60000000000018,1,0,0,0
cost_no_aversion,0.1,145.847796875,24.30796614583333,23.550406436079953,75,2,5,"(15, 16)",0,505,52,557,55.70000000000052,1,1,0,0
cost_no_aversion,0.1,107.63259375,18.055067708333333,19.810861755985044,176,4,5,"(16, 3)",0,33,18,51,5.099999999999998,1,1,0,0
cost_no_aversion,0.1,142.08459375,23.680765625,20.17208987934092,132,4,4,"(4, 15)",0,69,1,70,6.999999999999991,1,0,0,0
cost_no_aversion,0.1,146.445921875,24.40765364583333,16.29416704122199,217,3,4,"(15, 16)",0,247,59,306,30.600000000000165,1,1,0,0
cost_no_aversion,0.1,138.33634375,23.056057291666665,22.16162323567021,122,2,4,"(15, 16)",0,48,10,58,5.799999999999995,1,1,0,0
cost_no_aversion,0.1,123.428078125,21.233437499999997,21.388039316114238,148,4,5,"(15, 16)",0,206,7,213,21.300000000000033,1,1,0,0
cost_no_aversion,0.1,144.521953125,24.086992187499998,18.394847512430008,148,3,4,"(4, 15)",0,135,0,135,13.499999999999968,1,0,0,0
cost_no_aversion,0.5,141.302046875,22.5418359375,14.834805422864248,245,5,5,"(4, 15)",0,21,0,21,10.5,1,0,0,0
cost_no_aversion,0.5,75.38368750000001,13.913052083333334,21.417493301557105,156,3,4,"(16, 3)",0,4,3,7,3.5,1,1,0,0
cost_no_aversion,0.5,134.69775,23.375888020833333,17.859118418714527,224,5,5,"(11, 5)",0,30,4,34,17.0,1,1,0,0
cost_no_aversion,0.5,146.05215625,24.429252604166667,19.52910381976746,157,5,5,"(16, 3)",0,0,0,0,0.0,0,0,0,0
cost_no_aversion,0.5,121.09040625,21.132088541666665,18.601025410530056,199,4,5,"(3, 3)",0,34,51,85,42.5,1,1,0,0
cost_no_aversion,0.5,138.65534375000001,23.001229166666665,17.735745121199134,220,5,5,"(4, 15)",0,24,0,24,12.0,1,0,0,0
cost_no_aversion,0.5,145.59359375,24.26559895833333,22.380027316406917,124,4,5,"(15, 16)",0,40,2,42,21.0,1,0,0,0
cost_no_aversion,0.5,116.36521875,23.523757812499998,19.270131042100015,225,5,5,"(3, 3)",0,21,0,21,10.5,1,0,0,0
cost_no_aversion,0.5,102.2395,23.816174479166666,19.952574327455427,184,5,5,"(4, 15)",0,3,0,3,1.5,1,0,0,0
cost_no_aversion,0.5,142.31885937500002,23.719809895833333,19.54077426682973,191,5,5,"(3, 3)",0,37,0,37,18.5,1,0,0,0
cost_no_aversion,1.0,146.51570312500002,24.419283854166665,22.321119345521186,81,2,3,"(4, 15)",0,2,0,2,2.0,0,0,0,0
cost_no_aversion,1.0,140.3799375,23.607661458333332,21.698695502200295,138,5,5,"(11, 5)",0,2,0,2,2.0,0,0,0,0
cost_no_aversion,1.0,145.69328125,24.282213541666664,20.757835174751836,123,3,4,"(4, 15)",0,14,0,14,14.0,1,0,0,0
cost_no_aversion,1.0,145.48892187500002,24.327072916666665,18.752741222339523,185,3,5,"(15, 16)",0,33,33,66,66.0,1,1,0,0
cost_no_aversion,1.0,142.1145,23.793744791666665,18.97447971652259,156,4,5,"(11, 5)",0,36,0,36,36.0,1,0,0,0
cost_no_aversion,1.0,143.046578125,24.001427083333333,19.91200563052469,179,5,5,"(9, 10)",0,7,0,7,7.0,1,0,0,0
cost_no_aversion,1.0,143.908875,23.9848125,20.551657276651788,114,1,4,"(4, 15)",0,0,0,0,0.0,0,0,0,0
cost_no_aversion,1.0,146.13190625000001,24.32375,22.118275860867502,83,1,4,"(4, 15)",0,0,0,0,0.0,0,0,0,0
