arch,run_idx,seed,hazard_cost,num_steps,phase_1_end_step,phase_2_end_step,time_to_first_flag,time_to_second_flag,time_to_final_flag,total_cost_incurred,time_to_first_mastery,time_to_final_mastery,mastery_order_sequence,activation_step,end_state_found_step,end_state_banked,time_to_first_transition,time_to_final_transition,transition_order_sequence,knowledge_banked_sequence,yellow_pre_transition_entries,green_pre_transition_entries,unaffiliated_pre_transition_entries,yellow_resolution_window,green_resolution_window,total_prediction_error_events,prediction_error_complete,goal_type,goal_target_id,goal_step_budget,goal_resolved,goal_resolution_step,goal_budget_remaining,goal_expired,goal_last_progress_step,goal_resolution_window,goal_progress_event_count,suppressed_approach_count,goal_relevant_suppressed_count,suppressed_approach_objects,cf_records_raw,cf_records_emitted,cf_exclusion_rate,end_state_draw_active,end_state_banked_step,steps_draw_to_bank,revised_expectation_count,causal_chain_count,mean_chain_depth,complete_chain_count,q5_statement_count,env2_ran
v1_11,0,496635339,1.0,320000,515,192000,,,,1.0,520,684,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_3', 'att_green']",,,False,520,684,"['haz_unaff_0', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_1', 'haz_green']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2']",1,0,0,31,,1,True,locate_family,GREEN,160000,False,,,True,684,159316,1,772,243,"dist_green,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",960,772,0.1958,False,,,1,1,6.0,1,1,False
v1_11,1,16689821,1.0,320000,515,192000,,,,1.0,518,15636,"['att_free_1', 'att_yellow', 'att_free_3', 'att_green', 'att_free_0']",,,False,518,4341,"['haz_unaff_0', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_1', 'haz_green']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1']",1,0,0,29,,1,True,locate_family,YELLOW,160000,True,15646,144354,False,,,1,924,291,"dist_yellow,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1217,924,0.2408,False,,,1,1,6.0,1,1,False
v1_11,2,1783566838,1.0,320000,515,192000,,,,1.0,518,570,"['att_free_1', 'att_free_3', 'att_free_2', 'att_yellow']",,,False,518,570,"['haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1', 'haz_yellow']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1']",1,0,0,77,,1,True,bank_hazard_within_budget,haz_green,160000,False,,,True,,,0,709,155,"haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",899,709,0.2113,False,,,1,1,6.0,1,1,False
v1_11,3,1303621320,1.0,320000,515,192000,,,,1.0,518,21948,"['att_free_1', 'att_free_2', 'att_green']",,,False,518,21948,"['haz_unaff_2', 'haz_unaff_0', 'haz_green', 'haz_unaff_1']","['haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1', 'haz_green']",1,0,0,,,1,True,locate_family,GREEN,160000,True,24885,135115,False,,,1,689,245,"dist_green,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",869,689,0.2071,False,,,0,0,0.0,0,0,False
v1_11,4,923014689,1.0,320000,515,192000,,,,1.0,518,153995,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_2', 'att_green']",,,False,518,153995,"['haz_unaff_0', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_1', 'haz_green']","['haz_unaff_2', 'haz_unaff_0', 'haz_yellow']",1,0,0,29,,1,True,locate_family,YELLOW,160000,False,,,True,522,159478,1,742,287,"dist_yellow,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",962,742,0.2287,False,,,1,1,6.0,1,1,False
v1_11,5,542408058,1.0,320000,515,192000,,,,1.0,1075,19599,"['att_yellow', 'att_free_2', 'att_free_3', 'att_free_0']",,,False,1075,5551,"['haz_unaff_1', 'haz_yellow', 'haz_unaff_2', 'haz_unaff_0']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1']",1,0,0,582,,1,True,bank_hazard_within_budget,haz_green,160000,False,,,True,,,0,677,145,"haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",877,677,0.2281,False,,,1,1,6.0,1,1,False
v1_11,6,62462540,1.0,320000,515,192000,,,,1.0,519,21577,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_2']",,,False,519,536,"['haz_unaff_1', 'haz_unaff_0', 'haz_yellow', 'haz_unaff_2']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2']",1,0,0,30,,1,True,locate_family,GREEN,160000,False,,,True,,,0,799,264,"dist_green,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",988,799,0.1913,False,,,1,1,6.0,1,1,False
v1_11,7,1829339557,1.0,320000,515,192000,,,,2.0,518,21820,"['att_free_1', 'att_yellow', 'att_free_2', 'att_green', 'att_free_0', 'att_free_3']",143,144,True,518,15428,"['haz_unaff_0', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_1', 'haz_green']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_green']",1,0,0,30,,1,True,locate_family,YELLOW,160000,False,,,True,523,159477,1,1094,392,"dist_yellow,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",2071,1094,0.4718,True,310155,310012,1,0,0.0,0,0,True
v1_11,8,1349394039,1.0,320000,515,192000,,,,1.0,518,15753,"['att_free_1', 'att_free_3', 'att_green', 'att_yellow', 'att_free_0', 'att_free_2']",52,53,True,518,22983,"['haz_unaff_2', 'haz_unaff_0', 'haz_green', 'haz_unaff_1', 'haz_yellow']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_1', 'haz_unaff_0', 'haz_green']",1,0,0,22490,,1,True,bank_hazard_within_budget,haz_green,160000,True,555,159445,False,,,0,920,179,"haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1427,920,0.3553,True,23235,23183,1,0,0.0,0,0,True
v1_11,9,968787408,1.0,320000,515,192000,,,,1.0,518,8894,"['att_free_1', 'att_yellow', 'att_free_0', 'att_green', 'att_free_2', 'att_free_3']",20,21,True,518,570,"['haz_unaff_0', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_1', 'haz_green']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2', 'haz_green']",1,0,0,30,,1,True,locate_family,GREEN,160000,True,21501,138499,False,,,1,957,294,"dist_green,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1470,957,0.349,True,21506,21486,1,0,0.0,0,0,True
