arch,run_idx,seed,hazard_cost,flag_id,flag_type,flag_set_step
e_1,532,0,0,,532,,,
v1_13,0.1,500000,4,628738225,mastery,att_free_3,mastery:att_free_3,26656,4,0,26660,26660,,,
v1_13,0.1,500000,4,628738225,mastery,att_green,mastery:att_green,71215,19,0,73977,73977,,,
v1_13,0.1,500000,4,628738225,threat,haz_unaff_2,threat:haz_unaff_2,161326,1,0,260948,260948,,,
v1_13,0.1,500000,4,628738225,threat,haz_yellow,threat:haz_yellow,260948,0,0,,260948,,,
v1_13,0.1,500000,5,248131594,mastery,att_free_1,mastery:att_free_1,530,0,0,,530,,,
v1_13,0.1,500000,5,248131594,mastery,att_yellow,mastery:att_yellow,534,8,0,542,542,,,
v1_13,0.1,500000,5,248131594,knowledge_banking,haz_yellow,knowledge_banking:haz_yellow,11678,0,0,,11678,,,
v1_13,0.1,500000,5,248131594,knowledge_banking,haz_unaff_0,knowledge_banking:haz_unaff_0,11684,9,0,11702,11702,,,
v1_13,0.1,500000,5,248131594,knowledge_banking,haz_unaff_1,knowledge_banking:haz_unaff_1,11685,9,0,11703,11703,,,
v1_13,0.1,500000,5,248131594,mastery,att_free_2,mastery:att_free_2,251335,2,0,251337,251337,,,
v1_13,0.1,500000,5,248131594,knowledge_banking,haz_unaff_2,knowledge_banking:haz_unaff_2,251344,0,0,,251344,,,
v1_13,0.1,500000,5,248131594,mastery,att_free_3,mastery:att_free_3,251348,16,0,251365,251365,,,
v1_13,0.1,500000,6,1915669724,mastery,att_free_3,mastery:att_free_3,531,0,0,,531,,,
v1_13,0.1,500000,6,1915669724,knowledge_banking,haz_unaff_2,knowledge_banking:haz_unaff_2,535,0,0,,535,,,
v1_13,0.1,500000,6,1915669724,mastery,att_free_1,mastery:att_free_1,539,0,0,,539,,,
v1_13,0.1,500000,6,1915669724,mastery,att_yellow,mastery:att_yellow,543,4,0,547,547,,,
v1_13,0.1,500000,6,1915669724,knowledge_banking,haz_yellow,knowledge_banking:haz_yellow,7701,0,0,,7701,,,
v1_13,0.1,500000,6,1915669724,knowledge_banking,haz_unaff_0,knowledge_banking:haz_unaff_0,15920,0,0,,15920,,,
v1_13,0.1,500000,6,1915669724,knowledge_banking,haz_unaff_1,knowledge_banking:haz_unaff_1,15923,7,0,15930,15930,,,
v1_13,0.1,500000,6,1915669724,mastery,att_free_2,mastery:att_free_2,136931,10,0,136941,136941,,,
