arch,run_idx,agent,seed,hazard_cost,observation_step,observer_pos,observed_agent,observed_agent_pos,object_id,predicted_record_pre_state,predicted_record_post_state
v1_15_1,0,a,202358875,0.1,203513,"(3.0, 8.0, 10.0)",b,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_1,1,b,1869917005,0.1,77050,"(5.0, 7.0, 8.0)",a,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_1,3,a,1108683743,0.1,93,"(7.0, 5.0, 10.0)",b,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_1,4,a,628738225,0.1,638,"(5.0, 5.0, 8.0)",b,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_1,9,b,674530944,0.1,3968,"(7.0, 5.0, 10.0)",a,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_1,10,b,20010,1.0,87,"(7.0, 5.0, 10.0)",a,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_1,11,a,1010,1.0,63,"(6.0, 5.0, 9.0)",b,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_1,11,b,21010,1.0,64,"(5.0, 6.0, 10.0)",a,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_1,13,b,23010,1.0,683,"(4.0, 8.0, 10.0)",a,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_1,14,b,24010,1.0,118,"(5.0, 8.0, 9.0)",a,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_1,16,a,6010,1.0,203750,"(7.0, 7.0, 9.0)",b,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_1,17,b,27010,1.0,65,"(6.0, 4.0, 9.0)",a,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_1,18,b,28010,1.0,91,"(5.0, 5.0, 8.0)",a,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_1,20,a,20,2.0,12137,"(5.0, 4.0, 9.0)",b,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_1,23,a,3020,2.0,169674,"(5.0, 5.0, 8.0)",b,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_1,24,b,24020,2.0,83735,"(5.0, 5.0, 8.0)",a,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_1,25,b,25020,2.0,35496,"(3.0, 6.0, 8.0)",a,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_1,26,a,6020,2.0,238293,"(6.0, 6.0, 8.0)",b,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_1,28,a,8020,2.0,2738,"(4.0, 4.0, 8.0)",b,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_1,29,a,9020,2.0,1216,"(5.0, 5.0, 8.0)",b,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_1,32,b,22100,10.0,662999,"(7.0, 5.0, 10.0)",a,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_1,33,b,23100,10.0,56386,"(5.0, 9.0, 10.0)",a,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_1,34,b,24100,10.0,31515,"(4.0, 4.0, 8.0)",a,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_1,38,a,8100,10.0,31034,"(5.0, 4.0, 8.0)",b,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
v1_15_1,39,a,9100,10.0,96,"(5.0, 4.0, 10.0)",b,"(5.0, 6.0, 10.0)",att_blue,predicted,socially_corroborated
