arch,hazard_cost,num_steps,run_idx,seed,flag_type,flag_coord,flag_id,flag_set_step,confirming_observations,disconfirming_observations,last_confirmation_step,last_observation_step,transformed_at_step,derived_knowledge_flag_id,derived_from_threat_flag_id
v1_8,0.1,320000,7,1535063093,knowledge_banking,haz_unaff_0,knowledge_banking:haz_unaff_0,546,0,0,,546,,,
v1_8,0.1,320000,7,1535063093,knowledge_banking,haz_unaff_2,knowledge_banking:haz_unaff_2,940,1,0,1537,1537,,,
v1_8,0.1,320000,7,1535063093,mastery,att_free_2,mastery:att_free_2,7488,1,0,7489,7489,,,
v1_8,0.1,320000,7,1535063093,mastery,att_green,mastery:att_green,7496,203,0,307867,307867,,,
v1_8,0.1,320000,8,1154456462,mastery,att_free_1,mastery:att_free_1,518,0,0,,518,,,
v1_8,0.1,320000,8,1154456462,knowledge_banking,haz_unaff_2,knowledge_banking:haz_unaff_2,522,6,0,50708,50708,,,
v1_8,0.1,320000,8,1154456462,mastery,att_free_2,mastery:att_free_2,53903,0,0,,53903,,,
v1_8,0.1,320000,8,1154456462,mastery,att_green,mastery:att_green,53911,53528,0,319996,319996,,,
v1_8,0.1,320000,8,1154456462,mastery,att_free_0,mastery:att_free_0,55102,20,0,55122,55122,,,
v1_8,0.1,320000,8,1154456462,mastery,att_yellow,mastery:att_yellow,55129,0,0,,55129,,,
v1_8,0.1,320000,8,1154456462,knowledge_banking,haz_yellow,knowledge_banking:haz_yellow,56456,0,0,,56456,,,
v1_8,0.1,320000,8,1154456462,knowledge_banking,haz_unaff_0,knowledge_banking:haz_unaff_0,56462,8,0,56477,56477,,,
v1_8,0.1,320000,8,1154456462,knowledge_banking,haz_unaff_1,knowledge_banking:haz_unaff_1,56463,7,0,56478,56478,,,
v1_8,0.1,320000,8,1154456462,knowledge_banking,haz_green,knowledge_banking:haz_green,56496,0,0,,56496,,,
v1_8,0.1,320000,8,1154456462,end_state_activation,,end_state_activation,56496,263503,0,319999,319999,,,
v1_8,0.1,320000,8,1154456462,end_state_banking,att_free_3,end_state_banking:att_free_3,56499,17,0,56529,56529,,,
v1_8,0.1,320000,9,674510944,mastery,att_free_1,mastery:att_free_1,518,0,0,,518,,,
v1_8,0.1,320000,9,674510944,mastery,att_yellow,mastery:att_yellow,522,0,0,,522,,,
v1_8,0.1,320000,9,674510944,knowledge_banking,haz_yellow,knowledge_banking:haz_yellow,4925,0,0,,4925,,,
v1_8,0.1,320000,9,674510944,knowledge_banking,haz_unaff_1,knowledge_banking:haz_unaff_1,4932,2,0,4937,4937,,,
v1_8,0.1,320000,9,674510944,knowledge_banking,haz_unaff_0,knowledge_banking:haz_unaff_0,4934,2,0,4938,4938,,,
v1_8,0.1,320000,9,674510944,mastery,att_free_3,mastery:att_free_3,4970,0,0,,4970,,,
v1_8,0.1,320000,9,674510944,knowledge_banking,haz_unaff_2,knowledge_banking:haz_unaff_2,4974,2,0,4976,4976,,,
v1_8,0.1,320000,9,674510944,mastery,att_free_2,mastery:att_free_2,5023,4,0,5027,5027,,,
v1_8,1.0,320000,0,496635339,mastery,att_free_1,mastery:att_free_1,520,0,0,,520,,,
v1_8,1.0,320000,0,496635339,mastery,att_yellow,mastery:att_yellow,524,0,0,,524,,,
v1_8,1.0,320000,0,496635339,mastery,att_free_0,mastery:att_free_0,532,0,0,,532,,,
v1_8,1.0,320000,0,496635339,knowledge_banking,haz_yellow,knowledge_banking:haz_yellow,537,0,0,,537,,,
v1_8,1.0,320000,0,496635339,knowledge_banking,haz_unaff_0,knowledge_banking:haz_unaff_0,541,0,0,,541,,,
v1_8,1.0,320000,0,496635339,knowledge_banking,haz_unaff_1,knowledge_banking:haz_unaff_1,544,1,0,545,545,,,
v1_8,1.0,320000,0,496635339,knowledge_banking,haz_unaff_2,knowledge_banking:haz_unaff_2,632,0,0,,632,,,
v1_8,1.0,320000,0,496635339,mastery,att_free_3,mastery:att_free_3,636,1,0,637,637,,,
v1_8,1.0,320000,0,496635339,mastery,att_green,mastery:att_green,684,6,0,690,690,,,
v1_8,1.0,320000,1,16689821,mastery,att_free_1,mastery:att_free_1,518,0,0,,518,,,
v1_8,1.0,320000,1,16689821,mastery,att_yellow,mastery:att_yellow,522,0,0,,522,,,
v1_8,1.0,320000,1,16689821,knowledge_banking,haz_unaff_2,knowledge_banking:haz_unaff_2,529,0,0,,529,,,
v1_8,1.0,320000,1,16689821,mastery,att_free_3,mastery:att_free_3,536,4,0,542,542,,,
v1_8,1.0,320000,1,16689821,mastery,att_green,mastery:att_green,4336,8,0,4344,4344,,,
v1_8,1.0,320000,1,16689821,knowledge_banking,haz_yellow,knowledge_banking:haz_yellow,37336,0,0,,37336,,,
v1_8,1.0,320000,1,16689821,knowledge_banking,haz_unaff_0,knowledge_banking:haz_unaff_0,37342,14,0,37383,37383,,,
v1_8,1.0,320000,1,16689821,knowledge_banking,haz_unaff_1,knowledge_banking:haz_unaff_1,37345,16,0,37384,37384,,,
v1_8,1.0,320000,1,16689821,mastery,att_free_0,mastery:att_free_0,37407,8,0,37415,37415,,,
v1_8,1.0,320000,2,1783566838,mastery,att_free_1,mastery:att_free_1,518,0,0,,518,,,
v1_8,1.0,320000,2,1783566838,knowledge_banking,haz_unaff_2,knowledge_banking:haz_unaff_2,523,0,0,,523,,,
v1_8,1.0,320000,2,1783566838,mastery,att_free_3,mastery:att_free_3,527,6,0,533,533,,,
v1_8,1.0,320000,2,1783566838,mastery,att_free_2,mastery:att_free_2,546,16,0,562,562,,,
v1_8,1.0,320000,2,1783566838,mastery,att_yellow,mastery:att_yellow,570,0,0,,570,,,
v1_8,1.0,320000,2,1783566838,knowledge_banking,haz_yellow,knowledge_banking:haz_yellow,11417,0,0,,11417,,,
v1_8,1.0,320000,2,1783566838,knowledge_banking,haz_unaff_0,knowledge_banking:haz_unaff_0,11422,0,0,,11422,,,
