arch,run_idx,seed,hazard_cost,num_steps,total_statements,statements_q1,statements_q2,statements_q3,statements_q4,statements_q5,hallucination_count,q1_formation_depth,q3_surprise_cells,q3_resolution_stated,report_complete,statements_with_relevance_markers,goal_statement_present,goal_resolution_stated,q4_statement_count,suppressed_approach_count,goal_relevant_suppressed_count,br_statement_count,revised_expectation_count,mean_approach_delta,bias_effective,cf_records_raw,cf_records_emitted,cf_exclusion_rate,end_state_draw_active,end_state_banked_step,causal_chain_count,mean_chain_depth,complete_chain_count,q5_statement_count,predicted_record_written,predicted_record_state
v1_13_4,0,202358875,0.1,500000,1460,10,0,0,0,2,0,10,0,0,True,0,True,True,0,1431,324,0,1,838.0,True,1810,1431,0.2094,False,,1,6.0,1,2,True,predicted
v1_13_4,1,1869897005,0.1,500000,1517,9,0,0,0,1,0,9,0,0,True,0,True,False,0,1490,407,0,1,893.0,True,1830,1490,0.1858,False,,1,6.0,1,1,False,
v1_13_4,2,1489290374,0.1,500000,1185,10,0,0,0,2,0,10,0,0,True,0,True,True,0,1156,183,0,1,979.0,True,1599,1156,0.277,False,,1,6.0,1,2,True,predicted
v1_13_4,3,1108683743,0.1,500000,1391,10,0,0,0,2,0,10,0,0,True,0,True,False,0,1364,411,0,1,1054.0,True,1669,1364,0.1827,False,,1,6.0,1,2,True,predicted
v1_13_4,4,628738225,0.1,500000,1537,9,0,0,0,2,0,9,0,0,True,0,True,True,0,1511,381,0,1,886.0,True,1854,1511,0.185,False,,1,6.0,1,2,True,predicted
v1_13_4,5,248131594,0.1,500000,1502,8,0,0,0,1,0,8,0,0,True,0,True,False,0,1479,267,0,1,880.0,True,1890,1479,0.2175,False,,1,6.0,1,1,False,
v1_13_4,6,1915669724,0.1,500000,1483,9,0,0,0,2,0,9,0,0,True,0,True,False,0,1457,315,0,1,888.0,True,1822,1457,0.2003,False,,1,6.0,1,2,True,predicted
v1_13_4,7,1535063093,0.1,500000,1487,9,0,0,0,2,0,9,0,0,True,0,True,False,0,1459,481,0,1,1036.0,True,1829,1459,0.2023,False,,1,6.0,1,2,True,predicted
v1_13_4,8,1154456462,0.1,500000,2956,10,0,0,0,2,0,10,0,0,True,0,True,True,0,2927,468,0,1,965.0,True,19078,2927,0.8466,False,,1,6.0,1,2,True,predicted
v1_13_4,9,674510944,0.1,500000,1676,8,0,0,0,1,0,8,0,0,True,0,True,False,0,1653,459,0,1,873.0,True,2096,1653,0.2114,False,,1,6.0,1,1,False,
v1_13_4,10,496635339,1.0,500000,1479,10,0,0,0,2,0,10,0,0,True,0,True,True,0,1452,440,0,1,971.0,True,1758,1452,0.1741,False,,1,6.0,1,2,True,predicted
v1_13_4,11,16689821,1.0,500000,1320,10,0,0,0,2,0,10,0,0,True,0,True,True,0,1293,223,0,1,984.0,True,1590,1293,0.1868,False,,1,6.0,1,2,True,predicted
v1_13_4,12,1783566838,1.0,500000,1632,8,0,0,0,1,0,8,0,0,True,0,True,False,0,1609,458,0,1,849.0,True,1978,1609,0.1866,False,,1,6.0,1,1,False,
v1_13_4,13,1303621320,1.0,500000,1519,7,0,0,0,0,0,7,0,0,True,0,True,False,0,1498,451,0,0,0.0,False,1869,1498,0.1985,False,,0,0.0,0,0,False,
v1_13_4,14,923014689,1.0,500000,1471,9,0,0,0,2,0,9,0,0,True,0,True,True,0,1443,205,0,1,913.0,True,3806,1443,0.6209,False,,1,6.0,1,2,True,predicted
v1_13_4,15,542408058,1.0,500000,1510,8,0,0,0,1,0,8,0,0,True,0,True,False,0,1487,478,0,1,955.0,True,1848,1487,0.1953,False,,1,6.0,1,1,False,
v1_13_4,16,62462540,1.0,500000,1371,8,0,0,0,1,0,8,0,0,True,0,True,True,0,1348,440,0,1,957.0,True,1645,1348,0.1805,False,,1,6.0,1,1,False,
v1_13_4,17,1829339557,1.0,500000,1601,10,0,0,0,2,0,10,0,0,True,0,True,True,0,1572,204,0,1,964.0,True,2218,1572,0.2913,False,,1,6.0,1,2,True,predicted
v1_13_4,18,1349394039,1.0,500000,1559,11,0,0,0,2,0,11,0,0,True,0,True,True,0,1529,449,0,1,977.0,True,1903,1529,0.1965,False,,1,6.0,1,2,True,predicted
v1_13_4,19,968787408,1.0,500000,1652,10,0,0,0,2,0,10,0,0,True,0,True,True,0,1623,494,0,1,987.0,True,2357,1623,0.3114,False,,1,6.0,1,2,True,predicted
v1_13_4,20,271697600,2.0,500000,1332,10,0,0,0,2,0,10,0,0,True,0,True,True,0,1303,233,0,1,1004.0,True,1685,1303,0.2267,False,,1,6.0,1,2,True,predicted
v1_13_4,21,1939235730,2.0,500000,1673,10,0,0,0,2,0,10,0,0,True,0,True,True,0,1644,472,0,1,1200.0,True,2188,1644,0.2486,False,,1,6.0,1,2,True,predicted
v1_13_4,22,1558629099,2.0,500000,1436,10,0,0,0,2,0,10,0,0,True,0,True,True,0,1409,404,0,1,939.0,True,1712,1409,0.177,False,,1,6.0,1,2,True,predicted
v1_13_4,23,1178022468,2.0,500000,1160,3,0,0,0,0,0,3,0,0,True,0,True,False,0,1145,171,0,0,0.0,False,1391,1145,0.1769,False,,0,0.0,0,0,False,
v1_13_4,24,698076950,2.0,500000,2015,8,0,0,0,1,0,8,0,0,True,0,True,False,0,1992,603,0,1,928.0,True,2676,1992,0.2556,False,,1,6.0,1,1,False,
v1_13_4,25,317470319,2.0,500000,1459,10,0,0,0,2,0,10,0,0,True,0,True,True,0,1430,412,0,1,997.0,True,1740,1430,0.1782,False,,1,6.0,1,2,True,predicted
v1_13_4,26,1985008449,2.0,500000,1426,10,0,0,0,2,0,10,0,0,True,0,True,True,0,1397,197,0,1,943.0,True,1782,1397,0.216,False,,1,6.0,1,2,True,predicted
v1_13_4,27,1604401818,2.0,500000,1806,10,0,0,0,2,0,10,0,0,True,0,True,True,0,1777,512,0,1,893.0,True,2288,1777,0.2233,False,,1,6.0,1,2,True,predicted
v1_13_4,28,1124456300,2.0,500000,1345,8,0,0,0,1,0,8,0,0,True,0,True,True,0,1322,332,0,1,907.0,True,1617,1322,0.1824,False,,1,6.0,1,1,False,
v1_13_4,29,743849669,2.0,500000,1135,7,0,0,0,0,0,7,0,0,True,0,True,False,0,1114,182,0,0,0.0,False,1361,1114,0.1815,False,,0,0.0,0,0,False,
v1_13_4,30,565380326,10.0,500000,2161,10,0,0,0,2,0,10,0,0,True,0,True,True,0,2132,443,0,1,968.0,True,10151,2132,0.79,False,,1,6.0,1,2,True,predicted
v1_13_4,31,184773695,10.0,500000,1399,9,0,0,0,2,0,9,0,0,True,0,True,True,0,1373,338,0,1,913.0,True,1685,1373,0.1852,False,,1,6.0,1,2,True,predicted
v1_13_4,32,1852311825,10.0,500000,1239,10,0,0,0,2,0,10,0,0,True,0,True,True,0,1212,231,0,1,987.0,True,1521,1212,0.2032,False,,1,6.0,1,2,True,predicted
v1_13_4,33,1471705194,10.0,500000,1583,7,0,0,0,1,0,7,0,0,True,0,True,False,0,1561,466,0,1,982.0,True,1943,1561,0.1966,False,,1,6.0,1,1,False,
v1_13_4,34,1091098563,10.0,500000,1420,10,0,0,0,3,0,10,0,0,True,0,True,True,0,1389,459,0,2,955.5,True,1888,1389,0.2643,False,,2,6.0,2,3,True,predicted
v1_13_4,35,611153045,10.0,500000,2806,11,0,0,0,2,0,11,0,0,True,0,True,True,0,2775,427,0,2,974.0,True,18655,2775,0.8512,False,,1,6.0,1,2,True,predicted
v1_13_4,36,230546414,10.0,500000,1515,10,0,0,0,2,0,10,0,0,True,0,True,True,0,1486,421,0,1,953.0,True,1990,1486,0.2533,False,,1,6.0,1,2,True,predicted
v1_13_4,37,1898084544,10.0,500000,1500,11,0,0,0,2,0,11,0,0,True,0,True,True,0,1470,470,0,1,936.0,True,1856,1470,0.208,False,,1,6.0,1,2,True,predicted
v1_13_4,38,1517477913,10.0,500000,1341,10,0,0,0,2,0,10,0,0,True,0,True,True,0,1312,211,0,1,950.0,True,1624,1312,0.1921,False,,1,6.0,1,2,True,predicted
v1_13_4,39,1037532395,10.0,500000,1745,8,0,0,0,1,0,8,0,0,True,0,True,False,0,1721,469,0,2,907.0,True,2196,1721,0.2163,False,,1,6.0,1,1,False,
