arch,run_idx,seed,hazard_cost,num_steps,phase_1_end_step,phase_2_end_step,time_to_first_flag,time_to_second_flag,time_to_final_flag,total_cost_incurred,time_to_first_mastery,time_to_final_mastery,mastery_order_sequence,activation_step,end_state_found_step,end_state_banked,time_to_first_transition,time_to_final_transition,transition_order_sequence,knowledge_banked_sequence,yellow_pre_transition_entries,green_pre_transition_entries,unaffiliated_pre_transition_entries,yellow_resolution_window,green_resolution_window,total_prediction_error_events,prediction_error_complete,goal_type,goal_target_id,goal_step_budget,goal_resolved,goal_resolution_step,goal_budget_remaining,goal_expired,goal_last_progress_step,goal_resolution_window,goal_progress_event_count
v1_8,1,1939235730,2.0,320000,515,192000,,,,2.0,518,181928,"['att_free_1', 'att_yellow', 'att_free_3', 'att_free_2', 'att_green']",254694,255106,True,518,181928,"['haz_unaff_1', 'haz_unaff_0', 'haz_yellow', 'haz_unaff_2', 'haz_green']","['haz_yellow', 'haz_unaff_1', 'haz_unaff_0', 'haz_unaff_2', 'haz_green']",1,0,0,29,,1,True,locate_family,YELLOW,160000,True,524,159476,False,,,1
v1_8,2,1558629099,2.0,320000,515,192000,,,,2.0,520,224742,"['att_free_1', 'att_yellow', 'att_free_3', 'att_green', 'att_free_0']",224924,225716,True,520,8345,"['haz_unaff_0', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_1', 'haz_green']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_green']",1,0,0,32,,1,True,bank_hazard_within_budget,haz_green,160000,True,8345,151655,False,,,0
v1_8,3,1178022468,2.0,320000,515,192000,,,,2.0,519,99020,"['att_free_1', 'att_free_2']",,,False,519,99020,"['haz_unaff_2', 'haz_unaff_0']",['haz_unaff_2'],1,0,0,,,1,True,locate_family,GREEN,160000,False,,,True,,,0
v1_8,4,698076950,2.0,320000,515,192000,,,,2.0,518,7334,"['att_free_1', 'att_yellow', 'att_free_2', 'att_free_3']",,,False,518,7300,"['haz_unaff_1', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_0']","['haz_yellow', 'haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1']",1,0,0,29,,1,True,locate_family,YELLOW,160000,True,524,159476,False,,,1
v1_8,5,317470319,2.0,320000,515,192000,,,,2.0,518,73482,"['att_free_1', 'att_yellow', 'att_free_2', 'att_green']",,,False,518,73482,"['haz_unaff_1', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_green']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_1', 'haz_unaff_0', 'haz_green']",1,0,0,33,,1,True,bank_hazard_within_budget,haz_green,160000,True,73482,86518,False,,,0
v1_8,6,1985008449,2.0,320000,515,192000,,,,2.0,1367,35224,"['att_yellow', 'att_free_2', 'att_free_3', 'att_free_0', 'att_green']",218586,,False,1367,35224,"['haz_unaff_0', 'haz_yellow', 'haz_unaff_2', 'haz_unaff_1', 'haz_green']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_1', 'haz_unaff_0', 'haz_green']",1,0,0,874,,1,True,locate_family,GREEN,160000,False,,,True,35224,124776,1
v1_8,7,1604401818,2.0,320000,515,192000,,,,2.0,518,571,"['att_free_1', 'att_yellow', 'att_free_3', 'att_free_2', 'att_green']",847,920,True,518,571,"['haz_unaff_0', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_1', 'haz_green']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_green']",1,0,0,30,,1,True,locate_family,YELLOW,160000,True,923,159077,False,,,1
v1_8,8,1124456300,2.0,320000,515,192000,,,,2.0,1085,30798,"['att_yellow', 'att_free_2', 'att_free_0', 'att_free_3']",,,False,1085,22378,"['haz_unaff_1', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_2']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2']",1,0,0,592,,1,True,bank_hazard_within_budget,haz_green,160000,False,,,True,,,0
v1_8,9,743849669,2.0,320000,515,192000,,,,2.0,518,297383,"['att_free_1', 'att_free_2', 'att_green']",,,False,518,297383,"['haz_unaff_2', 'haz_unaff_0', 'haz_green', 'haz_unaff_1']",['haz_unaff_2'],1,0,0,,,1,True,locate_family,GREEN,160000,False,,,True,,,0
v1_8,0,565380326,10.0,320000,515,192000,,,,10.0,520,122401,"['att_free_1', 'att_free_2', 'att_green', 'att_free_0', 'att_yellow']",148923,148927,True,520,122401,"['haz_unaff_2', 'haz_unaff_0', 'haz_green', 'haz_unaff_1', 'haz_yellow']","['haz_unaff_2', 'haz_unaff_1', 'haz_unaff_0', 'haz_yellow', 'haz_green']",1,0,0,121908,,1,True,locate_family,GREEN,160000,True,148921,11079,False,,,1
v1_8,1,184773695,10.0,320000,515,192000,,,,10.0,723,21558,"['att_free_2', 'att_yellow', 'att_free_3', 'att_free_0', 'att_green']",124609,124683,True,723,21558,"['haz_unaff_2', 'haz_unaff_0', 'haz_yellow', 'haz_unaff_1', 'haz_green']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_green']",1,0,0,375,,1,True,locate_family,YELLOW,160000,True,865,159135,False,,,0
v1_8,2,1852311825,10.0,320000,515,192000,,,,10.0,518,3348,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_3', 'att_green']",,,False,518,3348,"['haz_unaff_1', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_green']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2']",1,0,0,30,,1,True,bank_hazard_within_budget,haz_green,160000,True,3348,156652,False,,,0
v1_8,3,1471705194,10.0,320000,515,192000,,,,10.0,1378,1884,"['att_yellow', 'att_free_3', 'att_free_0', 'att_free_2']",,,False,1378,1614,"['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1']","['haz_unaff_2', 'haz_unaff_0', 'haz_yellow']",1,0,0,885,,1,True,locate_family,GREEN,160000,False,,,True,,,0
v1_8,4,1091098563,10.0,320000,515,192000,,,,20.0,522,151603,"['att_free_1', 'att_yellow', 'att_free_0', 'att_green', 'att_free_2']",,,False,522,151596,"['haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_unaff_2', 'haz_green']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2']",1,1,0,34,13004,2,True,locate_family,YELLOW,160000,True,529,159471,False,,,1
v1_8,5,611153045,10.0,320000,515,192000,24877,,24877,40.0,59637,92084,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_2', 'att_green']",,,False,59637,92084,"['haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_unaff_2', 'haz_green']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2']",1,0,3,59148,,4,True,bank_hazard_within_budget,haz_green,160000,True,92084,67916,False,,,0
v1_8,6,230546414,10.0,320000,515,192000,,,,10.0,518,685,"['att_free_1', 'att_yellow', 'att_free_0', 'att_green', 'att_free_2']",72264,72270,True,518,666,"['haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_unaff_2', 'haz_green']","['haz_yellow', 'haz_unaff_1', 'haz_unaff_0', 'haz_unaff_2', 'haz_green']",1,0,0,30,,1,True,locate_family,GREEN,160000,True,72262,87738,False,,,1
v1_8,7,1898084544,10.0,320000,515,192000,,,,10.0,518,6263,"['att_free_1', 'att_free_3', 'att_free_0', 'att_yellow', 'att_green']",59235,59510,True,518,6263,"['haz_unaff_2', 'haz_unaff_1', 'haz_unaff_0', 'haz_yellow', 'haz_green']","['haz_unaff_2', 'haz_unaff_1', 'haz_yellow', 'haz_unaff_0', 'haz_green']",1,0,0,229,,1,True,locate_family,YELLOW,160000,True,724,159276,False,,,1
v1_8,8,1517477913,10.0,320000,515,192000,,,,10.0,1511,6251,"['att_yellow', 'att_free_3', 'att_free_2', 'att_green', 'att_free_0']",,,False,1511,5732,"['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_green']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1']",1,0,0,1018,,1,True,bank_hazard_within_budget,haz_green,160000,True,5732,154268,False,,,0
v1_8,9,1037532395,10.0,320000,515,192000,,,,20.0,1057,20619,"['att_yellow', 'att_free_2', 'att_free_3', 'att_free_0']",,,False,1057,18846,"['haz_unaff_1', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_2']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1']",1,0,1,564,,2,True,locate_family,GREEN,160000,False,,,True,,,0
