arch,run_idx,seed,hazard_cost,num_steps,object_id,closest_approach_step,closest_approach_distance,phase_at_approach,goal_relevant,pre_threshold_entries
v1_12,0,202358875,0.1,500000,haz_unaff_2,11,5.09902,1,False,0
v1_12,0,202358875,0.1,500000,haz_green,11,9.899495,1,True,0
v1_12,0,202358875,0.1,500000,dist_green,14,6.557439,1,True,0
v1_12,0,202358875,0.1,500000,haz_yellow,13,7.483315,1,False,0
v1_12,0,202358875,0.1,500000,haz_unaff_0,92,6.164414,1,False,0
v1_12,0,202358875,0.1,500000,haz_unaff_1,92,7.0,1,False,0
v1_12,0,202358875,0.1,500000,haz_unaff_2,514,1.0,1,False,0
v1_12,0,202358875,0.1,500000,haz_green,511,3.162278,1,True,0
v1_12,0,202358875,0.1,500000,dist_green,493,5.656854,1,True,0
v1_12,0,202358875,0.1,500000,haz_unaff_1,627,8.185353,2,False,0
v1_12,0,202358875,0.1,500000,haz_yellow,627,5.0,2,False,1
v1_12,0,202358875,0.1,500000,haz_unaff_0,627,6.63325,2,False,0
v1_12,0,202358875,0.1,500000,haz_unaff_1,897,7.0,2,False,0
v1_12,0,202358875,0.1,500000,haz_unaff_0,897,5.477226,2,False,0
v1_12,0,202358875,0.1,500000,haz_yellow,655,4.242641,2,False,1
v1_12,0,202358875,0.1,500000,haz_unaff_2,2037,6.082763,2,False,0
v1_12,0,202358875,0.1,500000,haz_unaff_1,1813,7.348469,2,False,0
v1_12,0,202358875,0.1,500000,haz_unaff_0,1813,5.744563,2,False,0
v1_12,0,202358875,0.1,500000,haz_green,1957,6.403124,2,True,0
v1_12,0,202358875,0.1,500000,haz_green,3112,7.141428,2,True,0
v1_12,0,202358875,0.1,500000,haz_green,5175,6.403124,2,True,0
v1_12,0,202358875,0.1,500000,haz_unaff_1,5175,6.403124,2,False,0
v1_12,0,202358875,0.1,500000,haz_unaff_0,5175,5.09902,2,False,0
v1_12,0,202358875,0.1,500000,haz_yellow,5238,3.741657,2,False,1
v1_12,0,202358875,0.1,500000,haz_unaff_1,6501,7.0,2,False,0
v1_12,0,202358875,0.1,500000,haz_unaff_0,6501,5.477226,2,False,0
v1_12,0,202358875,0.1,500000,haz_green,6907,6.403124,2,True,0
v1_12,0,202358875,0.1,500000,haz_unaff_2,7611,5.477226,2,False,0
v1_12,0,202358875,0.1,500000,haz_green,7113,6.403124,2,True,0
v1_12,0,202358875,0.1,500000,haz_unaff_2,9129,5.477226,2,False,0
v1_12,0,202358875,0.1,500000,haz_unaff_1,9129,6.480741,2,False,0
v1_12,0,202358875,0.1,500000,haz_unaff_0,9129,5.0,2,False,0
v1_12,0,202358875,0.1,500000,haz_unaff_1,10097,7.81025,2,False,0
v1_12,0,202358875,0.1,500000,haz_unaff_0,10097,6.164414,2,False,0
v1_12,0,202358875,0.1,500000,haz_yellow,10673,4.358899,2,False,1
v1_12,0,202358875,0.1,500000,haz_unaff_2,10662,5.830952,2,False,0
v1_12,0,202358875,0.1,500000,haz_green,10662,5.656854,2,True,0
v1_12,0,202358875,0.1,500000,haz_unaff_1,12410,7.348469,2,False,0
v1_12,0,202358875,0.1,500000,haz_yellow,12410,4.242641,2,False,1
v1_12,0,202358875,0.1,500000,haz_unaff_0,12410,5.744563,2,False,0
v1_12,0,202358875,0.1,500000,haz_yellow,14587,4.242641,2,False,1
v1_12,0,202358875,0.1,500000,haz_green,14072,5.744563,2,True,0
v1_12,0,202358875,0.1,500000,haz_unaff_2,17135,6.164414,2,False,0
v1_12,0,202358875,0.1,500000,haz_green,17259,6.480741,2,True,0
v1_12,0,202358875,0.1,500000,haz_unaff_1,17411,7.0,2,False,0
v1_12,0,202358875,0.1,500000,haz_unaff_0,17411,5.477226,2,False,0
v1_12,0,202358875,0.1,500000,haz_yellow,18807,3.605551,2,False,1
v1_12,0,202358875,0.1,500000,haz_green,19826,6.708204,2,True,0
v1_12,0,202358875,0.1,500000,haz_unaff_2,20608,5.477226,2,False,0
v1_12,0,202358875,0.1,500000,haz_unaff_1,21423,6.164414,2,False,0
v1_12,0,202358875,0.1,500000,haz_yellow,21423,2.828427,2,False,1
v1_12,0,202358875,0.1,500000,haz_unaff_0,21423,4.582576,2,False,0
v1_12,0,202358875,0.1,500000,haz_green,21499,6.403124,2,True,0
v1_12,0,202358875,0.1,500000,haz_unaff_2,23857,6.324555,2,False,0
v1_12,0,202358875,0.1,500000,haz_yellow,24485,5.0,2,False,1
v1_12,0,202358875,0.1,500000,haz_unaff_0,24537,6.557439,2,False,0
v1_12,0,202358875,0.1,500000,haz_green,24926,6.403124,2,True,0
v1_12,0,202358875,0.1,500000,haz_unaff_1,27688,7.348469,2,False,0
v1_12,0,202358875,0.1,500000,haz_yellow,27688,4.242641,2,False,1
v1_12,0,202358875,0.1,500000,haz_unaff_0,27688,5.744563,2,False,0
v1_12,0,202358875,0.1,500000,haz_green,28508,6.708204,2,True,0
v1_12,0,202358875,0.1,500000,haz_unaff_2,28760,5.196152,2,False,0
v1_12,0,202358875,0.1,500000,haz_yellow,28665,3.741657,2,False,1
v1_12,0,202358875,0.1,500000,haz_unaff_2,31352,6.082763,2,False,0
v1_12,0,202358875,0.1,500000,haz_green,31267,6.403124,2,True,0
v1_12,0,202358875,0.1,500000,haz_unaff_1,32726,7.348469,2,False,0
v1_12,0,202358875,0.1,500000,haz_unaff_0,32726,5.744563,2,False,0
v1_12,0,202358875,0.1,500000,haz_yellow,32727,3.741657,2,False,1
v1_12,0,202358875,0.1,500000,haz_green,33120,6.164414,2,True,0
v1_12,0,202358875,0.1,500000,haz_unaff_2,34945,6.63325,2,False,0
v1_12,0,202358875,0.1,500000,haz_green,34988,5.830952,2,True,0
v1_12,0,202358875,0.1,500000,haz_unaff_2,37690,6.403124,2,False,0
v1_12,0,202358875,0.1,500000,haz_green,36661,6.403124,2,True,0
v1_12,0,202358875,0.1,500000,haz_yellow,38612,2.236068,2,False,1
v1_12,0,202358875,0.1,500000,haz_green,38613,5.656854,2,True,0
v1_12,0,202358875,0.1,500000,dist_green,38650,6.164414,2,True,0
v1_12,0,202358875,0.1,500000,haz_unaff_0,38732,6.480741,2,False,0
v1_12,0,202358875,0.1,500000,haz_unaff_2,38663,4.582576,2,False,0
v1_12,0,202358875,0.1,500000,haz_unaff_1,38769,4.123106,2,False,0
v1_12,0,202358875,0.1,500000,haz_yellow,39002,4.242641,2,False,1
v1_12,0,202358875,0.1,500000,haz_green,40261,5.0,2,True,0
v1_12,0,202358875,0.1,500000,haz_unaff_2,40455,5.477226,2,False,0
v1_12,0,202358875,0.1,500000,haz_yellow,40483,3.0,2,False,1
v1_12,0,202358875,0.1,500000,haz_unaff_1,42623,7.0,2,False,0
v1_12,0,202358875,0.1,500000,haz_unaff_0,42623,5.477226,2,False,0
v1_12,0,202358875,0.1,500000,haz_yellow,42526,4.242641,2,False,1
v1_12,0,202358875,0.1,500000,haz_unaff_2,44258,6.082763,2,False,0
