arch,run_idx,seed,hazard_cost,num_steps,phase_1_end_step,phase_2_end_step,time_to_first_flag,time_to_second_flag,time_to_final_flag,total_cost_incurred,time_to_first_mastery,time_to_final_mastery,mastery_order_sequence,activation_step,end_state_found_step,end_state_banked,time_to_first_transition,time_to_final_transition,transition_order_sequence,knowledge_banked_sequence,yellow_pre_transition_entries,green_pre_transition_entries,unaffiliated_pre_transition_entries,yellow_resolution_window,green_resolution_window,total_prediction_error_events,prediction_error_complete,goal_type,goal_target_id,goal_step_budget,goal_resolved,goal_resolution_step,goal_budget_remaining,goal_expired,goal_last_progress_step,goal_resolution_window,goal_progress_event_count,suppressed_approach_count,goal_relevant_suppressed_count,suppressed_approach_objects,cf_records_raw,cf_records_emitted,cf_exclusion_rate,end_state_draw_active,end_state_banked_step,steps_draw_to_bank,revised_expectation_count,causal_chain_count,mean_chain_depth,complete_chain_count,q5_statement_count,env2_ran,haz_blue_approached,predicted_record_written,transfer_triggered_step,env1_mastery_order_sequence,env1_end_state_banked_step
v1_13_8,10,496635339,1.0,1001,,600000,,,,1.0,6256,6975,"['att_free_1', 'att_free_2', 'att_free_3', 'att_yellow', 'att_blue', 'att_green']",,,False,532,696,"['haz_unaff_0', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_1', 'haz_green']",[],1,0,0,31,,1,True,locate_family,YELLOW,500000,True,565,499435,False,,,1,14,4,"dist_yellow,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",139,14,0.8993,False,,,1,1,6.0,1,0,True,True,True,1000,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_3', 'att_green']",
v1_13_8,11,16689821,1.0,37424,,600000,9341,535383,535383,7.0,6,108,"['att_free_0', 'att_free_1', 'att_free_2', 'att_blue', 'att_yellow']",,,False,530,4353,"['haz_unaff_0', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_1', 'haz_green']",[],1,0,0,29,,1,True,bank_hazard_within_budget,haz_green,500000,True,4353,495647,False,,,0,114,17,"haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",252,114,0.5476,False,,,1,1,6.0,1,0,True,True,True,37423,"['att_free_1', 'att_yellow', 'att_free_3', 'att_green', 'att_free_0']",
v1_13_8,12,1783566838,1.0,730501,,,,,,1.0,37,55109,"['att_free_2', 'att_free_1', 'att_blue', 'att_yellow']",,,False,530,730041,"['haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_green']",[],1,0,0,77,,1,True,locate_family,GREEN,500000,False,,,True,,,0,2215,659,"dist_green,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",2630,2215,0.1578,False,,,1,1,6.0,1,0,True,True,True,730500,"['att_free_1', 'att_free_3', 'att_free_2', 'att_yellow', 'att_green']",
v1_13_8,13,1303621320,1.0,761501,,,,,,1.0,54994,326993,"['att_free_1', 'att_free_2', 'att_free_3', 'att_green', 'att_blue', 'att_yellow']",,,False,530,761133,"['haz_unaff_2', 'haz_unaff_0', 'haz_green', 'haz_unaff_1', 'haz_yellow']",[],1,0,0,760628,,1,True,locate_family,YELLOW,500000,False,,,True,,,0,1865,601,"dist_yellow,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",2199,1865,0.1519,False,,,1,1,6.0,1,0,True,True,True,761500,"['att_free_1', 'att_free_2', 'att_green', 'att_yellow', 'att_free_0']",
v1_13_8,14,923014689,1.0,154501,,600000,78922,154308,154308,5.0,6,19801,"['att_free_0', 'att_free_2', 'att_free_3']",,,False,530,154007,"['haz_unaff_0', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_1', 'haz_green']",[],1,0,0,29,,1,True,bank_hazard_within_budget,haz_green,500000,True,154007,345993,False,,,0,335,54,"haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",499,335,0.3287,False,,,1,1,6.0,1,0,True,True,True,154500,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_2', 'att_green']",
v1_13_8,15,542408058,1.0,1000000,527,600000,,,,3.0,1087,19611,"['att_yellow', 'att_free_2', 'att_free_3', 'att_free_0']",,,False,1087,5563,"['haz_unaff_1', 'haz_yellow', 'haz_unaff_2', 'haz_unaff_0']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1']",1,0,0,582,,1,True,locate_family,GREEN,500000,False,,,True,,,0,2964,940,"dist_green,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",3548,2964,0.1646,False,,,1,1,6.0,1,0,False,True,False,,"['att_yellow', 'att_free_2', 'att_free_3', 'att_free_0']",
v1_13_8,16,62462540,1.0,1000000,527,600000,,,,1.0,531,21589,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_2']",,,False,531,548,"['haz_unaff_1', 'haz_unaff_0', 'haz_yellow', 'haz_unaff_2']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2']",1,0,0,30,,1,True,locate_family,YELLOW,500000,True,543,499457,False,,,1,2704,846,"dist_yellow,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",3150,2704,0.1416,False,,,1,1,6.0,1,0,False,True,False,,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_2']",
v1_13_8,17,1829339557,1.0,297235,,600000,,,,1.0,141,64326,"['att_free_2', 'att_free_1', 'att_blue', 'att_yellow']",,,False,530,15440,"['haz_unaff_0', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_1', 'haz_green']",[],1,0,0,30,,1,True,bank_hazard_within_budget,haz_green,500000,True,15440,484560,False,,,0,897,122,"haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1196,897,0.25,False,,,1,1,6.0,1,0,True,True,True,297234,"['att_free_1', 'att_yellow', 'att_free_2', 'att_green', 'att_free_0']",
v1_13_8,18,1349394039,1.0,23016,,600000,10516,,10516,6.0,16271,355889,"['att_blue', 'att_green', 'att_free_1', 'att_free_2', 'att_free_3', 'att_yellow']",,,False,530,22995,"['haz_unaff_2', 'haz_unaff_0', 'haz_green', 'haz_unaff_1', 'haz_yellow']",[],1,0,0,22490,,1,True,locate_family,GREEN,500000,False,,,True,567,499433,1,83,23,"dist_green,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",213,83,0.6103,False,,,1,1,6.0,1,0,True,True,True,23015,"['att_free_1', 'att_free_3', 'att_green', 'att_yellow', 'att_free_0']",
v1_13_8,19,968787408,1.0,1001,,600000,289767,,289767,4.0,16,5659,"['att_free_0', 'att_free_2', 'att_free_3', 'att_blue', 'att_green']",,,False,530,582,"['haz_unaff_0', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_1', 'haz_green']",[],1,0,0,30,,1,True,locate_family,YELLOW,500000,True,537,499463,False,,,1,14,4,"dist_yellow,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",136,14,0.8971,False,,,1,1,6.0,1,0,True,True,True,1000,"['att_free_1', 'att_yellow', 'att_free_0', 'att_green', 'att_free_2']",
