arch,run_idx,seed,hazard_cost,object_id,predicted_precondition,basis_chains,state,prediction_step,confirmation_step,confirming_env,unresolvable
v1_13,0,202358875,0.1,haz_blue,att_blue,haz_green|haz_yellow,unresolvable,365000,,,True
v1_13,2,1489290374,0.1,haz_blue,att_blue,haz_green|haz_yellow,unresolvable,1000,,,True
v1_13,3,1108683743,0.1,haz_blue,att_blue,haz_green|haz_yellow,unresolvable,7000,,,True
v1_13,4,628738225,0.1,haz_blue,att_blue,haz_green|haz_yellow,unresolvable,71500,,,True
v1_13,6,1915669724,0.1,haz_blue,att_blue,haz_green|haz_yellow,unresolvable,137000,,,True
v1_13,7,1535063093,0.1,haz_blue,att_blue,haz_green|haz_yellow,unresolvable,8000,,,True
v1_13,8,1154456462,0.1,haz_blue,att_blue,haz_green|haz_yellow,unresolvable,55500,,,True
v1_13,10,496635339,1.0,haz_blue,att_blue,haz_green|haz_yellow,unresolvable,1000,,,True
v1_13,11,16689821,1.0,haz_blue,att_blue,haz_green|haz_yellow,unresolvable,4500,,,True
v1_13,14,923014689,1.0,haz_blue,att_blue,haz_green|haz_yellow,unresolvable,154500,,,True
v1_13,17,1829339557,1.0,haz_blue,att_blue,haz_green|haz_yellow,unresolvable,15500,,,True
v1_13,18,1349394039,1.0,haz_blue,att_blue,haz_green|haz_yellow,unresolvable,23000,,,True
v1_13,19,968787408,1.0,haz_blue,att_blue,haz_green|haz_yellow,unresolvable,1000,,,True
v1_13,20,271697600,2.0,haz_blue,att_blue,haz_green|haz_yellow,unresolvable,2000,,,True
v1_13,21,1939235730,2.0,haz_blue,att_blue,haz_green|haz_yellow,unresolvable,2000,,,True
v1_13,22,1558629099,2.0,haz_blue,att_blue,haz_green|haz_yellow,unresolvable,8500,,,True
v1_13,25,317470319,2.0,haz_blue,att_blue,haz_green|haz_yellow,unresolvable,73500,,,True
v1_13,26,1985008449,2.0,haz_blue,att_blue,haz_green|haz_yellow,unresolvable,35500,,,True
v1_13,27,1604401818,2.0,haz_blue,att_blue,haz_green|haz_yellow,unresolvable,118500,,,True
v1_13,30,565380326,10.0,haz_blue,att_blue,haz_green|haz_yellow,unresolvable,122500,,,True
v1_13,31,184773695,10.0,haz_blue,att_blue,haz_green|haz_yellow,unresolvable,15500,,,True
v1_13,32,1852311825,10.0,haz_blue,att_blue,haz_green|haz_yellow,unresolvable,3500,,,True
v1_13,34,1091098563,10.0,haz_blue,att_blue,haz_green|haz_yellow,unresolvable,152000,,,True
v1_13,35,611153045,10.0,haz_blue,att_blue,haz_green|haz_yellow,unresolvable,92500,,,True
v1_13,36,230546414,10.0,haz_blue,att_blue,haz_green|haz_yellow,unresolvable,1000,,,True
v1_13,37,1898084544,10.0,haz_blue,att_blue,haz_green|haz_yellow,unresolvable,6500,,,True
v1_13,38,1517477913,10.0,haz_blue,att_blue,haz_green|haz_yellow,unresolvable,6000,,,True
