arch,run_idx,seed,hazard_cost,num_steps,phase_1_end_step,phase_2_end_step,time_to_first_flag,time_to_second_flag,time_to_final_flag,total_cost_incurred,time_to_first_mastery,time_to_final_mastery,mastery_order_sequence,activation_step,end_state_found_step,end_state_banked,time_to_first_transition,time_to_final_transition,transition_order_sequence,knowledge_banked_sequence,yellow_pre_transition_entries,green_pre_transition_entries,unaffiliated_pre_transition_entries,yellow_resolution_window,green_resolution_window,total_prediction_error_events,prediction_error_complete,goal_type,goal_target_id,goal_step_budget,goal_resolved,goal_resolution_step,goal_budget_remaining,goal_expired,goal_last_progress_step,goal_resolution_window,goal_progress_event_count,suppressed_approach_count,goal_relevant_suppressed_count,suppressed_approach_objects,cf_records_raw,cf_records_emitted,cf_exclusion_rate,end_state_draw_active,end_state_banked_step,steps_draw_to_bank,revised_expectation_count,causal_chain_count,mean_chain_depth,complete_chain_count,q5_statement_count,env2_ran,haz_blue_approached,predicted_record_written,transfer_triggered_step
v1_13_4,10,496635339,1.0,500000,527,300000,15068,,15068,4.0,532,696,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_3', 'att_green']",,,False,532,696,"['haz_unaff_0', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_1', 'haz_green']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2']",1,0,0,31,,1,True,locate_family,YELLOW,250000,True,565,249435,False,,,1,1452,440,"dist_yellow,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1758,1452,0.1741,False,,,1,1,6.0,1,0,False,True,True,
v1_13_4,11,16689821,1.0,500000,527,300000,9341,,9341,4.0,530,37423,"['att_free_1', 'att_yellow', 'att_free_3', 'att_green', 'att_free_0']",,,False,530,4353,"['haz_unaff_0', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_1', 'haz_green']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1']",1,0,0,29,,1,True,bank_hazard_within_budget,haz_green,250000,True,4353,245647,False,,,0,1293,223,"haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1590,1293,0.1868,False,,,1,1,6.0,1,0,False,True,True,
v1_13_4,12,1783566838,1.0,500000,527,300000,,,,1.0,530,582,"['att_free_1', 'att_free_3', 'att_free_2', 'att_yellow']",,,False,530,582,"['haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1', 'haz_yellow']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1']",1,0,0,77,,1,True,locate_family,GREEN,250000,False,,,True,,,0,1609,458,"dist_green,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1978,1609,0.1866,False,,,1,1,6.0,1,0,False,True,False,
v1_13_4,13,1303621320,1.0,500000,527,300000,,,,1.0,530,21960,"['att_free_1', 'att_free_2', 'att_green']",,,False,530,21960,"['haz_unaff_2', 'haz_unaff_0', 'haz_green', 'haz_unaff_1']","['haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1', 'haz_green']",1,0,0,,,1,True,locate_family,YELLOW,250000,False,,,True,,,0,1498,451,"dist_yellow,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1869,1498,0.1985,False,,,0,0,0.0,0,0,False,True,False,
v1_13_4,14,923014689,1.0,500000,527,300000,,,,1.0,530,154007,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_2', 'att_green']",,,False,530,154007,"['haz_unaff_0', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_1', 'haz_green']","['haz_unaff_2', 'haz_unaff_0', 'haz_yellow', 'haz_green']",1,0,0,29,,1,True,bank_hazard_within_budget,haz_green,250000,True,154007,95993,False,,,0,1443,205,"haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",3806,1443,0.6209,False,,,1,1,6.0,1,0,False,True,True,
v1_13_4,15,542408058,1.0,500000,527,300000,,,,3.0,1087,19611,"['att_yellow', 'att_free_2', 'att_free_3', 'att_free_0']",,,False,1087,5563,"['haz_unaff_1', 'haz_yellow', 'haz_unaff_2', 'haz_unaff_0']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1']",1,0,0,582,,1,True,locate_family,GREEN,250000,False,,,True,,,0,1487,478,"dist_green,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1848,1487,0.1953,False,,,1,1,6.0,1,0,False,True,False,
v1_13_4,16,62462540,1.0,500000,527,300000,,,,1.0,531,21589,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_2']",,,False,531,548,"['haz_unaff_1', 'haz_unaff_0', 'haz_yellow', 'haz_unaff_2']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2']",1,0,0,30,,1,True,locate_family,YELLOW,250000,True,543,249457,False,,,1,1348,440,"dist_yellow,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1645,1348,0.1805,False,,,1,1,6.0,1,0,False,True,False,
v1_13_4,17,1829339557,1.0,500000,527,300000,,,,1.0,530,297234,"['att_free_1', 'att_yellow', 'att_free_2', 'att_green', 'att_free_0']",,,False,530,15440,"['haz_unaff_0', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_1', 'haz_green']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_green']",1,0,0,30,,1,True,bank_hazard_within_budget,haz_green,250000,True,15440,234560,False,,,0,1572,204,"haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",2218,1572,0.2913,False,,,1,1,6.0,1,0,False,True,True,
v1_13_4,18,1349394039,1.0,500000,527,300000,10516,,10516,4.0,530,23015,"['att_free_1', 'att_free_3', 'att_green', 'att_yellow', 'att_free_0']",,,False,530,22995,"['haz_unaff_2', 'haz_unaff_0', 'haz_green', 'haz_unaff_1', 'haz_yellow']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_1', 'haz_unaff_0', 'haz_green']",1,0,0,22490,,1,True,locate_family,GREEN,250000,True,23063,226937,False,,,1,1529,449,"dist_green,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1903,1529,0.1965,False,,,1,1,6.0,1,0,False,True,True,
v1_13_4,19,968787408,1.0,500000,527,300000,,,,1.0,530,591,"['att_free_1', 'att_yellow', 'att_free_0', 'att_green', 'att_free_2']",,,False,530,582,"['haz_unaff_0', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_1', 'haz_green']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2', 'haz_green']",1,0,0,30,,1,True,locate_family,YELLOW,250000,True,537,249463,False,,,1,1623,494,"dist_yellow,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",2357,1623,0.3114,False,,,1,1,6.0,1,0,False,True,True,
v1_13_4,20,271697600,2.0,500000,527,300000,,,,2.0,530,16630,"['att_free_1', 'att_yellow', 'att_green', 'att_free_2', 'att_free_3']",,,False,530,1630,"['haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_green', 'haz_unaff_2']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2', 'haz_green']",1,0,0,31,,1,True,bank_hazard_within_budget,haz_green,250000,True,1630,248370,False,,,0,1303,233,"haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1685,1303,0.2267,False,,,1,1,6.0,1,0,False,True,True,
v1_13_4,21,1939235730,2.0,500000,527,300000,,,,4.0,530,1995,"['att_free_1', 'att_yellow', 'att_green', 'att_free_2', 'att_free_3']",,,False,530,1965,"['haz_unaff_1', 'haz_unaff_0', 'haz_yellow', 'haz_green', 'haz_unaff_2']","['haz_yellow', 'haz_unaff_1', 'haz_unaff_0', 'haz_unaff_2', 'haz_green']",1,0,0,29,,1,True,locate_family,GREEN,250000,True,1998,248002,False,,,1,1644,472,"dist_green,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",2188,1644,0.2486,False,,,1,1,6.0,1,0,False,True,True,
v1_13_4,22,1558629099,2.0,500000,527,300000,26620,,26620,8.0,532,8339,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_3', 'att_green']",,,False,532,8339,"['haz_unaff_0', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_1', 'haz_green']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2']",1,0,0,32,,1,True,locate_family,YELLOW,250000,True,545,249455,False,,,1,1409,404,"dist_yellow,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1712,1409,0.177,False,,,1,1,6.0,1,0,False,True,True,
v1_13_4,23,1178022468,2.0,500000,527,300000,,,,2.0,531,99032,"['att_free_1', 'att_free_2']",,,False,531,99032,"['haz_unaff_2', 'haz_unaff_0']",['haz_unaff_2'],1,0,0,,,1,True,bank_hazard_within_budget,haz_green,250000,False,,,True,,,0,1145,171,"haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1391,1145,0.1769,False,,,0,0,0.0,0,0,False,True,False,
v1_13_4,24,698076950,2.0,500000,527,300000,,,,2.0,530,7347,"['att_free_1', 'att_yellow', 'att_free_2', 'att_free_3']",,,False,530,7313,"['haz_unaff_1', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_0']","['haz_yellow', 'haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1']",1,0,0,29,,1,True,locate_family,GREEN,250000,False,,,True,,,0,1992,603,"dist_green,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",2676,1992,0.2556,False,,,1,1,6.0,1,0,False,True,False,
v1_13_4,25,317470319,2.0,500000,527,300000,,,,2.0,530,73460,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_2', 'att_green']",,,False,530,73460,"['haz_unaff_1', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_green']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2', 'haz_green']",1,0,0,33,,1,True,locate_family,YELLOW,250000,True,543,249457,False,,,1,1430,412,"dist_yellow,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1740,1430,0.1782,False,,,1,1,6.0,1,0,False,True,True,
