arch,hazard_cost,num_steps,run_idx,seed,flag_type,flag_coord,flag_id,flag_set_step,confirming_observations,disconfirming_observations,last_confirmation_step,last_observation_step,transformed_at_step,derived_knowledge_flag_id,derived_from_threat_flag_id
v1_5,0.1,20000,0,57270932,mastery,"(4, 15)","mastery:(4, 15)",842,103,0,1066,1066,,,
v1_5,0.1,20000,0,57270932,mastery,"(9, 10)","mastery:(9, 10)",1106,43,0,11476,11476,,,
v1_5,0.1,20000,0,57270932,mastery,"(15, 16)","mastery:(15, 16)",1662,179,0,11378,11378,,,
v1_5,0.1,20000,0,57270932,knowledge_banking,"(14, 14)","knowledge_banking:(14, 14)",1777,166,0,11429,11429,,,
v1_5,0.1,20000,0,57270932,knowledge_banking,"(5, 9)","knowledge_banking:(5, 9)",1885,257,0,5841,5841,,,
v1_5,0.1,20000,0,57270932,threat,"(5, 8)","threat:(5, 8)",1886,0,1,,8700,8700,"knowledge_banking:(5, 8)",
v1_5,0.1,20000,0,57270932,knowledge_banking,"(6, 8)","knowledge_banking:(6, 8)",1891,73,0,6147,6147,,,
v1_5,0.1,20000,0,57270932,mastery,"(3, 3)","mastery:(3, 3)",3267,352,0,5881,5881,,,
v1_5,0.1,20000,0,57270932,knowledge_banking,"(14, 13)","knowledge_banking:(14, 13)",6878,102,0,11276,11276,,,
v1_5,0.1,20000,0,57270932,mastery,"(16, 3)","mastery:(16, 3)",8700,267,0,19234,19234,,,
v1_5,0.1,20000,0,57270932,mastery,"(11, 5)","mastery:(11, 5)",8913,9,0,14513,14513,,,
v1_5,0.1,20000,1,1824147949,mastery,"(4, 15)","mastery:(4, 15)",350,240,0,8778,8778,,,
v1_5,0.1,20000,1,1824147949,mastery,"(16, 3)","mastery:(16, 3)",1148,73,0,19356,19356,,,
v1_5,0.1,20000,1,1824147949,mastery,"(15, 16)","mastery:(15, 16)",1386,41,0,18270,18270,,,
v1_5,0.1,20000,1,1824147949,knowledge_banking,"(14, 14)","knowledge_banking:(14, 14)",1411,16,0,18215,18215,,,
v1_5,0.1,20000,1,1824147949,mastery,"(9, 10)","mastery:(9, 10)",1450,486,0,18424,18424,,,
v1_5,0.1,20000,1,1824147949,knowledge_banking,"(5, 8)","knowledge_banking:(5, 8)",1614,77,0,5702,5702,,,
v1_5,0.1,20000,1,1824147949,knowledge_banking,"(6, 8)","knowledge_banking:(6, 8)",1617,72,0,5703,5703,,,
v1_5,0.1,20000,1,1824147949,knowledge_banking,"(5, 9)","knowledge_banking:(5, 9)",1623,76,0,5701,5701,,,
v1_5,0.1,20000,1,1824147949,mastery,"(11, 5)","mastery:(11, 5)",2109,36,0,5629,5629,,,
