arch,run_idx,seed,hazard_cost,num_steps,phase_1_end_step,phase_2_end_step,time_to_first_flag,time_to_second_flag,time_to_final_flag,total_cost_incurred,time_to_first_mastery,time_to_final_mastery,mastery_order_sequence,activation_step,end_state_found_step,end_state_banked,time_to_first_transition,time_to_final_transition,transition_order_sequence,knowledge_banked_sequence,yellow_pre_transition_entries,green_pre_transition_entries,unaffiliated_pre_transition_entries,yellow_resolution_window,green_resolution_window,total_prediction_error_events,prediction_error_complete,goal_type,goal_target_id,goal_step_budget,goal_resolved,goal_resolution_step,goal_budget_remaining,goal_expired,goal_last_progress_step,goal_resolution_window,goal_progress_event_count,suppressed_approach_count,goal_relevant_suppressed_count,suppressed_approach_objects,cf_records_raw,cf_records_emitted,cf_exclusion_rate,end_state_draw_active,end_state_banked_step,steps_draw_to_bank,revised_expectation_count,causal_chain_count,mean_chain_depth,complete_chain_count,q5_statement_count,env2_ran
v1_12,0,202358875,0.1,500000,,,,,,0.1,520,13,"['att_free_1', 'att_free_3', 'att_free_2', 'att_green', 'att_yellow', 'att_free_0']",11,1604,True,520,364892,"['haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1', 'haz_green', 'haz_yellow']","['haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1', 'haz_green', 'haz_yellow']",1,0,0,364399,,1,True,locate_family,GREEN,250000,True,38665,211335,False,,,1,1222,260,"dist_green,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1736,1222,0.2961,True,366135,366124,1,1,6.0,1,1,True
v1_12,1,1869897005,0.1,500000,515,300000,39849,,39849,0.4,519,119582,"['att_free_1', 'att_yellow', 'att_free_3', 'att_free_2']",,,False,519,39784,"['haz_unaff_2', 'haz_unaff_1', 'haz_yellow', 'haz_unaff_0']","['haz_yellow', 'haz_unaff_2', 'haz_unaff_1', 'haz_unaff_0']",1,3,0,31,,4,True,locate_family,YELLOW,250000,False,,,True,524,249476,1,1247,407,"dist_yellow,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1507,1247,0.1725,False,,,1,1,6.0,1,1,False
v1_12,2,1489290374,0.1,500000,,,,,,0.1,518,35171,"['att_free_1', 'att_yellow', 'att_free_0', 'att_green', 'att_free_2', 'att_free_3']",53,55,True,518,602,"['haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_unaff_2', 'haz_green']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2', 'haz_green']",1,0,0,29,,1,True,bank_hazard_within_budget,haz_green,250000,True,602,249398,False,,,0,1492,259,"haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",3621,1492,0.588,True,23830,23777,1,1,6.0,1,1,True
v1_12,3,1108683743,0.1,500000,515,300000,,,,0.1,519,6801,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_3', 'att_green']",,,False,519,6801,"['haz_unaff_1', 'haz_unaff_0', 'haz_yellow', 'haz_unaff_2', 'haz_green']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2']",1,0,0,30,,1,True,locate_family,GREEN,250000,False,,,True,6801,243199,1,1211,414,"dist_green,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1476,1211,0.1795,False,,,1,1,6.0,1,1,False
v1_12,4,628738225,0.1,500000,515,300000,,,,0.1,518,71203,"['att_free_1', 'att_yellow', 'att_free_2', 'att_free_3', 'att_green']",,,False,518,71203,"['haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_unaff_2', 'haz_green']","['haz_unaff_1', 'haz_unaff_0', 'haz_yellow', 'haz_unaff_2']",1,0,0,29,,1,True,locate_family,YELLOW,250000,True,534,249466,False,,,1,1263,381,"dist_yellow,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1543,1263,0.1815,False,,,1,1,6.0,1,1,False
v1_12,5,248131594,0.1,500000,515,300000,,,,0.1,518,251336,"['att_free_1', 'att_yellow', 'att_free_2', 'att_free_3']",,,False,518,251323,"['haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_unaff_2']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2']",1,0,0,29,,1,True,bank_hazard_within_budget,haz_green,250000,False,,,True,,,0,1159,261,"haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1456,1159,0.204,False,,,1,1,6.0,1,1,False
v1_12,6,1915669724,0.1,500000,515,300000,,,,0.1,519,136937,"['att_free_3', 'att_free_1', 'att_yellow', 'att_free_2', 'att_green']",,,False,519,136937,"['haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_green']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1']",1,0,0,38,,1,True,locate_family,GREEN,250000,False,,,True,136937,113063,1,1220,315,"dist_green,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1521,1220,0.1979,False,,,1,1,6.0,1,1,False
v1_12,7,1535063093,0.1,500000,515,300000,,,,0.1,522,7527,"['att_free_1', 'att_yellow', 'att_free_2', 'att_green']",,,False,522,7527,"['haz_unaff_1', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_green']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_green']",1,0,0,33,,1,True,locate_family,YELLOW,250000,False,,,True,526,249474,1,1257,481,"dist_yellow,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1573,1257,0.2009,False,,,1,1,6.0,1,1,False
v1_12,8,1154456462,0.1,500000,,,,,,0.1,518,55129,"['att_free_1', 'att_free_2', 'att_green', 'att_free_0', 'att_yellow']",195,1743,True,518,55129,"['haz_unaff_2', 'haz_unaff_0', 'haz_green', 'haz_unaff_1', 'haz_yellow']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_green']",1,0,0,54636,,1,True,bank_hazard_within_budget,haz_green,250000,True,53911,196089,False,,,0,2504,487,"haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",16149,2504,0.8449,True,56499,56304,1,1,6.0,1,1,True
v1_12,9,674510944,0.1,500000,515,300000,,,,0.1,518,5024,"['att_free_1', 'att_yellow', 'att_free_3', 'att_free_2']",,,False,518,4971,"['haz_unaff_1', 'haz_unaff_0', 'haz_yellow', 'haz_unaff_2']","['haz_yellow', 'haz_unaff_1', 'haz_unaff_0', 'haz_unaff_2']",1,0,0,29,,1,True,locate_family,GREEN,250000,False,,,True,,,0,1293,454,"dist_green,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1603,1293,0.1934,False,,,1,1,6.0,1,1,False
v1_12,0,496635339,1.0,500000,,,157667,,157667,5.0,520,130,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_3', 'att_green', 'att_free_2']",124,6802,True,520,684,"['haz_unaff_0', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_1', 'haz_green']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2', 'haz_green']",1,0,0,31,,1,True,locate_family,GREEN,250000,False,,,True,684,249316,1,1268,419,"dist_green,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1593,1268,0.204,True,497244,497120,1,1,6.0,1,1,True
