arch,hazard_cost,num_steps,run_idx,seed,snapshot_step,snapshot_event,flag_type,flag_coord,flag_id,flag_set_step,confirming_observations,disconfirming_observations,last_confirmation_step,last_observation_step,transformed_at_step,derived_knowledge_flag_id,derived_from_threat_flag_id
v1_3,0.1,20000,0,57270932,842,mastery_flag_formation,mastery,"(4, 15)","mastery:(4, 15)",842,0,0,,842,,,
v1_3,0.1,20000,0,57270932,1106,mastery_flag_formation,mastery,"(9, 10)","mastery:(9, 10)",1106,0,0,,1106,,,
v1_3,0.1,20000,0,57270932,1662,mastery_flag_formation,mastery,"(15, 16)","mastery:(15, 16)",1662,0,0,,1662,,,
v1_3,0.1,20000,0,57270932,1777,knowledge_banking_flag_formation,knowledge_banking,"(14, 14)","knowledge_banking:(14, 14)",1777,0,0,,1777,,,
v1_3,0.1,20000,0,57270932,1885,knowledge_banking_flag_formation,knowledge_banking,"(5, 9)","knowledge_banking:(5, 9)",1885,0,0,,1885,,,
v1_3,0.1,20000,0,57270932,1886,threat_flag_formation,threat,"(5, 8)","threat:(5, 8)",1886,0,0,,1886,,,
v1_3,0.1,20000,0,57270932,1891,knowledge_banking_flag_formation,knowledge_banking,"(6, 8)","knowledge_banking:(6, 8)",1891,0,0,,1891,,,
v1_3,0.1,20000,0,57270932,3267,mastery_flag_formation,mastery,"(3, 3)","mastery:(3, 3)",3267,0,0,,3267,,,
v1_3,0.1,20000,0,57270932,6878,knowledge_banking_flag_formation,knowledge_banking,"(14, 13)","knowledge_banking:(14, 13)",6878,0,0,,6878,,,
v1_3,0.1,20000,0,57270932,8700,mastery_flag_formation,mastery,"(16, 3)","mastery:(16, 3)",8700,0,0,,8700,,,
v1_3,0.1,20000,0,57270932,8700,threat_flag_transformation,threat,"(5, 8)","threat:(5, 8)",1886,0,1,,8700,8700,"knowledge_banking:(5, 8)",
v1_3,0.1,20000,0,57270932,8913,mastery_flag_formation,mastery,"(11, 5)","mastery:(11, 5)",8913,0,0,,8913,,,
v1_3,0.1,20000,0,57270932,19999,run_end,mastery,"(4, 15)","mastery:(4, 15)",842,103,0,1066,1066,,,
v1_3,0.1,20000,0,57270932,19999,run_end,mastery,"(9, 10)","mastery:(9, 10)",1106,43,0,11476,11476,,,
v1_3,0.1,20000,0,57270932,19999,run_end,mastery,"(15, 16)","mastery:(15, 16)",1662,179,0,11378,11378,,,
v1_3,0.1,20000,0,57270932,19999,run_end,knowledge_banking,"(14, 14)","knowledge_banking:(14, 14)",1777,166,0,11429,11429,,,
v1_3,0.1,20000,0,57270932,19999,run_end,knowledge_banking,"(5, 9)","knowledge_banking:(5, 9)",1885,257,0,5841,5841,,,
v1_3,0.1,20000,0,57270932,19999,run_end,threat,"(5, 8)","threat:(5, 8)",1886,0,1,,8700,8700,"knowledge_banking:(5, 8)",
v1_3,0.1,20000,0,57270932,19999,run_end,knowledge_banking,"(6, 8)","knowledge_banking:(6, 8)",1891,73,0,6147,6147,,,
v1_3,0.1,20000,0,57270932,19999,run_end,mastery,"(3, 3)","mastery:(3, 3)",3267,352,0,5881,5881,,,
v1_3,0.1,20000,0,57270932,19999,run_end,knowledge_banking,"(14, 13)","knowledge_banking:(14, 13)",6878,102,0,11276,11276,,,
v1_3,0.1,20000,0,57270932,19999,run_end,mastery,"(16, 3)","mastery:(16, 3)",8700,267,0,19234,19234,,,
v1_3,0.1,20000,0,57270932,19999,run_end,mastery,"(11, 5)","mastery:(11, 5)",8913,9,0,14513,14513,,,
v1_3,0.1,20000,1,1824147949,350,mastery_flag_formation,mastery,"(4, 15)","mastery:(4, 15)",350,0,0,,350,,,
v1_3,0.1,20000,1,1824147949,1148,mastery_flag_formation,mastery,"(16, 3)","mastery:(16, 3)",1148,0,0,,1148,,,
v1_3,0.1,20000,1,1824147949,1386,mastery_flag_formation,mastery,"(15, 16)","mastery:(15, 16)",1386,0,0,,1386,,,
v1_3,0.1,20000,1,1824147949,1411,knowledge_banking_flag_formation,knowledge_banking,"(14, 14)","knowledge_banking:(14, 14)",1411,0,0,,1411,,,
v1_3,0.1,20000,1,1824147949,1450,mastery_flag_formation,mastery,"(9, 10)","mastery:(9, 10)",1450,0,0,,1450,,,
v1_3,0.1,20000,1,1824147949,1614,knowledge_banking_flag_formation,knowledge_banking,"(5, 8)","knowledge_banking:(5, 8)",1614,0,0,,1614,,,
v1_3,0.1,20000,1,1824147949,1617,knowledge_banking_flag_formation,knowledge_banking,"(6, 8)","knowledge_banking:(6, 8)",1617,0,0,,1617,,,
v1_3,0.1,20000,1,1824147949,1623,knowledge_banking_flag_formation,knowledge_banking,"(5, 9)","knowledge_banking:(5, 9)",1623,0,0,,1623,,,
v1_3,0.1,20000,1,1824147949,2109,mastery_flag_formation,mastery,"(11, 5)","mastery:(11, 5)",2109,0,0,,2109,,,
v1_3,0.1,20000,1,1824147949,6176,knowledge_banking_flag_formation,knowledge_banking,"(14, 13)","knowledge_banking:(14, 13)",6176,0,0,,6176,,,
v1_3,0.1,20000,1,1824147949,19999,run_end,mastery,"(4, 15)","mastery:(4, 15)",350,240,0,8778,8778,,,
v1_3,0.1,20000,1,1824147949,19999,run_end,mastery,"(16, 3)","mastery:(16, 3)",1148,73,0,19356,19356,,,
