arch,run_idx,seed,hazard_cost,num_steps,object_id,surprise_step,resolution_step,resolution_window,suppressed_approach_count,pre_threshold_entries_at_surprise,bias_active_steps,approach_delta
,,,,,haz_yellow,505,364904,364399,149,1,194,12
,,,,,haz_yellow,505,536,31,1,1,30000,893
,,,,,haz_green,39861,735417,695556,320,3,168,9
,,,,,haz_yellow,505,534,29,1,1,934,61
,,,,,haz_yellow,505,535,30,1,1,12932,696
,,,,,haz_yellow,505,534,29,1,1,30000,886
,,,,,haz_yellow,505,534,29,1,1,30000,880
,,,,,haz_yellow,505,543,38,1,1,30000,888
,,,,,haz_yellow,505,538,33,1,1,30000,1036
,,,,,haz_yellow,505,55141,54636,29,1,720,36
,,,,,haz_yellow,505,534,29,1,1,30000,873
,,,,,haz_yellow,505,537,32,1,1,928,166
,,,,,haz_yellow,505,166972,166467,66,1,58,8
,,,,,haz_yellow,505,535,30,1,1,30000,909
,,,,,haz_yellow,505,1455,950,2,1,30000,894
,,,,,haz_yellow,505,939,434,1,1,30000,2126
,,,,,haz_unaff_2,7906,7910,4,6,1,16182,3807
,,,,,haz_yellow,505,534,29,1,1,934,56
,,,,,haz_yellow,505,536,31,1,1,30000,966
,,,,,haz_yellow,505,87833,87328,32,1,336,14
,,,,,haz_yellow,505,174020,173515,87,1,962,40
,,,,,haz_yellow,505,534,29,1,1,30000,953
,,,,,haz_green,8333,307291,298958,97,1,420,15
,,,,,haz_yellow,505,534,29,1,1,13934,801
,,,,,haz_yellow,505,534,29,1,1,8934,481
,,,,,haz_yellow,505,1460,955,1,1,8082,412
,,,,,haz_yellow,505,90101,89596,37,1,800,34
,,,,,haz_yellow,505,19749,19244,10,1,504,19
,,,,,haz_yellow,505,534,29,1,1,30000,925
,,,,,haz_yellow,505,1106,601,1,1,30000,961
,,,,,haz_yellow,505,611,106,2,1,23780,878
,,,,,haz_yellow,505,534,29,1,1,934,64
,,,,,haz_yellow,505,978,473,1,1,7194,308
,,,,,haz_yellow,505,535,30,1,1,30000,958
,,,,,haz_yellow,505,38034,37529,18,1,934,94
,,,,,haz_yellow,505,534,29,1,1,934,69
,,,,,haz_yellow,505,41028,40523,7,1,30000,903
,,,,,haz_yellow,505,1602,1097,1,1,30000,920
,,,,,haz_yellow,505,35072,34567,19,1,858,40
,,,,,haz_yellow,505,112944,112439,46,1,1114,142
,,,,,haz_yellow,505,630,125,1,1,30000,862
