arch,run_idx,seed,hazard_cost,num_steps,goal_type,target_id,step_budget,set_at_step,mapped_at_step,mapped_in_phase,goal_resolved,resolution_step,budget_remaining,goal_expired,last_progress_step,goal_resolution_window,progress_event_count
v1_12,0,202358875,0.1,500000,locate_family,GREEN,250000,0,55,1,True,38665,211335,False,,,1
v1_12,1,1869897005,0.1,500000,locate_family,YELLOW,250000,0,5,1,False,,,True,524,249476,1
v1_12,2,1489290374,0.1,500000,bank_hazard_within_budget,haz_green,250000,0,188,1,True,602,249398,False,,,0
v1_12,3,1108683743,0.1,500000,locate_family,GREEN,250000,0,55,1,False,,,True,6801,243199,1
v1_12,4,628738225,0.1,500000,locate_family,YELLOW,250000,0,5,1,True,534,249466,False,,,1
v1_12,5,248131594,0.1,500000,bank_hazard_within_budget,haz_green,250000,0,188,1,False,,,True,,,0
v1_12,6,1915669724,0.1,500000,locate_family,GREEN,250000,0,55,1,False,,,True,136937,113063,1
v1_12,7,1535063093,0.1,500000,locate_family,YELLOW,250000,0,5,1,False,,,True,526,249474,1
v1_12,8,1154456462,0.1,500000,bank_hazard_within_budget,haz_green,250000,0,188,1,True,53911,196089,False,,,0
v1_12,9,674510944,0.1,500000,locate_family,GREEN,250000,0,55,1,False,,,True,,,0
v1_12,0,496635339,1.0,500000,locate_family,GREEN,250000,0,55,1,False,,,True,684,249316,1
v1_12,1,16689821,1.0,500000,locate_family,YELLOW,250000,0,5,1,True,15646,234354,False,,,1
v1_12,2,1783566838,1.0,500000,bank_hazard_within_budget,haz_green,250000,0,188,1,False,,,True,,,0
v1_12,3,1303621320,1.0,500000,locate_family,GREEN,250000,0,55,1,True,24885,225115,False,,,1
v1_12,4,923014689,1.0,500000,locate_family,YELLOW,250000,0,5,1,False,,,True,522,249478,1
v1_12,5,542408058,1.0,500000,bank_hazard_within_budget,haz_green,250000,0,188,1,False,,,True,,,0
v1_12,6,62462540,1.0,500000,locate_family,GREEN,250000,0,55,1,False,,,True,,,0
v1_12,7,1829339557,1.0,500000,locate_family,YELLOW,250000,0,5,1,False,,,True,523,249477,1
v1_12,8,1349394039,1.0,500000,bank_hazard_within_budget,haz_green,250000,0,188,1,True,555,249445,False,,,0
v1_12,9,968787408,1.0,500000,locate_family,GREEN,250000,0,55,1,True,21501,228499,False,,,1
v1_12,0,271697600,2.0,500000,locate_family,GREEN,250000,0,55,1,True,16621,233379,False,,,1
v1_12,1,1939235730,2.0,500000,locate_family,YELLOW,250000,0,5,1,True,536,249464,False,,,1
v1_12,2,1558629099,2.0,500000,bank_hazard_within_budget,haz_green,250000,0,188,1,True,8327,241673,False,,,0
v1_12,3,1178022468,2.0,500000,locate_family,GREEN,250000,0,55,1,False,,,True,,,0
v1_12,4,698076950,2.0,500000,locate_family,YELLOW,250000,0,5,1,True,23781,226219,False,,,1
v1_12,5,317470319,2.0,500000,bank_hazard_within_budget,haz_green,250000,0,188,1,True,73448,176552,False,,,0
v1_12,6,1985008449,2.0,500000,locate_family,GREEN,250000,0,55,1,True,218585,31415,False,,,1
v1_12,7,1604401818,2.0,500000,locate_family,YELLOW,250000,0,5,1,True,532,249468,False,,,1
v1_12,8,1124456300,2.0,500000,bank_hazard_within_budget,haz_green,250000,0,188,1,False,,,True,,,0
v1_12,9,743849669,2.0,500000,locate_family,GREEN,250000,0,55,1,False,,,True,,,0
v1_12,0,565380326,10.0,500000,locate_family,GREEN,250000,0,55,1,True,141395,108605,False,,,1
v1_12,1,184773695,10.0,500000,locate_family,YELLOW,250000,0,5,1,True,865,249135,False,,,0
v1_12,2,1852311825,10.0,500000,bank_hazard_within_budget,haz_green,250000,0,188,1,True,3335,246665,False,,,0
v1_12,3,1471705194,10.0,500000,locate_family,GREEN,250000,0,55,1,False,,,True,,,0
v1_12,4,1091098563,10.0,500000,locate_family,YELLOW,250000,0,5,1,True,169186,80814,False,,,1
v1_12,5,611153045,10.0,500000,bank_hazard_within_budget,haz_green,250000,0,188,1,True,92084,157916,False,,,0
v1_12,6,230546414,10.0,500000,locate_family,GREEN,250000,0,55,1,True,19492,230508,False,,,1
v1_12,7,1898084544,10.0,500000,locate_family,YELLOW,250000,0,5,1,True,738,249262,False,,,1
v1_12,8,1517477913,10.0,500000,bank_hazard_within_budget,haz_green,250000,0,188,1,True,5732,244268,False,,,0
v1_12,9,1037532395,10.0,500000,locate_family,GREEN,250000,0,55,1,False,,,True,,,0
