arch,run_idx,seed,hazard_cost,num_steps,activation_step,end_state_banked_step,steps_draw_to_bank,end_state_draw_active
v1_12,0,202358875,0.1,500000,11,366135,366124,True
v1_12,1,1869897005,0.1,500000,,,,False
v1_12,2,1489290374,0.1,500000,53,23830,23777,True
v1_12,3,1108683743,0.1,500000,,,,False
v1_12,4,628738225,0.1,500000,,,,False
v1_12,5,248131594,0.1,500000,,,,False
v1_12,6,1915669724,0.1,500000,,,,False
v1_12,7,1535063093,0.1,500000,,,,False
v1_12,8,1154456462,0.1,500000,195,56499,56304,True
v1_12,9,674510944,0.1,500000,,,,False
v1_12,0,496635339,1.0,500000,124,497244,497120,True
v1_12,1,16689821,1.0,500000,,,,False
v1_12,2,1783566838,1.0,500000,,,,False
v1_12,3,1303621320,1.0,500000,,,,False
v1_12,4,923014689,1.0,500000,,,,False
v1_12,5,542408058,1.0,500000,,,,False
v1_12,6,62462540,1.0,500000,,,,False
v1_12,7,1829339557,1.0,500000,143,310157,310014,True
v1_12,8,1349394039,1.0,500000,52,23235,23183,True
v1_12,9,968787408,1.0,500000,20,21506,21486,True
v1_12,0,271697600,2.0,500000,12,16839,16827,True
v1_12,1,1939235730,2.0,500000,3,15899,15896,True
v1_12,2,1558629099,2.0,500000,230,309892,309662,True
v1_12,3,1178022468,2.0,500000,,,,False
v1_12,4,698076950,2.0,500000,,,,False
v1_12,5,317470319,2.0,500000,45,283209,283164,True
v1_12,6,1985008449,2.0,500000,66,311939,311873,True
v1_12,7,1604401818,2.0,500000,17,194269,194252,True
v1_12,8,1124456300,2.0,500000,,,,False
v1_12,9,743849669,2.0,500000,,,,False
v1_12,0,565380326,10.0,500000,16,141401,141385,True
v1_12,1,184773695,10.0,500000,,,,False
v1_12,2,1852311825,10.0,500000,,,,False
v1_12,3,1471705194,10.0,500000,,,,False
v1_12,4,1091098563,10.0,500000,119,171923,171804,True
v1_12,5,611153045,10.0,500000,,,,False
v1_12,6,230546414,10.0,500000,15,19517,19502,True
v1_12,7,1898084544,10.0,500000,92,59510,59418,True
v1_12,8,1517477913,10.0,500000,29,382099,382070,True
v1_12,9,1037532395,10.0,500000,,,,False
