arch,run_idx,seed,hazard_cost,env2_seed,env2_activation_step,env2_phase_1_end_step,env2_end_state_banked_step,env2_yellow_pre_transition_entries,env2_yellow_resolution_window,env2_green_pre_transition_entries,env2_green_resolution_window,env2_q5_chain_count,env2_q5_mean_chain_depth,att_blue_mastery_step,att_blue_mastery_env,predicted_record_state_at_run_end,att_blue_sequence_position,env2_mastery_order_sequence,env2_att_yellow_mastery_step,env2_att_green_mastery_step,env2_actual_steps
v1_16,0,202358875,0.1,202368875,,,,1,,0,,0,0.0,65,2,confirmed,,"['att_free_0', 'att_yellow', 'att_free_1', 'att_free_2', 'att_green', 'att_free_3']",,,66
v1_16,1,1869897005,0.1,1869907005,,,,1,348,0,,0,0.0,381,2,confirmed,,"['att_yellow', 'att_free_1', 'att_free_2', 'att_green']",348,,382
v1_16,2,1489290374,0.1,1489300374,,,,1,,0,,0,0.0,301,2,confirmed,,"['att_free_0', 'att_yellow', 'att_free_1', 'att_free_2', 'att_green']",,294,302
v1_16,3,1108683743,0.1,1108693743,,,,1,,0,,0,0.0,98,2,confirmed,,"['att_free_0', 'att_free_1', 'att_yellow', 'att_free_2', 'att_green']",,,99
v1_16,4,628738225,0.1,628748225,,,,1,,0,,0,0.0,63,2,confirmed,,"['att_free_0', 'att_free_1', 'att_free_2', 'att_green']",,,64
v1_16,5,248131594,0.1,248141594,,,,1,,0,,0,0.0,88,2,confirmed,,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_2', 'att_green', 'att_free_3']",,78,89
v1_16,6,1915669724,0.1,1915679724,,,,1,,0,,0,0.0,150,2,confirmed,,"['att_free_0', 'att_yellow', 'att_free_1', 'att_free_2', 'att_green', 'att_free_3']",,,151
v1_16,7,1535063093,0.1,1535073093,,,,1,,0,,0,0.0,81,2,confirmed,,"['att_free_0', 'att_free_1', 'att_yellow', 'att_free_2', 'att_green']",,11,82
v1_16,8,1154456462,0.1,1154466462,,,,1,,0,,0,0.0,196,2,confirmed,,"['att_free_0', 'att_free_1', 'att_yellow', 'att_free_2', 'att_green']",,188,197
v1_16,9,674510944,0.1,674520944,,,,1,,0,,0,0.0,436,2,confirmed,,"['att_free_0', 'att_free_1', 'att_yellow', 'att_free_2', 'att_green']",,426,437
v1_16,10,10,1.0,10010,,,,1,,0,,0,0.0,29,2,confirmed,,"['att_free_0', 'att_free_1', 'att_yellow', 'att_free_2', 'att_green', 'att_free_3']",,20,30
v1_16,11,1010,1.0,11010,,,,1,,0,,0,0.0,95,2,confirmed,,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_2', 'att_green']",,,96
v1_16,12,2010,1.0,12010,,,,1,164,0,,0,0.0,176,2,confirmed,,"['att_free_0', 'att_free_1', 'att_yellow', 'att_free_2', 'att_green']",164,,177
v1_16,13,3010,1.0,13010,,,,1,,0,,0,0.0,159,2,confirmed,,"['att_free_0', 'att_free_1', 'att_yellow', 'att_free_2', 'att_green', 'att_free_3']",,,160
v1_16,14,4010,1.0,14010,,,,1,,0,,0,0.0,192,2,confirmed,,"['att_free_0', 'att_yellow', 'att_free_1', 'att_free_2', 'att_green']",,,193
v1_16,15,5010,1.0,15010,,,,1,,0,,0,0.0,176,2,confirmed,,"['att_free_0', 'att_free_1', 'att_yellow', 'att_free_2', 'att_green', 'att_free_3']",,,177
v1_16,16,6010,1.0,16010,,,,1,,0,,0,0.0,42,2,confirmed,,"['att_free_0', 'att_free_1', 'att_yellow', 'att_free_2', 'att_green']",,,43
v1_16,17,7010,1.0,17010,,,,1,,0,,0,0.0,414,2,confirmed,,"['att_free_0', 'att_free_1', 'att_yellow', 'att_free_2', 'att_green', 'att_free_3']",,402,415
v1_16,18,8010,1.0,18010,,,,1,,0,,0,0.0,68,2,confirmed,,"['att_free_0', 'att_free_1', 'att_yellow', 'att_free_2', 'att_green', 'att_free_3']",,,69
v1_16,19,9010,1.0,19010,,,,1,,0,,0,0.0,277,2,confirmed,,"['att_free_0', 'att_free_1', 'att_yellow', 'att_free_2', 'att_green']",,,278
v1_16,20,20,2.0,10020,,,,1,,0,,0,0.0,71,2,confirmed,,"['att_free_0', 'att_free_1', 'att_yellow', 'att_free_3', 'att_free_2', 'att_green']",,64,72
v1_16,21,1020,2.0,11020,,,,1,,0,,0,0.0,2337,2,confirmed,,"['att_free_0', 'att_free_1', 'att_yellow', 'att_free_2', 'att_green']",,2328,2338
v1_16,22,2020,2.0,12020,,,,1,,0,,0,0.0,20,2,confirmed,,"['att_free_0', 'att_free_2', 'att_free_1', 'att_yellow', 'att_free_3', 'att_green']",,,21
v1_16,23,3020,2.0,13020,,,,1,,0,,0,0.0,22,2,confirmed,,"['att_free_2', 'att_free_1', 'att_yellow', 'att_free_0', 'att_free_3', 'att_green']",,,23
v1_16,24,4020,2.0,14020,,,,1,,0,,0,0.0,220,2,confirmed,,"['att_free_0', 'att_free_1', 'att_yellow', 'att_free_2', 'att_green']",,,221
v1_16,25,5020,2.0,15020,,,,1,,0,,0,0.0,305,2,confirmed,,"['att_free_2', 'att_free_1', 'att_yellow', 'att_free_0', 'att_free_3', 'att_green']",,296,306
v1_16,26,6020,2.0,16020,,,,1,645,0,,0,0.0,674,2,confirmed,,"['att_free_0', 'att_free_1', 'att_yellow', 'att_free_2', 'att_green', 'att_free_3']",645,,675
