arch,run_idx,seed,hazard_cost,object_id,predicted_precondition,basis_chains,state,prediction_step,confirmation_step,confirming_env,unresolvable
v1_13_4,0,202358875,0.1,haz_blue,att_blue,haz_green|haz_yellow,predicted,365000,,,False
v1_13_4,2,1489290374,0.1,haz_blue,att_blue,haz_green|haz_yellow,predicted,1000,,,False
v1_13_4,3,1108683743,0.1,haz_blue,att_blue,haz_green|haz_yellow,predicted,7000,,,False
v1_13_4,4,628738225,0.1,haz_blue,att_blue,haz_green|haz_yellow,predicted,71500,,,False
v1_13_4,6,1915669724,0.1,haz_blue,att_blue,haz_green|haz_yellow,predicted,137000,,,False
v1_13_4,7,1535063093,0.1,haz_blue,att_blue,haz_green|haz_yellow,predicted,8000,,,False
v1_13_4,8,1154456462,0.1,haz_blue,att_blue,haz_green|haz_yellow,predicted,55500,,,False
v1_13_4,10,496635339,1.0,haz_blue,att_blue,haz_green|haz_yellow,predicted,1000,,,False
v1_13_4,11,16689821,1.0,haz_blue,att_blue,haz_green|haz_yellow,predicted,4500,,,False
v1_13_4,14,923014689,1.0,haz_blue,att_blue,haz_green|haz_yellow,predicted,154500,,,False
v1_13_4,17,1829339557,1.0,haz_blue,att_blue,haz_green|haz_yellow,predicted,15500,,,False
v1_13_4,18,1349394039,1.0,haz_blue,att_blue,haz_green|haz_yellow,predicted,23000,,,False
v1_13_4,19,968787408,1.0,haz_blue,att_blue,haz_green|haz_yellow,predicted,1000,,,False
v1_13_4,20,271697600,2.0,haz_blue,att_blue,haz_green|haz_yellow,predicted,2000,,,False
v1_13_4,21,1939235730,2.0,haz_blue,att_blue,haz_green|haz_yellow,predicted,2000,,,False
v1_13_4,22,1558629099,2.0,haz_blue,att_blue,haz_green|haz_yellow,predicted,8500,,,False
v1_13_4,25,317470319,2.0,haz_blue,att_blue,haz_green|haz_yellow,predicted,73500,,,False
v1_13_4,26,1985008449,2.0,haz_blue,att_blue,haz_green|haz_yellow,predicted,35500,,,False
v1_13_4,27,1604401818,2.0,haz_blue,att_blue,haz_green|haz_yellow,predicted,118500,,,False
v1_13_4,30,565380326,10.0,haz_blue,att_blue,haz_green|haz_yellow,predicted,122500,,,False
v1_13_4,31,184773695,10.0,haz_blue,att_blue,haz_green|haz_yellow,predicted,15500,,,False
v1_13_4,32,1852311825,10.0,haz_blue,att_blue,haz_green|haz_yellow,predicted,3500,,,False
v1_13_4,34,1091098563,10.0,haz_blue,att_blue,haz_green|haz_yellow,predicted,152000,,,False
v1_13_4,35,611153045,10.0,haz_blue,att_blue,haz_green|haz_yellow,predicted,92500,,,False
v1_13_4,36,230546414,10.0,haz_blue,att_blue,haz_green|haz_yellow,predicted,1000,,,False
v1_13_4,37,1898084544,10.0,haz_blue,att_blue,haz_green|haz_yellow,predicted,6500,,,False
v1_13_4,38,1517477913,10.0,haz_blue,att_blue,haz_green|haz_yellow,predicted,6000,,,False
