arch,run_idx,seed,hazard_cost,num_steps,object_id,surprise_step,resolution_step,resolution_window,suppressed_approach_count,pre_threshold_entries_at_surprise,bias_active_steps,approach_delta
,,,,,haz_yellow,505,38927,38422,14,1,148,16
,,,,,haz_yellow,505,536,31,1,1,4930,1179
,,,,,haz_yellow,505,534,29,1,1,934,73
,,,,,haz_yellow,505,535,30,1,1,932,127
,,,,,haz_yellow,505,534,29,1,1,934,112
,,,,,haz_yellow,505,38090,37585,21,1,822,32
,,,,,haz_yellow,505,543,38,1,1,2916,144
,,,,,haz_yellow,505,538,33,1,1,926,79
,,,,,haz_yellow,505,534,29,1,1,934,64
,,,,,haz_yellow,505,666,161,2,1,1670,211
,,,,,haz_yellow,505,2005,1500,3,1,992,47
,,,,,haz_yellow,505,982,477,2,1,1038,241
,,,,,haz_yellow,505,1222,717,3,1,558,25
,,,,,haz_yellow,505,535,30,1,1,932,67
,,,,,haz_yellow,505,539,34,1,1,30000,991
,,,,,haz_yellow,505,537,32,1,1,928,63
,,,,,haz_yellow,505,534,29,1,1,934,95
,,,,,haz_yellow,505,536,31,1,1,930,119
,,,,,haz_yellow,505,534,29,1,1,30000,1268
,,,,,haz_yellow,505,597,92,2,1,808,116
,,,,,haz_yellow,505,2985,2480,5,1,38,7
,,,,,haz_yellow,505,534,29,1,1,934,86
,,,,,haz_yellow,505,534,29,1,1,1934,266
,,,,,haz_yellow,505,534,29,1,1,934,105
,,,,,haz_yellow,505,537,32,1,1,928,85
,,,,,haz_yellow,505,535,30,1,1,932,146
,,,,,haz_yellow,505,1710,1205,3,1,582,122
,,,,,haz_yellow,505,6837,6332,6,1,328,21
,,,,,haz_yellow,505,590,85,2,1,822,67
,,,,,haz_yellow,505,1335,830,2,1,332,18
,,,,,haz_yellow,505,534,29,1,1,8596,477
,,,,,haz_yellow,505,534,29,1,1,30000,926
,,,,,haz_yellow,505,566,61,1,1,870,109
,,,,,haz_yellow,505,642,137,2,1,718,51
,,,,,haz_yellow,505,197380,196875,79,1,242,17
,,,,,haz_yellow,505,838,333,2,1,5326,291
,,,,,haz_yellow,505,31745,31240,15,1,512,36
,,,,,haz_yellow,505,535,30,1,1,932,71
,,,,,haz_yellow,505,534,29,1,1,30000,954
,,,,,haz_yellow,505,566,61,2,1,3870,389
