arch,hazard_cost,num_steps,run_idx,seed,permutation_offset,phase_1_end,phase_2_end,frame_attempts_p1,frame_attempts_p2,frame_attempts_p3,hazard_entries_p1,hazard_entries_p2,hazard_entries_p3,total_cost,mastered_pairs,top_attractor,top_attractor_pref,phase_3_clean,full_run_clean,hazards_flagged,time_to_first_flag,time_to_second_flag,time_to_final_flag,first_entry_conversions,cost_on_sig_matched,actions_gated_p2,actions_gated_p3,attractors_mastered,time_to_first_mastery,time_to_final_mastery,first_banked,mastery_sequence,post_mastery_visits_total,p3_visits_to_mastered,p3_visits_to_unmastered,end_state_cell,activation_step,end_state_found_step,end_state_visits,end_state_banked,post_activation_window,discovery_time,hazards_transitioned,hazards_banked_as_knowledge,time_to_first_transition,time_to_final_transition,transition_order_sequence,knowledge_banked_sequence,hazard_thresholds,competency_unlock_steps,knowledge_banked_steps,knowledge_entries_per_cell,pre_transition_entries_per_cell
v0_14_repl,1.0,20000,1,1265485550,1,331,12000,0,0,0,0,0,0,0.0,94,"(3, 3)",0.0,True,True,0,,,,0,0.0,4535,5130,5,610,11357,"(4, 15)","(4, 15)|(15, 16)|(11, 5)|(16, 3)|(3, 3)",1999,858,0,"(2, 4)",,,0,False,,,5,3,610,11357,"(5, 8)|(14, 13)|(14, 14)|(6, 8)|(5, 9)","(14, 13)|(6, 8)|(5, 8)","(5, 8):1|(5, 9):5|(6, 8):4|(14, 13):2|(14, 14):3","(5, 8):610|(5, 9):11357|(6, 8):2104|(14, 13):906|(14, 14):1245","(5, 8):11170|(5, 9):None|(6, 8):11169|(14, 13):1146|(14, 14):None","(5, 8):57|(5, 9):0|(6, 8):60|(14, 13):18|(14, 14):0","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):0|(14, 14):0"
v0_14_repl,1.0,20000,2,884878919,1,331,12000,0,0,0,0,5,0,5.0,87,"(3, 3)",0.0,True,False,1,8992,,8992,0,0.0,5053,6387,3,1012,8902,"(4, 15)","(4, 15)|(9, 10)|(15, 16)",745,123,0,"(13, 3)",,,0,False,,,3,3,1012,8902,"(5, 8)|(5, 9)|(14, 14)","(5, 9)|(5, 8)|(14, 14)","(5, 8):1|(5, 9):2|(6, 8):4|(14, 13):5|(14, 14):3","(5, 8):1012|(5, 9):2200|(6, 8):None|(14, 13):None|(14, 14):8902","(5, 8):2406|(5, 9):2405|(6, 8):None|(14, 13):None|(14, 14):8981","(5, 8):39|(5, 9):41|(6, 8):0|(14, 13):0|(14, 14):276","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):3|(14, 14):2"
v0_14_repl,1.0,20000,3,404933401,1,331,12000,0,0,0,0,5,0,5.0,104,"(3, 3)",0.0,True,False,1,1377,,1377,0,0.0,2420,5486,5,350,11030,"(4, 15)","(4, 15)|(11, 5)|(15, 16)|(9, 10)|(16, 3)",1507,89,0,"(13, 12)",,,0,False,,,5,4,350,11030,"(6, 8)|(14, 14)|(14, 13)|(5, 9)|(5, 8)","(6, 8)|(14, 13)|(14, 14)|(5, 9)","(5, 8):5|(5, 9):4|(6, 8):1|(14, 13):3|(14, 14):2","(5, 8):11030|(5, 9):2942|(6, 8):350|(14, 13):1782|(14, 14):1513","(5, 8):None|(5, 9):4031|(6, 8):1181|(14, 13):1854|(14, 14):1855","(5, 8):0|(5, 9):30|(6, 8):89|(14, 13):422|(14, 14):704","(5, 8):2|(5, 9):3|(6, 8):0|(14, 13):0|(14, 14):0"
v0_14_repl,1.0,20000,4,24326770,1,331,12000,0,0,0,0,1,0,1.0,101,"(3, 3)",0.0,True,True,0,,,,0,0.0,1713,8999,6,410,11828,"(4, 15)","(4, 15)|(9, 10)|(3, 3)|(11, 5)|(16, 3)|(15, 16)",574,34,0,"(17, 14)",11828,11988,19,True,8172,160,5,5,410,3950,"(5, 9)|(14, 13)|(6, 8)|(14, 14)|(5, 8)","(5, 9)|(14, 13)|(6, 8)|(5, 8)|(14, 14)","(5, 8):5|(5, 9):1|(6, 8):3|(14, 13):2|(14, 14):4","(5, 8):3950|(5, 9):410|(6, 8):1063|(14, 13):534|(14, 14):3715","(5, 8):6360|(5, 9):525|(6, 8):6359|(14, 13):650|(14, 14):6621","(5, 8):59|(5, 9):10|(6, 8):61|(14, 13):113|(14, 14):91","(5, 8):1|(5, 9):0|(6, 8):0|(14, 13):0|(14, 14):0"
v0_14_repl,1.0,20000,5,1691864900,1,331,12000,0,0,0,0,1,0,1.0,90,"(3, 3)",0.0,True,True,0,,,,0,0.0,2396,878,5,508,5186,"(4, 15)","(4, 15)|(9, 10)|(11, 5)|(16, 3)|(15, 16)",268,0,0,"(1, 15)",,,0,False,,,5,5,508,5186,"(14, 13)|(5, 9)|(5, 8)|(6, 8)|(14, 14)","(14, 13)|(5, 8)|(5, 9)|(6, 8)|(14, 14)","(5, 8):3|(5, 9):2|(6, 8):4|(14, 13):1|(14, 14):5","(5, 8):2389|(5, 9):2006|(6, 8):2436|(14, 13):508|(14, 14):5186","(5, 8):4742|(5, 9):4743|(6, 8):4747|(14, 13):2116|(14, 14):5247","(5, 8):56|(5, 9):50|(6, 8):4|(14, 13):70|(14, 14):34","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):0|(14, 14):1"
v0_14_repl,1.0,20000,6,1311258269,1,331,12000,0,0,0,0,3,0,3.0,100,"(3, 3)",0.0,True,False,1,2209,,2209,0,0.0,5075,2864,4,1078,18209,"(4, 15)","(4, 15)|(15, 16)|(16, 3)|(3, 3)",1572,13,0,"(12, 1)",,,0,False,,,4,4,1078,18209,"(5, 8)|(14, 13)|(6, 8)|(5, 9)","(14, 13)|(6, 8)|(5, 8)|(5, 9)","(5, 8):1|(5, 9):4|(6, 8):3|(14, 13):2|(14, 14):5","(5, 8):1078|(5, 9):18209|(6, 8):5846|(14, 13):1616|(14, 14):None","(5, 8):18346|(5, 9):18351|(6, 8):18345|(14, 13):1668|(14, 14):None","(5, 8):6|(5, 9):4|(6, 8):5|(14, 13):75|(14, 14):0","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):0|(14, 14):3"
v0_14_repl,1.0,20000,7,831312751,1,331,12000,0,0,0,0,4,0,4.0,88,"(3, 3)",0.0,True,False,1,878,,878,0,0.0,1781,5268,5,628,3648,"(4, 15)","(4, 15)|(15, 16)|(9, 10)|(11, 5)|(16, 3)",882,490,0,"(7, 18)",,,0,False,,,5,2,628,3648,"(5, 8)|(6, 8)|(14, 14)|(14, 13)|(5, 9)","(14, 14)|(14, 13)","(5, 8):1|(5, 9):5|(6, 8):2|(14, 13):4|(14, 14):3","(5, 8):628|(5, 9):3648|(6, 8):1056|(14, 13):3535|(14, 14):1432","(5, 8):None|(5, 9):None|(6, 8):None|(14, 13):6676|(14, 14):1557","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):232|(14, 14):259","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):3|(14, 14):1"
v0_14_repl,1.0,20000,8,450706120,1,331,12000,0,0,0,0,6,0,6.0,72,"(3, 3)",0.0,True,False,2,5335,5585,5585,0,0.0,3811,625,3,418,5499,"(4, 15)","(4, 15)|(9, 10)|(11, 5)",715,217,0,"(13, 18)",,,0,False,,,3,2,418,5499,"(5, 8)|(14, 13)|(6, 8)","(5, 8)|(6, 8)","(5, 8):1|(5, 9):4|(6, 8):3|(14, 13):2|(14, 14):5","(5, 8):418|(5, 9):None|(6, 8):5499|(14, 13):5148|(14, 14):None","(5, 8):4976|(5, 9):None|(6, 8):5547|(14, 13):None|(14, 14):None","(5, 8):899|(5, 9):0|(6, 8):923|(14, 13):0|(14, 14):0","(5, 8):0|(5, 9):3|(6, 8):3|(14, 13):0|(14, 14):0"
v0_14_repl,1.0,20000,9,70099489,1,331,12000,0,0,0,0,4,0,4.0,74,"(3, 3)",0.0,True,False,2,604,3008,3008,1,1.0,4368,7701,5,406,5415,"(4, 15)","(4, 15)|(9, 10)|(16, 3)|(11, 5)|(3, 3)",632,0,0,"(18, 16)",,,0,False,,,5,3,406,5415,"(5, 9)|(6, 8)|(14, 14)|(14, 13)|(5, 8)","(5, 9)|(5, 8)|(6, 8)","(5, 8):5|(5, 9):1|(6, 8):2|(14, 13):4|(14, 14):3","(5, 8):5415|(5, 9):406|(6, 8):2394|(14, 13):3489|(14, 14):3076","(5, 8):5484|(5, 9):579|(6, 8):5485|(14, 13):None|(14, 14):None","(5, 8):11|(5, 9):259|(6, 8):11|(14, 13):0|(14, 14):0","(5, 8):3|(5, 9):0|(6, 8):0|(14, 13):1|(14, 14):0"
v0_14_repl,2.0,20000,0,1031269394,1,331,12000,0,0,0,0,9,0,18.0,95,"(15, 16)",0.15,True,False,4,2045,3060,10081,3,3.0,3395,1265,5,466,11824,"(4, 15)","(4, 15)|(3, 3)|(11, 5)|(16, 3)|(9, 10)",752,145,0,"(7, 12)",,,0,False,,,5,5,466,11824,"(14, 13)|(6, 8)|(5, 8)|(14, 14)|(5, 9)","(14, 13)|(6, 8)|(5, 8)|(14, 14)|(5, 9)","(5, 8):3|(5, 9):5|(6, 8):2|(14, 13):1|(14, 14):4","(5, 8):4287|(5, 9):11824|(6, 8):2069|(14, 13):466|(14, 14):10596","(5, 8):10086|(5, 9):16917|(6, 8):10085|(14, 13):6378|(14, 14):16647","(5, 8):18|(5, 9):135|(6, 8):17|(14, 13):160|(14, 14):4","(5, 8):3|(5, 9):2|(6, 8):3|(14, 13):0|(14, 14):1"
v0_14_repl,2.0,20000,1,551323876,1,331,12000,0,0,0,0,4,0,8.0,85,"(3, 3)",0.0,True,False,2,2076,2123,2123,1,1.0,3983,4316,5,590,4855,"(4, 15)","(4, 15)|(9, 10)|(11, 5)|(16, 3)|(3, 3)",977,111,0,"(8, 2)",,,0,False,,,5,2,590,4855,"(6, 8)|(14, 13)|(5, 8)|(14, 14)|(5, 9)","(6, 8)|(5, 8)","(5, 8):3|(5, 9):5|(6, 8):1|(14, 13):2|(14, 14):4","(5, 8):2405|(5, 9):4855|(6, 8):590|(14, 13):1630|(14, 14):3272","(5, 8):4826|(5, 9):None|(6, 8):2037|(14, 13):None|(14, 14):None","(5, 8):10|(5, 9):0|(6, 8):89|(14, 13):0|(14, 14):0","(5, 8):3|(5, 9):1|(6, 8):0|(14, 13):0|(14, 14):0"
v0_14_repl,2.0,20000,2,170717245,1,331,12000,0,0,0,0,3,0,6.0,63,"(3, 3)",0.0,True,False,1,3851,,3851,0,0.0,4599,3700,4,430,4210,"(4, 15)","(4, 15)|(15, 16)|(11, 5)|(9, 10)",1087,207,0,"(8, 17)",,,0,False,,,4,1,430,4210,"(6, 8)|(14, 13)|(5, 8)|(5, 9)","(14, 13)","(5, 8):3|(5, 9):4|(6, 8):1|(14, 13):2|(14, 14):5","(5, 8):3911|(5, 9):4210|(6, 8):430|(14, 13):3714|(14, 14):None","(5, 8):None|(5, 9):None|(6, 8):None|(14, 13):3810|(14, 14):None","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):36|(14, 14):0","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):0|(14, 14):3"
v0_14_repl,2.0,20000,3,1838255375,1,331,12000,0,0,0,0,0,0,0.0,99,"(3, 3)",0.0,True,True,0,,,,0,0.0,4125,1052,5,376,7081,"(4, 15)","(4, 15)|(9, 10)|(16, 3)|(11, 5)|(3, 3)",1064,137,0,"(12, 7)",,,0,False,,,5,3,376,7081,"(14, 14)|(6, 8)|(5, 9)|(5, 8)|(14, 13)","(6, 8)|(5, 8)|(5, 9)","(5, 8):4|(5, 9):3|(6, 8):2|(14, 13):5|(14, 14):1","(5, 8):3349|(5, 9):694|(6, 8):610|(14, 13):7081|(14, 14):376","(5, 8):12490|(5, 9):12495|(6, 8):12489|(14, 13):None|(14, 14):None","(5, 8):281|(5, 9):382|(6, 8):15|(14, 13):0|(14, 14):0","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):0|(14, 14):0"
v0_14_repl,2.0,20000,4,1457648744,1,331,12000,0,0,0,0,3,0,6.0,84,"(3, 3)",0.0,True,False,1,3963,,3963,0,0.0,3187,1287,3,338,10296,"(4, 15)","(4, 15)|(15, 16)|(9, 10)",476,59,0,"(11, 4)",,,0,False,,,3,1,338,10296,"(5, 8)|(14, 13)|(6, 8)","(14, 13)","(5, 8):1|(5, 9):4|(6, 8):3|(14, 13):2|(14, 14):5","(5, 8):338|(5, 9):None|(6, 8):10296|(14, 13):642|(14, 14):None","(5, 8):None|(5, 9):None|(6, 8):None|(14, 13):1656|(14, 14):None","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):1220|(14, 14):0","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):0|(14, 14):3"
v0_14_repl,2.0,20000,5,977703226,1,331,12000,0,0,0,0,8,0,16.0,82,"(3, 3)",0.0,True,False,3,1405,2272,3195,1,1.0,2709,4887,5,344,16559,"(4, 15)","(4, 15)|(11, 5)|(9, 10)|(16, 3)|(3, 3)",638,230,0,"(2, 2)",,,0,False,,,5,3,344,16559,"(14, 14)|(6, 8)|(5, 8)|(14, 13)|(5, 9)","(6, 8)|(5, 8)|(5, 9)","(5, 8):3|(5, 9):5|(6, 8):2|(14, 13):4|(14, 14):1","(5, 8):2948|(5, 9):16559|(6, 8):1609|(14, 13):4274|(14, 14):344","(5, 8):3026|(5, 9):16647|(6, 8):2275|(14, 13):None|(14, 14):None","(5, 8):118|(5, 9):5|(6, 8):245|(14, 13):0|(14, 14):0","(5, 8):2|(5, 9):3|(6, 8):3|(14, 13):0|(14, 14):0"
v0_14_repl,2.0,20000,6,597096595,1,331,12000,0,0,0,0,0,0,0.0,69,"(3, 3)",0.0,True,True,0,,,,0,0.0,6191,3022,1,638,638,"(4, 15)","(4, 15)",255,83,0,"(1, 14)",,,0,False,,,1,0,638,638,"(14, 13)",,"(5, 8):4|(5, 9):3|(6, 8):2|(14, 13):1|(14, 14):5","(5, 8):None|(5, 9):None|(6, 8):None|(14, 13):638|(14, 14):None","(5, 8):None|(5, 9):None|(6, 8):None|(14, 13):None|(14, 14):None","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):0|(14, 14):0","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):0|(14, 14):0"
v0_14_repl,2.0,20000,7,216489964,1,331,12000,0,0,0,0,6,0,12.0,100,"(3, 3)",0.0,True,False,1,2107,,2107,0,0.0,1757,2331,5,362,5358,"(4, 15)","(4, 15)|(9, 10)|(3, 3)|(11, 5)|(16, 3)",1072,252,0,"(8, 9)",,,0,False,,,5,5,362,5358,"(14, 13)|(5, 9)|(5, 8)|(6, 8)|(14, 14)","(5, 8)|(5, 9)|(6, 8)|(14, 14)|(14, 13)","(5, 8):3|(5, 9):2|(6, 8):4|(14, 13):1|(14, 14):5","(5, 8):1523|(5, 9):702|(6, 8):4417|(14, 13):362|(14, 14):5358","(5, 8):2004|(5, 9):2005|(6, 8):4473|(14, 13):9718|(14, 14):9715","(5, 8):316|(5, 9):267|(6, 8):634|(14, 13):41|(14, 14):43","(5, 8):2|(5, 9):1|(6, 8):3|(14, 13):0|(14, 14):0"
v0_14_repl,2.0,20000,8,1884028094,1,331,12000,0,0,0,0,2,0,4.0,90,"(3, 3)",0.0,True,True,0,,,,0,0.0,3308,1856,6,340,5618,"(4, 15)","(4, 15)|(9, 10)|(3, 3)|(11, 5)|(15, 16)|(16, 3)",1043,164,0,"(1, 11)",5618,6085,513,True,14382,467,5,5,340,4396,"(14, 14)|(5, 8)|(6, 8)|(14, 13)|(5, 9)","(5, 8)|(6, 8)|(14, 13)|(14, 14)|(5, 9)","(5, 8):2|(5, 9):5|(6, 8):3|(14, 13):4|(14, 14):1","(5, 8):488|(5, 9):4396|(6, 8):667|(14, 13):1907|(14, 14):340","(5, 8):618|(5, 9):4837|(6, 8):865|(14, 13):4370|(14, 14):4371","(5, 8):97|(5, 9):241|(6, 8):79|(14, 13):14|(14, 14):13","(5, 8):0|(5, 9):1|(6, 8):1|(14, 13):0|(14, 14):0"
v0_14_repl,2.0,20000,9,1503421463,1,331,12000,0,0,0,0,4,0,8.0,92,"(3, 3)",0.0,True,False,2,764,1027,1027,1,1.0,4259,636,3,358,5608,"(4, 15)","(4, 15)|(3, 3)|(9, 10)",796,286,0,"(8, 6)",,,0,False,,,3,1,358,5608,"(5, 9)|(14, 13)|(14, 14)","(5, 9)","(5, 8):5|(5, 9):1|(6, 8):4|(14, 13):2|(14, 14):3","(5, 8):None|(5, 9):358|(6, 8):None|(14, 13):1111|(14, 14):5608","(5, 8):None|(5, 9):643|(6, 8):None|(14, 13):None|(14, 14):None","(5, 8):0|(5, 9):660|(6, 8):0|(14, 13):0|(14, 14):0","(5, 8):3|(5, 9):0|(6, 8):1|(14, 13):0|(14, 14):0"
v0_14_repl,5.0,20000,0,2101982337,1,331,12000,0,0,0,0,1,0,5.0,72,"(3, 3)",0.0,True,True,0,,,,0,0.0,3017,2720,5,672,2375,"(4, 15)","(4, 15)|(9, 10)|(16, 3)|(11, 5)|(3, 3)",2258,1158,0,"(17, 6)",,,0,False,,,5,4,672,2375,"(14, 13)|(6, 8)|(5, 9)|(5, 8)|(14, 14)","(14, 13)|(5, 8)|(6, 8)|(5, 9)","(5, 8):4|(5, 9):3|(6, 8):2|(14, 13):1|(14, 14):5","(5, 8):1889|(5, 9):1512|(6, 8):1294|(14, 13):672|(14, 14):2375","(5, 8):2212|(5, 9):2219|(6, 8):2213|(14, 13):1344|(14, 14):None","(5, 8):6|(5, 9):32|(6, 8):4|(14, 13):3|(14, 14):0","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):0|(14, 14):1"
v0_14_repl,5.0,20000,1,1721375706,1,331,12000,0,0,0,0,4,0,20.0,58,"(3, 3)",0.0,True,False,1,8680,,8680,0,0.0,3019,122,2,1098,1533,"(4, 15)","(4, 15)|(3, 3)",1317,556,0,"(17, 12)",,,0,False,,,2,0,1098,1533,"(14, 14)|(14, 13)",,"(5, 8):5|(5, 9):3|(6, 8):4|(14, 13):2|(14, 14):1","(5, 8):None|(5, 9):None|(6, 8):None|(14, 13):1533|(14, 14):1098","(5, 8):None|(5, 9):None|(6, 8):None|(14, 13):None|(14, 14):None","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):0|(14, 14):0","(5, 8):3|(5, 9):0|(6, 8):1|(14, 13):0|(14, 14):0"
v0_14_repl,5.0,20000,2,1241430188,1,331,12000,0,0,0,0,3,0,15.0,90,"(3, 3)",0.0,True,False,1,7629,,7629,0,0.0,3831,336,5,442,10188,"(4, 15)","(4, 15)|(3, 3)|(11, 5)|(9, 10)|(16, 3)",832,117,0,"(11, 4)",,,0,False,,,5,3,442,10188,"(5, 9)|(5, 8)|(14, 13)|(14, 14)|(6, 8)","(5, 8)|(5, 9)|(6, 8)","(5, 8):2|(5, 9):1|(6, 8):5|(14, 13):3|(14, 14):4","(5, 8):4269|(5, 9):442|(6, 8):10188|(14, 13):6125|(14, 14):7490","(5, 8):7402|(5, 9):7405|(6, 8):12411|(14, 13):None|(14, 14):None","(5, 8):1265|(5, 9):337|(6, 8):33|(14, 13):0|(14, 14):0","(5, 8):0|(5, 9):0|(6, 8):3|(14, 13):0|(14, 14):0"
v0_14_repl,5.0,20000,3,860823557,1,331,12000,0,0,0,0,0,0,0.0,88,"(3, 3)",0.0,True,True,0,,,,0,0.0,4554,1144,5,340,4882,"(4, 15)","(4, 15)|(9, 10)|(11, 5)|(3, 3)|(15, 16)",591,74,0,"(15, 1)",,,0,False,,,5,2,340,4882,"(14, 14)|(5, 9)|(5, 8)|(14, 13)|(6, 8)","(14, 14)|(14, 13)","(5, 8):3|(5, 9):2|(6, 8):5|(14, 13):4|(14, 14):1","(5, 8):3933|(5, 9):3790|(6, 8):4882|(14, 13):4271|(14, 14):340","(5, 8):None|(5, 9):None|(6, 8):None|(14, 13):8514|(14, 14):8513","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):91|(14, 14):99","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):0|(14, 14):0"
v0_14_repl,5.0,20000,4,380878039,1,331,12000,0,0,0,0,0,0,0.0,84,"(3, 3)",0.0,True,True,0,,,,0,0.0,6853,2061,2,338,2281,"(4, 15)","(4, 15)|(3, 3)",370,23,0,"(1, 16)",,,0,False,,,2,1,338,2281,"(5, 9)|(6, 8)","(5, 9)","(5, 8):3|(5, 9):1|(6, 8):2|(14, 13):5|(14, 14):4","(5, 8):None|(5, 9):338|(6, 8):2281|(14, 13):None|(14, 14):None","(5, 8):None|(5, 9):477|(6, 8):None|(14, 13):None|(14, 14):None","(5, 8):0|(5, 9):13|(6, 8):0|(14, 13):0|(14, 14):0","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):0|(14, 14):0"
v0_14_repl,5.0,20000,5,271408,1,331,12000,0,0,0,0,3,0,15.0,80,"(3, 3)",0.0,True,False,0,,,,0,0.0,612,28,5,542,12090,"(4, 15)","(4, 15)|(9, 10)|(16, 3)|(3, 3)|(15, 16)",475,15,0,"(13, 15)",,,0,False,,,5,5,542,12090,"(5, 8)|(5, 9)|(6, 8)|(14, 13)|(14, 14)","(5, 8)|(6, 8)|(5, 9)|(14, 13)|(14, 14)","(5, 8):1|(5, 9):2|(6, 8):3|(14, 13):4|(14, 14):5","(5, 8):542|(5, 9):1006|(6, 8):4388|(14, 13):8469|(14, 14):12090","(5, 8):858|(5, 9):4541|(6, 8):4491|(14, 13):11956|(14, 14):12199","(5, 8):1078|(5, 9):452|(6, 8):864|(14, 13):32|(14, 14):7","(5, 8):0|(5, 9):0|(6, 8):2|(14, 13):0|(14, 14):1"
v0_14_repl,5.0,20000,6,1667809538,1,331,12000,0,0,0,0,4,0,20.0,89,"(9, 10)",0.15,True,False,2,3546,3551,3551,1,1.0,2041,1401,4,1024,12016,"(4, 15)","(4, 15)|(3, 3)|(11, 5)|(16, 3)",1208,415,0,"(5, 10)",,,0,False,,,4,2,1024,12016,"(5, 9)|(14, 14)|(5, 8)|(14, 13)","(5, 9)|(5, 8)","(5, 8):3|(5, 9):1|(6, 8):5|(14, 13):4|(14, 14):2","(5, 8):7529|(5, 9):1024|(6, 8):None|(14, 13):12016|(14, 14):2889","(5, 8):9792|(5, 9):1639|(6, 8):None|(14, 13):None|(14, 14):None","(5, 8):227|(5, 9):293|(6, 8):0|(14, 13):0|(14, 14):0","(5, 8):3|(5, 9):0|(6, 8):1|(14, 13):0|(14, 14):0"
v0_14_repl,5.0,20000,7,1287202907,1,331,12000,0,0,0,0,5,0,25.0,93,"(3, 3)",0.0,True,False,2,1794,3347,3347,1,1.0,3358,2067,5,362,5208,"(4, 15)","(4, 15)|(9, 10)|(3, 3)|(11, 5)|(15, 16)",333,40,0,"(14, 12)",,,0,False,,,5,5,362,5208,"(6, 8)|(14, 14)|(5, 8)|(14, 13)|(5, 9)","(6, 8)|(5, 8)|(14, 14)|(14, 13)|(5, 9)","(5, 8):3|(5, 9):5|(6, 8):1|(14, 13):4|(14, 14):2","(5, 8):3187|(5, 9):5208|(6, 8):362|(14, 13):3819|(14, 14):728","(5, 8):3350|(5, 9):10301|(6, 8):1101|(14, 13):5220|(14, 14):5219","(5, 8):33|(5, 9):11|(6, 8):49|(14, 13):115|(14, 14):117","(5, 8):3|(5, 9):2|(6, 8):0|(14, 13):0|(14, 14):0"
v0_14_repl,5.0,20000,8,906596276,1,331,12000,0,0,0,0,2,0,10.0,85,"(3, 3)",0.0,True,True,0,,,,0,0.0,2461,5497,5,338,10748,"(4, 15)","(4, 15)|(11, 5)|(9, 10)|(3, 3)|(15, 16)",1031,572,0,"(7, 17)",,,0,False,,,5,5,338,10748,"(14, 13)|(5, 8)|(14, 14)|(5, 9)|(6, 8)","(5, 8)|(5, 9)|(14, 13)|(14, 14)|(6, 8)","(5, 8):2|(5, 9):4|(6, 8):5|(14, 13):1|(14, 14):3","(5, 8):1779|(5, 9):2245|(6, 8):10748|(14, 13):338|(14, 14):1988","(5, 8):2020|(5, 9):8569|(6, 8):11591|(14, 13):10738|(14, 14):10739","(5, 8):8|(5, 9):66|(6, 8):95|(14, 13):5|(14, 14):5","(5, 8):0|(5, 9):2|(6, 8):0|(14, 13):0|(14, 14):0"
v0_14_repl,5.0,20000,9,426650758,1,331,12000,0,0,0,0,5,0,25.0,92,"(3, 3)",0.0,True,False,3,631,1662,3293,2,2.0,3169,991,5,562,4238,"(15, 16)","(15, 16)|(11, 5)|(16, 3)|(3, 3)|(9, 10)",1936,1321,0,"(3, 11)",,,0,False,,,5,5,562,4238,"(5, 8)|(6, 8)|(14, 13)|(5, 9)|(14, 14)","(6, 8)|(5, 8)|(5, 9)|(14, 14)|(14, 13)","(5, 8):1|(5, 9):4|(6, 8):2|(14, 13):3|(14, 14):5","(5, 8):562|(5, 9):3567|(6, 8):2651|(14, 13):2756|(14, 14):4238","(5, 8):3214|(5, 9):4209|(6, 8):3213|(14, 13):4312|(14, 14):4307","(5, 8):53|(5, 9):156|(6, 8):50|(14, 13):20|(14, 14):22","(5, 8):0|(5, 9):1|(6, 8):0|(14, 13):1|(14, 14):3"
v0_14_repl,10.0,20000,0,1814176055,1,331,12000,0,0,0,0,1,0,10.0,100,"(3, 3)",0.0,True,True,0,,,,0,0.0,2735,1073,6,372,10035,"(4, 15)","(4, 15)|(15, 16)|(16, 3)|(11, 5)|(9, 10)|(3, 3)",509,30,0,"(17, 3)",10035,11101,47,True,9965,1066,5,5,372,4548,"(14, 13)|(14, 14)|(5, 9)|(6, 8)|(5, 8)","(14, 13)|(14, 14)|(5, 9)|(6, 8)|(5, 8)","(5, 8):5|(5, 9):3|(6, 8):4|(14, 13):1|(14, 14):2","(5, 8):4548|(5, 9):1560|(6, 8):2003|(14, 13):372|(14, 14):916","(5, 8):8518|(5, 9):3957|(6, 8):3973|(14, 13):538|(14, 14):1049","(5, 8):18|(5, 9):8|(6, 8):4|(14, 13):280|(14, 14):64","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):0|(14, 14):1"
v0_14_repl,10.0,20000,1,1433569424,1,331,12000,0,0,0,0,0,0,0.0,107,"(3, 3)",0.0,True,True,0,,,,0,0.0,2646,339,6,338,10269,"(4, 15)","(4, 15)|(9, 10)|(11, 5)|(15, 16)|(16, 3)|(3, 3)",1296,308,0,"(1, 15)",13011,14427,1,True,6989,1416,5,5,338,9652,"(14, 14)|(14, 13)|(5, 8)|(6, 8)|(5, 9)","(14, 14)|(14, 13)|(6, 8)|(5, 8)|(5, 9)","(5, 8):3|(5, 9):5|(6, 8):4|(14, 13):2|(14, 14):1","(5, 8):2075|(5, 9):9652|(6, 8):4260|(14, 13):652|(14, 14):338","(5, 8):7536|(5, 9):13011|(6, 8):7535|(14, 13):4270|(14, 14):4269","(5, 8):66|(5, 9):60|(6, 8):21|(14, 13):42|(14, 14):44","(5, 8):0|(5, 9):0|(6, 8):0|(14, 13):0|(14, 14):0"
v0_14_repl,10.0,20000,2,953623906,1,331,12000,0,0,0,0,2,0,20.0,110,"(3, 3)",0.0,True,True,0,,,,0,0.0,1758,196,6,366,9780,"(4, 15)","(4, 15)|(3, 3)|(11, 5)|(16, 3)|(9, 10)|(15, 16)",1148,204,0,"(7, 6)",9794,15640,52,True,10206,5846,5,5,366,9144,"(6, 8)|(14, 14)|(14, 13)|(5, 8)|(5, 9)","(6, 8)|(5, 9)|(5, 8)|(14, 14)|(14, 13)","(5, 8):4|(5, 9):5|(6, 8):1|(14, 13):3|(14, 14):2","(5, 8):7162|(5, 9):9144|(6, 8):366|(14, 13):6379|(14, 14):873","(5, 8):9192|(5, 9):9191|(6, 8):5181|(14, 13):9794|(14, 14):9793","(5, 8):64|(5, 9):80|(6, 8):62|(14, 13):9|(14, 14):13","(5, 8):1|(5, 9):1|(6, 8):0|(14, 13):0|(14, 14):0"
