arch,run_idx,seed,hazard_cost,num_steps,phase_1_end_step,phase_2_end_step,time_to_first_flag,time_to_second_flag,time_to_final_flag,total_cost_incurred,time_to_first_mastery,time_to_final_mastery,mastery_order_sequence,activation_step,end_state_found_step,end_state_banked,time_to_first_transition,time_to_final_transition,transition_order_sequence,knowledge_banked_sequence,yellow_pre_transition_entries,green_pre_transition_entries,unaffiliated_pre_transition_entries,yellow_resolution_window,green_resolution_window,total_prediction_error_events,prediction_error_complete,goal_type,goal_target_id,goal_step_budget,goal_resolved,goal_resolution_step,goal_budget_remaining,goal_expired,goal_last_progress_step,goal_resolution_window,goal_progress_event_count,suppressed_approach_count,goal_relevant_suppressed_count,suppressed_approach_objects,cf_records_raw,cf_records_emitted,cf_exclusion_rate,end_state_draw_active,end_state_banked_step,steps_draw_to_bank,revised_expectation_count,causal_chain_count,mean_chain_depth,complete_chain_count,q5_statement_count,env2_ran,haz_blue_approached,predicted_record_written,transfer_triggered_step,env1_mastery_order_sequence,env1_end_state_banked_step
v1_13_6,0,202358875,0.1,366148,,600000,,,,0.1,13,574319,"['att_free_0', 'att_green', 'att_blue', 'att_yellow', 'att_free_3', 'att_free_1']",,,False,532,364904,"['haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1', 'haz_green', 'haz_yellow']",[],1,0,0,364399,,1,True,locate_family,GREEN,500000,True,38677,461323,False,,,1,948,173,"dist_green,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1236,948,0.233,False,366147,,1,1,6.0,1,0,True,True,True,366147,"['att_free_1', 'att_free_3', 'att_free_2', 'att_green', 'att_yellow']",366147
v1_13_6,1,1869897005,0.1,745977,,,39861,311795,311795,0.7,29,289730,"['att_free_0', 'att_green', 'att_blue', 'att_yellow', 'att_free_2', 'att_free_1']",,,False,531,735417,"['haz_unaff_2', 'haz_unaff_1', 'haz_yellow', 'haz_unaff_0', 'haz_green']",[],1,3,0,31,695562,4,True,locate_family,YELLOW,500000,True,299285,200715,False,,,1,2125,561,"dist_yellow,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",2527,2125,0.1591,False,745976,,2,4,5.5,4,0,True,True,True,745976,"['att_free_1', 'att_yellow', 'att_free_3', 'att_free_2', 'att_green']",745976
v1_13_6,2,1489290374,0.1,23843,,600000,198746,,198746,0.4,52,916,"['att_free_0', 'att_free_2', 'att_free_3']",,,False,530,614,"['haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_unaff_2', 'haz_green']",[],1,0,0,29,,1,True,bank_hazard_within_budget,haz_green,500000,True,614,499386,False,,,0,138,22,"haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",478,138,0.7113,False,23842,,1,1,6.0,1,0,True,True,True,23842,"['att_free_1', 'att_yellow', 'att_free_0', 'att_green', 'att_free_2']",23842
v1_13_6,3,1108683743,0.1,715820,,,46382,607236,607236,0.7,7,220788,"['att_free_0', 'att_free_2', 'att_free_3', 'att_yellow', 'att_blue', 'att_green']",,,False,531,6813,"['haz_unaff_1', 'haz_unaff_0', 'haz_yellow', 'haz_unaff_2', 'haz_green']",[],1,0,0,30,,1,True,locate_family,GREEN,500000,False,,,True,6813,493187,1,1896,560,"dist_green,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",2275,1896,0.1666,False,715819,,1,1,6.0,1,0,True,True,True,715819,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_3', 'att_green']",715819
v1_13_6,4,628738225,0.1,1000000,527,600000,,,,0.1,530,71215,"['att_free_1', 'att_yellow', 'att_free_2', 'att_free_3', 'att_green']",,,False,530,71215,"['haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_unaff_2', 'haz_green']","['haz_unaff_1', 'haz_unaff_0', 'haz_yellow', 'haz_unaff_2']",1,0,0,29,,1,True,locate_family,YELLOW,500000,True,546,499454,False,,,1,3051,772,"dist_yellow,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",3646,3051,0.1632,False,,,1,1,6.0,1,0,False,True,True,,"['att_free_1', 'att_yellow', 'att_free_2', 'att_free_3', 'att_green']",
v1_13_6,5,248131594,0.1,1000000,527,600000,,,,0.2,530,251348,"['att_free_1', 'att_yellow', 'att_free_2', 'att_free_3']",,,False,530,251335,"['haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_unaff_2']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2']",1,0,0,29,,1,True,bank_hazard_within_budget,haz_green,500000,False,,,True,,,0,2476,444,"haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",2894,2476,0.1444,False,,,1,1,6.0,1,0,False,True,False,,"['att_free_1', 'att_yellow', 'att_free_2', 'att_free_3']",
v1_13_6,6,1915669724,0.1,517985,,600000,,,,0.1,7030,7100,"['att_free_1', 'att_free_2', 'att_yellow', 'att_blue']",,,False,531,136949,"['haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_green']",[],1,0,0,38,,1,True,locate_family,GREEN,500000,False,,,True,136949,363051,1,1479,322,"dist_green,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1829,1479,0.1914,False,517984,,1,1,6.0,1,0,True,True,True,517984,"['att_free_3', 'att_free_1', 'att_yellow', 'att_free_2', 'att_green']",517984
v1_13_6,7,1535063093,0.1,1000000,527,600000,,,,0.1,534,7539,"['att_free_1', 'att_yellow', 'att_free_2', 'att_green']",,,False,534,7539,"['haz_unaff_1', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_green']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_green']",1,0,0,33,,1,True,locate_family,YELLOW,500000,False,,,True,538,499462,1,2711,904,"dist_yellow,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",3235,2711,0.162,False,,,1,1,6.0,1,0,False,True,True,,"['att_free_1', 'att_yellow', 'att_free_2', 'att_green']",
v1_13_6,8,1154456462,0.1,56512,,600000,29424,,29424,0.4,7,139,"['att_free_0', 'att_free_1', 'att_free_2', 'att_yellow', 'att_blue', 'att_green']",,,False,530,55141,"['haz_unaff_2', 'haz_unaff_0', 'haz_green', 'haz_unaff_1', 'haz_yellow']",[],1,0,0,54636,,1,True,bank_hazard_within_budget,haz_green,500000,True,53923,446077,False,,,0,172,28,"haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",301,172,0.4286,False,56511,,1,1,6.0,1,0,True,True,True,56511,"['att_free_1', 'att_free_2', 'att_green', 'att_free_0', 'att_yellow']",56511
v1_13_6,9,674510944,0.1,1000000,527,600000,,,,0.1,530,5036,"['att_free_1', 'att_yellow', 'att_free_3', 'att_free_2']",,,False,530,4983,"['haz_unaff_1', 'haz_unaff_0', 'haz_yellow', 'haz_unaff_2']","['haz_yellow', 'haz_unaff_1', 'haz_unaff_0', 'haz_unaff_2']",1,0,0,29,,1,True,locate_family,GREEN,500000,False,,,True,,,0,2939,890,"dist_green,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",3519,2939,0.1648,False,,,1,1,6.0,1,0,False,True,False,,"['att_free_1', 'att_yellow', 'att_free_3', 'att_free_2']",
