arch,run_idx,agent,seed,hazard_cost,num_steps,phase_1_end_step,phase_2_end_step,time_to_first_flag,time_to_second_flag,time_to_final_flag,total_cost_incurred,time_to_first_mastery,time_to_final_mastery,mastery_order_sequence,activation_step,end_state_found_step,end_state_banked,time_to_first_transition,time_to_final_transition,transition_order_sequence,knowledge_banked_sequence,yellow_pre_transition_entries,green_pre_transition_entries,unaffiliated_pre_transition_entries,yellow_resolution_window,green_resolution_window,total_prediction_error_events,prediction_error_complete,goal_type,goal_target_id,goal_step_budget,goal_resolved,goal_resolution_step,goal_budget_remaining,goal_expired,goal_last_progress_step,goal_resolution_window,goal_progress_event_count,suppressed_approach_count,goal_relevant_suppressed_count,suppressed_approach_objects,cf_records_raw,cf_records_emitted,cf_exclusion_rate,end_state_draw_active,end_state_banked_step,steps_draw_to_bank,revised_expectation_count,causal_chain_count,mean_chain_depth,complete_chain_count,q5_statement_count,env2_ran,haz_blue_approached,predicted_record_written,transfer_triggered_step,env1_mastery_order_sequence,env1_end_state_banked_step,return_env1_ran,arc_complete,arc_timeout,ineligible_reason,return_step,transformation_step,arc_total_steps,social_corroboration_fired,social_observation_step,zpd_delta
v1_15_3,5,a,248131594,0.1,1035980,,,,,,0.2,,,[],,,True,532,17,"['haz_unaff_0', 'haz_unaff_2', 'haz_green', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2', 'haz_blue']",[],1,0,1,,,2,True,bank_hazard_within_budget,haz_green,500000,True,1170,498830,False,,,0,15,3,"haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",144,15,0.8958,False,,,2,0,0.0,0,0,True,True,True,1500,"['att_free_1', 'att_yellow', 'att_free_3', 'att_free_2', 'att_green']",,True,True,False,,0,17,1517,False,,229217
v1_15_3,5,b,248151594,0.1,1035980,,,,,,0.1,,,[],,,False,536,536,"['haz_unaff_1', 'haz_yellow']",[],1,0,0,,,1,True,bank_hazard_within_budget,haz_green,500000,True,1170,498830,False,,,0,2619,446,"haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",3121,2619,0.1608,False,,,1,0,0.0,0,0,False,True,True,,"['att_free_1', 'att_yellow', 'att_free_2', 'att_free_3']",,False,False,True,,,,,False,,
v1_15_3,6,a,1915669724,0.1,1007060,,,,,,0.1,,,[],,,False,532,542,"['haz_unaff_2', 'haz_unaff_0']",[],1,0,0,,,1,True,locate_family,GREEN,500000,False,,,False,,,0,3242,958,"dist_green,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",3866,3242,0.1614,False,,,1,0,0.0,0,0,False,True,True,,"['att_free_1', 'att_free_3', 'att_yellow', 'att_free_2']",,False,False,True,,,,,False,,
v1_15_3,6,b,1915689724,0.1,1007060,,,,,,0.1,,,[],,,True,608,94,"['haz_unaff_1', 'haz_yellow', 'haz_green', 'haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1', 'haz_blue']",[],1,0,0,,,1,True,locate_family,GREEN,500000,False,,,False,,,1,108,26,"dist_green,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",280,108,0.6143,False,,,1,0,0.0,0,0,True,True,True,36000,"['att_free_1', 'att_free_3', 'att_yellow', 'att_free_2', 'att_green']",,True,True,False,,0,94,36094,False,,194640
v1_15_3,7,a,1535063093,0.1,1000045,,,,,,0.1,,,[],,,False,532,546,"['haz_unaff_1', 'haz_unaff_0']",[],1,0,0,,,1,True,locate_family,YELLOW,500000,True,541,499459,False,,,1,2747,857,"dist_yellow,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",3253,2747,0.1555,False,,,1,0,0.0,0,0,False,True,True,,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_2']",,False,False,True,,,,,False,,
v1_15_3,7,b,1535083093,0.1,1000045,,,,,,0.2,,,[],,,True,536,3,"['haz_unaff_2', 'haz_yellow', 'haz_green', 'haz_unaff_1', 'haz_unaff_2', 'haz_blue']",[],1,0,1,,,2,True,locate_family,YELLOW,500000,True,549,499451,False,,,1,14,4,"dist_yellow,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",145,14,0.9034,False,,,2,0,0.0,0,0,True,True,True,1000,"['att_free_1', 'att_yellow', 'att_free_0', 'att_green', 'att_free_2']",,True,True,False,,0,3,1003,False,,229731
v1_15_3,8,a,1154456462,0.1,1800000,529,600000,,,,0.1,532,21105,"['att_free_1', 'att_free_2', 'att_green']",,,False,532,21105,"['haz_unaff_2', 'haz_unaff_0', 'haz_green', 'haz_unaff_1']","['haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1', 'haz_green']",1,0,0,,,1,True,bank_hazard_within_budget,haz_green,500000,True,21105,478895,False,,,0,2284,339,"haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",2692,2284,0.1516,False,,,1,0,0.0,0,0,False,True,True,,"['att_free_1', 'att_free_2', 'att_green']",,False,False,False,,,,,False,,
v1_15_3,8,b,1154476462,0.1,1800000,,600000,,,,0.1,7,148674,"['att_free_0', 'att_free_1', 'att_free_2']",,,False,63921,148674,"['haz_yellow', 'haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1']",['haz_unaff_2'],1,0,0,,,1,True,bank_hazard_within_budget,haz_green,500000,True,21105,478895,False,,,0,145,22,"haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",256,145,0.4336,False,,,1,0,0.0,0,0,True,True,True,64006,"['att_free_1', 'att_free_2', 'att_yellow', 'att_free_0', 'att_green']",,False,False,False,,,,,False,,
v1_15_3,9,a,674510944,0.1,602049,,,,,,0.1,,,[],,,True,532,70,"['haz_unaff_1', 'haz_unaff_0', 'haz_yellow', 'haz_unaff_1', 'haz_unaff_0']",[],1,0,0,,,1,True,locate_family,GREEN,500000,True,0,500000,False,,,0,2001,590,"dist_green,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",2545,2001,0.2138,False,,,1,0,0.0,0,0,True,True,True,598072,"['att_free_1', 'att_yellow', 'att_free_3', 'att_free_2', 'att_green']",,True,True,False,,0,7,598079,False,,-367345
v1_15_3,9,b,674530944,0.1,602049,,,,,,0.1,,,[],,,True,572,6,"['haz_unaff_2', 'haz_green', 'haz_green', 'haz_unaff_2', 'haz_blue']",[],1,0,0,,,1,True,locate_family,GREEN,500000,False,,,False,,,1,172,55,"dist_green,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",330,172,0.4788,False,,,1,0,0.0,0,0,True,True,True,59000,"['att_free_3', 'att_free_1', 'att_yellow', 'att_free_2', 'att_green']",,True,True,False,,0,6,59006,True,68,171728
