arch,run_idx,agent,seed,hazard_cost,step,observed_by,object_id,observer_pos,own_mastery_at_step
v1_15_1,0,b,202378875,0.1,203513,a,att_blue,"(3.0, 8.0, 10.0)",True
v1_15_1,1,a,1869897005,0.1,77050,b,att_blue,"(5.0, 7.0, 8.0)",True
v1_15_1,3,b,1108703743,0.1,93,a,att_blue,"(7.0, 5.0, 10.0)",True
v1_15_1,4,b,628758225,0.1,638,a,att_blue,"(5.0, 5.0, 8.0)",True
v1_15_1,9,a,674510944,0.1,3968,b,att_blue,"(7.0, 5.0, 10.0)",True
v1_15_1,10,a,10,1.0,87,b,att_blue,"(7.0, 5.0, 10.0)",True
v1_15_1,11,a,1010,1.0,64,b,att_blue,"(5.0, 6.0, 10.0)",False
v1_15_1,11,b,21010,1.0,63,a,att_blue,"(6.0, 5.0, 9.0)",False
v1_15_1,13,a,3010,1.0,683,b,att_blue,"(4.0, 8.0, 10.0)",True
v1_15_1,14,a,4010,1.0,118,b,att_blue,"(5.0, 8.0, 9.0)",True
v1_15_1,16,b,26010,1.0,203750,a,att_blue,"(7.0, 7.0, 9.0)",True
v1_15_1,17,a,7010,1.0,65,b,att_blue,"(6.0, 4.0, 9.0)",True
v1_15_1,18,a,8010,1.0,91,b,att_blue,"(5.0, 5.0, 8.0)",True
v1_15_1,20,b,20020,2.0,12137,a,att_blue,"(5.0, 4.0, 9.0)",True
v1_15_1,23,b,23020,2.0,169674,a,att_blue,"(5.0, 5.0, 8.0)",True
v1_15_1,24,a,4020,2.0,83735,b,att_blue,"(5.0, 5.0, 8.0)",True
v1_15_1,25,a,5020,2.0,35496,b,att_blue,"(3.0, 6.0, 8.0)",True
v1_15_1,26,b,26020,2.0,238293,a,att_blue,"(6.0, 6.0, 8.0)",True
v1_15_1,28,b,28020,2.0,2738,a,att_blue,"(4.0, 4.0, 8.0)",True
v1_15_1,29,b,29020,2.0,1216,a,att_blue,"(5.0, 5.0, 8.0)",True
v1_15_1,32,a,2100,10.0,662999,b,att_blue,"(7.0, 5.0, 10.0)",True
v1_15_1,33,a,3100,10.0,56386,b,att_blue,"(5.0, 9.0, 10.0)",True
v1_15_1,34,a,4100,10.0,31515,b,att_blue,"(4.0, 4.0, 8.0)",True
v1_15_1,38,b,28100,10.0,31034,a,att_blue,"(5.0, 4.0, 8.0)",True
v1_15_1,39,b,29100,10.0,96,a,att_blue,"(5.0, 4.0, 10.0)",True
