hazard_mode,hazard_cost,p3_concentration,p3_attractor_ratio,p2_attractor_ratio,mastered_count,top_on_attractor,top_near_attractor,top_attractor,hazard_entries_p1,hazard_entries_p2,hazard_entries_p3,hazard_entries_total,total_cost_incurred,rule_violated_total,rule_violated_p3,frame_attempts_total,hazard_attempts_total
cost_no_aversion,2.0,146.5206875,24.420114583333334,16.205745173313193,141,4,5,"(3, 3)",0,11,0,11,22.0,1,0,0,0
cost_no_aversion,2.0,112.45746875,18.75121875,8.526697993804499,226,4,4,"(3, 3)",0,50,0,50,100.0,1,0,0,0
cost_no_aversion,5.0,112.69671875,24.2240625,22.007691931164207,87,3,4,"(11, 5)",0,0,0,0,0.0,0,0,0,0
cost_no_aversion,5.0,142.15437500000002,23.662489583333333,14.309684141335739,136,2,2,"(4, 15)",0,29,0,29,145.0,1,0,0,0
cost_no_aversion,5.0,145.9624375,24.327072916666665,20.445114574811022,70,2,3,"(4, 15)",0,1,0,1,5.0,0,0,0,0
cost_no_aversion,5.0,146.01228125,24.335380208333333,19.543927919612326,97,3,4,"(15, 16)",0,14,1,15,75.0,1,0,0,0
cost_no_aversion,5.0,145.39421875,24.232369791666667,18.289181648450775,106,4,4,"(16, 3)",0,0,0,0,0.0,0,0,0,0
cost_no_aversion,5.0,124.91840625,20.916098958333333,9.706717153705762,200,4,4,"(4, 15)",0,5,0,5,25.0,1,0,0,0
cost_no_aversion,5.0,146.09203125,24.348671874999997,20.120553539337234,104,5,5,"(11, 5)",0,1,0,1,5.0,0,0,0,0
cost_no_aversion,5.0,105.79834375,22.162192708333333,12.28089883711986,204,5,5,"(4, 15)",0,17,7,24,120.0,1,1,0,0
cost_no_aversion,5.0,116.02628125,22.572572916666665,11.422094722635954,220,5,5,"(4, 15)",0,58,0,58,290.0,1,0,0,0
cost_no_aversion,5.0,74.85534375,19.909255208333335,16.439964477263352,145,4,4,"(9, 10)",0,11,0,11,55.0,1,0,0,0
cost_no_aversion,10.0,139.69209375,22.662291666666665,19.426818267637245,106,4,5,"(16, 3)",0,16,1,17,170.0,1,0,0,0
cost_no_aversion,10.0,116.38515625000001,22.06084375,10.575559238358961,209,4,5,"(4, 15)",0,65,4,69,690.0,1,1,0,0
cost_no_aversion,10.0,122.27668750000001,23.607661458333332,15.856646877425579,153,4,5,"(3, 3)",0,19,1,20,200.0,1,0,0,0
cost_no_aversion,10.0,144.71634375,24.144312499999998,22.729310453334453,62,3,5,"(16, 3)",0,0,0,0,0.0,0,0,0,0
cost_no_aversion,10.0,146.82971875,24.430083333333332,23.5055801464264,44,1,4,"(15, 16)",0,6,0,6,60.0,1,0,0,0
cost_no_aversion,10.0,70.0404375,20.867916666666666,17.993619193466053,147,4,4,"(4, 15)",0,7,32,39,390.0,1,1,0,0
cost_no_aversion,10.0,142.1145,23.68575,14.572902025774962,162,5,5,"(11, 5)",0,22,0,22,220.0,1,0,0,0
cost_no_aversion,10.0,143.15125,23.858541666666664,13.15531757186711,170,5,5,"(3, 3)",0,48,0,48,480.0,1,0,0,0
cost_no_aversion,10.0,140.878375,23.567786458333334,17.406955603571852,127,3,4,"(9, 10)",0,21,0,21,210.0,1,0,0,0
cost_no_aversion,10.0,107.2438125,22.017645833333333,14.31526079142979,163,3,4,"(16, 3)",0,16,0,16,160.0,1,0,0,0
impassable_no_aversion,0.0,134.64790625,23.326874999999998,19.85398966484158,127,5,5,"(3, 3)",0,0,0,0,0.0,0,0,0,104
impassable_no_aversion,0.0,147.019125,24.5031875,20.94143643318159,85,3,4,"(3, 3)",0,0,0,0,0.0,0,0,0,262
impassable_no_aversion,0.0,109.24753125000001,22.363229166666667,10.53206136762536,190,5,5,"(4, 15)",0,0,0,0,0.0,0,0,0,566
impassable_no_aversion,0.0,83.30884375000001,22.700505208333333,19.321977245869082,113,3,5,"(16, 3)",0,0,0,0,0.0,0,0,0,274
impassable_no_aversion,0.0,142.313875,23.718979166666664,18.066115644688722,86,1,3,"(4, 15)",0,0,0,0,0.0,0,0,0,60
impassable_no_aversion,0.0,142.15437500000002,23.692395833333332,17.73486262910207,120,4,4,"(3, 3)",0,0,0,0,0.0,0,0,0,587
impassable_no_aversion,0.0,120.92093750000001,20.096999999999998,13.23562133322145,146,2,3,"(3, 3)",0,0,0,0,0.0,0,0,0,1081
impassable_no_aversion,0.0,130.24171875,21.891375,20.208664610823245,113,5,5,"(16, 3)",0,0,0,0,0.0,0,0,0,1
impassable_no_aversion,0.0,146.96928125,24.49488020833333,19.07660464173082,101,3,4,"(3, 3)",0,0,0,0,0.0,0,0,0,194
impassable_no_aversion,0.0,145.6434375,24.378578124999997,20.961512373520176,89,4,5,"(16, 3)",0,0,0,0,0.0,0,0,0,6
