arch,run_idx,seed,hazard_cost,object_id,predicted_precondition,basis_chains,state,prediction_step,confirmation_step,confirming_env,unresolvable
v1_14,0,202358875,0.1,haz_blue,att_blue,haz_green|haz_yellow,confirmed,365000,90,2,False
v1_14,1,1869897005,0.1,haz_blue,att_blue,haz_green|haz_yellow,confirmed,735500,82,2,False
v1_14,2,1489290374,0.1,haz_blue,att_blue,haz_green|haz_yellow,confirmed,1000,742194,2,False
v1_14,3,1108683743,0.1,haz_blue,att_blue,haz_green|haz_yellow,confirmed,7000,193255,2,False
v1_14,4,628738225,0.1,haz_blue,att_blue,haz_green|haz_yellow,confirmed,71500,278,2,False
v1_14,6,1915669724,0.1,haz_blue,att_blue,haz_green|haz_yellow,confirmed,137000,7152,2,False
v1_14,7,1535063093,0.1,haz_blue,att_blue,haz_green|haz_yellow,predicted,8000,,,False
v1_14,8,1154456462,0.1,haz_blue,att_blue,haz_green|haz_yellow,unresolvable,55500,,,True
v1_14,10,10,1.0,haz_blue,att_blue,haz_green|haz_yellow,confirmed,1000,160,2,False
v1_14,11,1010,1.0,haz_blue,att_blue,haz_green|haz_yellow,confirmed,167000,162777,2,False
v1_14,13,3010,1.0,haz_blue,att_blue,haz_green|haz_yellow,confirmed,26000,241325,2,False
v1_14,14,4010,1.0,haz_blue,att_blue,haz_green|haz_yellow,confirmed,13000,95,2,False
v1_14,15,5010,1.0,haz_blue,att_blue,haz_green|haz_yellow,unresolvable,16000,,,True
v1_14,16,6010,1.0,haz_blue,att_blue,haz_green|haz_yellow,confirmed,1000,204015,2,False
v1_14,18,8010,1.0,haz_blue,att_blue,haz_green|haz_yellow,confirmed,88000,70,2,False
v1_14,19,9010,1.0,haz_blue,att_blue,haz_green|haz_yellow,unresolvable,174500,,,True
v1_14,21,1020,2.0,haz_blue,att_blue,haz_green|haz_yellow,confirmed,307500,60123,2,False
v1_14,22,2020,2.0,haz_blue,att_blue,haz_green|haz_yellow,confirmed,7500,293,2,False
v1_14,23,3020,2.0,haz_blue,att_blue,haz_green|haz_yellow,confirmed,5000,169745,2,False
v1_14,24,4020,2.0,haz_blue,att_blue,haz_green|haz_yellow,confirmed,5500,69,2,False
v1_14,25,5020,2.0,haz_blue,att_blue,haz_green|haz_yellow,confirmed,90500,35547,2,False
v1_14,26,6020,2.0,haz_blue,att_blue,haz_green|haz_yellow,confirmed,20000,107296,2,False
v1_14,27,7020,2.0,haz_blue,att_blue,haz_green|haz_yellow,confirmed,652500,3274,2,False
v1_14,29,9020,2.0,haz_blue,att_blue,haz_green|haz_yellow,confirmed,12500,14626,2,False
v1_14,30,100,10.0,haz_blue,att_blue,haz_green|haz_yellow,confirmed,1000,73,2,False
v1_14,31,1100,10.0,haz_blue,att_blue,haz_green|haz_yellow,confirmed,4500,29222,2,False
v1_14,32,2100,10.0,haz_blue,att_blue,haz_green|haz_yellow,confirmed,43000,665455,2,False
v1_14,33,3100,10.0,haz_blue,att_blue,haz_green|haz_yellow,confirmed,38500,36,2,False
v1_14,34,4100,10.0,haz_blue,att_blue,haz_green|haz_yellow,confirmed,1000,31969,2,False
v1_14,35,5100,10.0,haz_blue,att_blue,haz_green|haz_yellow,confirmed,94500,512,2,False
v1_14,37,7100,10.0,haz_blue,att_blue,haz_green|haz_yellow,confirmed,35500,34136,2,False
v1_14,38,8100,10.0,haz_blue,att_blue,haz_green|haz_yellow,confirmed,113500,1313,2,False
v1_14,39,9100,10.0,haz_blue,att_blue,haz_green|haz_yellow,confirmed,259000,88375,2,False
