arch,hazard_cost,num_steps,run_idx,seed,phase_1_end,phase_2_end,frame_attempts_p1,frame_attempts_p2,frame_attempts_p3,hazard_entries_p1,hazard_entries_p2,hazard_entries_p3,total_cost,mastered_pairs,top_attractor,top_attractor_pref,phase_3_clean,full_run_clean,hazards_flagged,time_to_first_flag,time_to_second_flag,time_to_final_flag,first_entry_conversions,cost_on_sig_matched,actions_gated_p2,actions_gated_p3,attractors_mastered,time_to_first_mastery,time_to_final_mastery,first_banked,mastery_sequence,post_mastery_visits_total,p3_visits_to_mastered,p3_visits_to_unmastered,end_state_cell,activation_step,end_state_found_step,end_state_visits,end_state_banked,post_activation_window,discovery_time
v0_13,0.1,20000,0,57270932,331,12000,0,0,0,0,6,0,0.6,100,"(3, 3)",0.0,True,False,3,1883,3121,11102,2,2.0,3428,1162,6,838,4434,"(4, 15)","(4, 15)|(9, 10)|(15, 16)|(3, 3)|(11, 5)|(16, 3)",2542,1373,0,"(10, 5)",4434,4662,234,True,15566,228
v0_13,0.1,20000,1,1824147949,331,12000,0,0,0,0,6,0,0.6,91,"(3, 3)",0.0,True,False,2,1589,1590,1590,1,1.0,2532,4283,5,346,5468,"(4, 15)","(4, 15)|(16, 3)|(15, 16)|(11, 5)|(9, 10)",630,1,0,"(6, 7)",,,0,False,,
v0_13,0.1,20000,2,1443541318,331,12000,0,0,0,0,6,0,0.6,61,"(3, 3)",0.0,True,False,2,3303,3304,3304,1,1.0,6926,5797,3,398,3290,"(4, 15)","(4, 15)|(9, 10)|(15, 16)",910,10,0,"(8, 16)",,,0,False,,
v0_13,0.1,20000,3,963595800,331,12000,0,0,0,0,5,0,0.5,75,"(3, 3)",0.0,True,False,1,3411,,3411,0,0.0,2849,7376,5,388,15167,"(4, 15)","(4, 15)|(9, 10)|(16, 3)|(3, 3)|(11, 5)",1045,42,0,"(18, 5)",,,0,False,,
v0_13,0.1,20000,4,582989169,331,12000,0,0,0,0,4,0,0.4,116,"(3, 3)",0.0,True,False,2,1530,8009,8009,1,1.0,1368,1285,5,338,4322,"(4, 15)","(4, 15)|(3, 3)|(9, 10)|(11, 5)|(16, 3)",825,100,0,"(12, 5)",,,0,False,,
v0_13,0.1,20000,5,103043651,331,12000,0,0,0,0,5,2,0.7,87,"(3, 3)",0.0,True,False,4,4467,4470,18590,3,3.0,3383,814,3,600,5995,"(4, 15)","(4, 15)|(16, 3)|(11, 5)",490,112,0,"(14, 7)",,,0,False,,
v0_13,0.1,20000,6,1869920668,331,12000,0,0,0,0,5,0,0.5,87,"(3, 3)",0.0,True,False,2,649,1261,1261,1,1.0,2652,363,3,656,6796,"(9, 10)","(9, 10)|(15, 16)|(16, 3)",1297,102,0,"(18, 3)",,,0,False,,
v0_13,0.1,20000,7,1389975150,331,12000,0,0,0,0,4,1,0.5,54,"(3, 3)",0.0,True,False,3,1580,11751,12461,2,2.0,3883,2298,3,338,1621,"(4, 15)","(4, 15)|(9, 10)|(3, 3)",2374,1341,0,"(17, 15)",,,0,False,,
v0_13,0.1,20000,8,1009368519,331,12000,0,0,0,0,8,0,0.7999999999999999,95,"(3, 3)",0.0,True,False,2,8381,8382,8382,1,1.0,689,480,5,430,8636,"(4, 15)","(4, 15)|(9, 10)|(11, 5)|(16, 3)|(15, 16)",662,277,0,"(17, 8)",,,0,False,,
v0_13,0.1,20000,9,628761888,331,12000,0,0,0,0,9,0,0.8999999999999999,96,"(3, 3)",0.0,True,False,3,7669,7670,8279,2,2.0,2243,912,5,342,5050,"(4, 15)","(4, 15)|(3, 3)|(16, 3)|(11, 5)|(9, 10)",1559,743,0,"(6, 10)",,,0,False,,
v0_13,0.5,20000,0,1998205159,331,12000,0,0,0,0,6,2,4.0,89,"(9, 10)",0.15,True,False,3,11407,12213,13275,2,2.0,2548,3441,3,850,12858,"(4, 15)","(4, 15)|(11, 5)|(16, 3)",574,76,1,"(16, 15)",,,0,False,,
v0_13,0.5,20000,1,1518259641,331,12000,0,0,0,0,4,0,2.0,74,"(3, 3)",0.0,True,False,2,1927,2287,2287,1,1.0,4337,245,3,380,2010,"(4, 15)","(4, 15)|(9, 10)|(15, 16)",2677,1304,0,"(7, 2)",,,0,False,,
v0_13,0.5,20000,2,1137653010,331,12000,0,0,0,0,0,0,0.0,88,"(3, 3)",0.0,True,True,0,,,,0,0.0,3482,658,5,358,8494,"(4, 15)","(4, 15)|(15, 16)|(9, 10)|(11, 5)|(16, 3)",1382,180,0,"(4, 7)",,,0,False,,
v0_13,0.5,20000,3,657707492,331,12000,0,0,0,0,5,0,2.5,90,"(3, 3)",0.0,True,False,2,1914,1915,1915,1,1.0,997,29,6,396,7550,"(4, 15)","(4, 15)|(9, 10)|(15, 16)|(11, 5)|(3, 3)|(16, 3)",1706,993,0,"(12, 10)",7550,,0,False,12450,
v0_13,0.5,20000,4,277100861,331,12000,0,0,0,0,3,0,1.5,98,"(3, 3)",0.0,True,False,0,,,,0,0.0,400,366,6,624,12096,"(4, 15)","(4, 15)|(11, 5)|(15, 16)|(3, 3)|(9, 10)|(16, 3)",1290,351,0,"(2, 9)",12096,,0,False,7904,
v0_13,0.5,20000,5,1944638991,331,12000,0,0,0,0,5,1,3.0,79,"(15, 16)",0.15,True,False,0,,,,0,0.0,4273,2508,4,374,1580,"(4, 15)","(4, 15)|(9, 10)|(11, 5)|(16, 3)",774,172,1,"(2, 18)",,,0,False,,
v0_13,0.5,20000,6,1564032360,331,12000,0,0,0,0,3,0,1.5,78,"(3, 3)",0.0,True,False,0,,,,0,0.0,2283,2460,5,342,4269,"(4, 15)","(4, 15)|(9, 10)|(15, 16)|(16, 3)|(11, 5)",1546,221,0,"(8, 13)",,,0,False,,
v0_13,0.5,20000,7,1183425729,331,12000,0,0,0,0,7,0,3.5,92,"(3, 3)",0.0,True,False,5,2227,2297,10874,4,4.0,2207,3080,4,1191,6940,"(11, 5)","(11, 5)|(9, 10)|(3, 3)|(4, 15)",1205,113,0,"(9, 12)",,,0,False,,
v0_13,0.5,20000,8,703480211,331,12000,0,0,0,0,1,0,0.5,66,"(3, 3)",0.0,True,True,0,,,,0,0.0,2619,368,4,656,3666,"(4, 15)","(4, 15)|(9, 10)|(11, 5)|(15, 16)",1377,145,0,"(18, 11)",,,0,False,,
v0_13,0.5,20000,9,322873580,331,12000,0,0,0,0,6,0,3.0,88,"(3, 3)",0.0,True,False,0,,,,0,0.0,3507,52,4,340,3910,"(4, 15)","(4, 15)|(11, 5)|(9, 10)|(16, 3)",2831,1653,0,"(12, 15)",,,0,False,,
v0_13,1.0,20000,0,1646092181,331,12000,0,0,0,0,5,0,5.0,96,"(3, 3)",0.0,True,False,1,8510,,8510,0,0.0,5374,877,5,446,8773,"(4, 15)","(4, 15)|(9, 10)|(15, 16)|(16, 3)|(11, 5)",1869,1114,0,"(11, 2)",,,0,False,,
v0_13,1.0,20000,1,1265485550,331,12000,0,0,0,0,6,0,6.0,104,"(3, 3)",0.0,True,False,2,8060,10353,10353,1,1.0,4812,2818,6,610,5841,"(4, 15)","(4, 15)|(15, 16)|(16, 3)|(9, 10)|(11, 5)|(3, 3)",521,341,0,"(2, 4)",5841,5843,201,True,14159,2
v0_13,1.0,20000,2,884878919,331,12000,0,0,0,0,3,0,3.0,80,"(3, 3)",0.0,True,False,1,4936,,4936,0,0.0,2161,3592,4,1012,9881,"(4, 15)","(4, 15)|(9, 10)|(16, 3)|(11, 5)",1167,44,0,"(13, 3)",,,0,False,,
v0_13,1.0,20000,3,404933401,331,12000,0,0,0,0,6,0,6.0,87,"(3, 3)",0.0,True,False,1,4227,,4227,0,0.0,1456,648,5,350,2251,"(4, 15)","(4, 15)|(9, 10)|(11, 5)|(16, 3)|(3, 3)",844,15,0,"(13, 12)",,,0,False,,
