arch,run_idx,seed,hazard_cost,num_steps,object_id,closest_approach_step,closest_approach_distance,phase_at_approach,goal_relevant,pre_threshold_entries
,,,,,haz_unaff_2,513347,4.358899,2,False,0
,,,,,haz_unaff_0,514200,5.0,2,False,0
,,,,,haz_blue,513347,4.472136,2,False,0
,,,,,haz_green,514681,7.874008,2,False,0
,,,,,haz_yellow,515344,1.414214,2,True,1
,,,,,haz_yellow,516122,2.44949,2,True,1
,,,,,haz_unaff_1,515526,4.123106,2,False,0
,,,,,haz_unaff_0,515526,3.741657,2,False,0
,,,,,haz_green,516449,7.874008,2,False,0
,,,,,haz_unaff_1,517039,5.0,2,False,0
,,,,,haz_unaff_0,517039,5.09902,2,False,0
,,,,,haz_unaff_2,517104,5.09902,2,False,0
,,,,,haz_unaff_1,517785,4.690416,2,False,0
,,,,,haz_green,517175,7.874008,2,False,0
,,,,,dist_yellow,518812,2.828427,2,True,0
,,,,,haz_blue,518854,5.477226,2,False,0
,,,,,haz_unaff_2,518812,5.744563,2,False,0
,,,,,haz_unaff_1,519467,4.242641,2,False,0
,,,,,haz_yellow,520397,2.44949,2,True,1
,,,,,haz_unaff_1,520938,4.472136,2,False,0
,,,,,haz_unaff_0,521077,4.242641,2,False,0
,,,,,haz_yellow,520741,2.44949,2,True,1
,,,,,haz_blue,521490,4.123106,2,False,0
,,,,,haz_unaff_1,523105,4.898979,2,False,0
,,,,,haz_yellow,523394,1.414214,2,True,1
,,,,,haz_green,522924,8.185353,2,False,0
,,,,,haz_unaff_0,522854,4.242641,2,False,0
,,,,,haz_unaff_2,523703,5.656854,2,False,0
,,,,,haz_blue,523704,4.472136,2,False,0
,,,,,haz_blue,524892,5.0,2,False,0
,,,,,haz_green,525063,8.185353,2,False,0
,,,,,haz_green,526495,7.874008,2,False,0
,,,,,dist_yellow,526813,2.44949,2,True,0
,,,,,haz_unaff_2,526169,5.744563,2,False,0
,,,,,haz_unaff_0,526838,3.741657,2,False,0
,,,,,haz_blue,526827,5.09902,2,False,0
,,,,,haz_green,527725,8.306624,2,False,0
,,,,,haz_unaff_0,528960,5.09902,2,False,0
,,,,,haz_green,530064,7.483315,2,False,0
,,,,,haz_yellow,529262,1.732051,2,True,1
,,,,,haz_blue,529280,5.196152,2,False,0
,,,,,dist_yellow,530979,2.236068,2,True,0
,,,,,haz_unaff_1,531340,5.385165,2,False,0
,,,,,haz_unaff_0,531340,5.09902,2,False,0
,,,,,haz_yellow,531343,3.741657,2,True,1
,,,,,haz_green,531908,7.549834,2,False,0
,,,,,haz_unaff_2,533087,6.480741,2,False,0
