arch,run_idx,seed,hazard_cost,num_steps,phase_1_end_step,phase_2_end_step,time_to_first_flag,time_to_second_flag,time_to_final_flag,total_cost_incurred,time_to_first_mastery,time_to_final_mastery,mastery_order_sequence,activation_step,end_state_found_step,end_state_banked,time_to_first_transition,time_to_final_transition,transition_order_sequence,knowledge_banked_sequence,yellow_pre_transition_entries,green_pre_transition_entries,unaffiliated_pre_transition_entries,yellow_resolution_window,green_resolution_window,total_prediction_error_events,prediction_error_complete,goal_type,goal_target_id,goal_step_budget,goal_resolved,goal_resolution_step,goal_budget_remaining,goal_expired,goal_last_progress_step,goal_resolution_window,goal_progress_event_count,suppressed_approach_count,goal_relevant_suppressed_count,suppressed_approach_objects,cf_records_raw,cf_records_emitted,cf_exclusion_rate,end_state_draw_active,end_state_banked_step,steps_draw_to_bank,revised_expectation_count
v1_10,0,496635339,1.0,320000,515,192000,,,,1.0,520,684,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_3', 'att_green']",,,False,520,684,"['haz_unaff_0', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_1', 'haz_green']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2']",1,0,0,31,,1,True,locate_family,GREEN,160000,False,,,True,684,159316,1,756,239,"dist_green,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",931,756,0.188,False,,,0
v1_10,1,16689821,1.0,320000,515,192000,,,,1.0,518,37407,"['att_free_1', 'att_yellow', 'att_free_3', 'att_green', 'att_free_0']",,,False,518,4336,"['haz_unaff_0', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_1', 'haz_green']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1']",1,0,0,29,,1,True,locate_family,YELLOW,160000,True,37418,122582,False,,,1,856,274,"dist_yellow,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1100,856,0.2218,False,,,0
v1_10,2,1783566838,1.0,320000,515,192000,,,,1.0,518,570,"['att_free_1', 'att_free_3', 'att_free_2', 'att_yellow']",,,False,518,570,"['haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1', 'haz_yellow']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1']",1,0,0,77,,1,True,bank_hazard_within_budget,haz_green,160000,False,,,True,,,0,704,155,"haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",884,704,0.2036,False,,,0
v1_10,3,1303621320,1.0,320000,515,192000,,,,1.0,518,21948,"['att_free_1', 'att_free_2', 'att_green']",,,False,518,21948,"['haz_unaff_2', 'haz_unaff_0', 'haz_green', 'haz_unaff_1']","['haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1', 'haz_green']",1,0,0,,,1,True,locate_family,GREEN,160000,True,24885,135115,False,,,1,689,245,"dist_green,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",869,689,0.2071,False,,,0
v1_10,4,923014689,1.0,320000,515,192000,,,,1.0,518,153994,"['att_free_1', 'att_yellow', 'att_free_0', 'att_green', 'att_free_2']",,,False,518,153965,"['haz_unaff_0', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_1', 'haz_green']","['haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1', 'haz_yellow']",1,0,0,29,,1,True,locate_family,YELLOW,160000,True,524,159476,False,,,1,753,289,"dist_yellow,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1104,753,0.3179,False,,,0
v1_10,5,542408058,1.0,320000,515,192000,,,,1.0,1075,19599,"['att_yellow', 'att_free_2', 'att_free_3', 'att_free_0']",,,False,1075,5551,"['haz_unaff_1', 'haz_yellow', 'haz_unaff_2', 'haz_unaff_0']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1']",1,0,0,582,,1,True,bank_hazard_within_budget,haz_green,160000,False,,,True,,,0,662,141,"haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",848,662,0.2193,False,,,0
v1_10,6,62462540,1.0,320000,515,192000,,,,1.0,519,21582,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_2']",,,False,519,533,"['haz_unaff_1', 'haz_unaff_0', 'haz_yellow', 'haz_unaff_2']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2']",1,0,0,30,,1,True,locate_family,GREEN,160000,False,,,True,,,0,781,257,"dist_green,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",963,781,0.189,False,,,0
v1_10,7,1829339557,1.0,320000,515,192000,,,,1.0,518,297223,"['att_free_1', 'att_yellow', 'att_free_2', 'att_green', 'att_free_0']",297223,310156,True,518,15428,"['haz_unaff_0', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_1', 'haz_green']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_green']",1,0,0,30,,1,True,locate_family,YELLOW,160000,False,,,True,523,159477,1,898,321,"dist_yellow,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1517,898,0.408,True,310156,12933,0
v1_10,8,1349394039,1.0,320000,515,192000,,,,1.0,518,22990,"['att_free_1', 'att_free_3', 'att_green', 'att_yellow', 'att_free_0']",23052,23656,True,518,22983,"['haz_unaff_2', 'haz_unaff_0', 'haz_green', 'haz_unaff_1', 'haz_yellow']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_green']",1,0,0,22490,,1,True,bank_hazard_within_budget,haz_green,160000,True,555,159445,False,,,0,745,139,"haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1005,745,0.2587,True,23656,604,0
v1_10,9,968787408,1.0,320000,515,192000,,,,1.0,518,579,"['att_free_1', 'att_yellow', 'att_free_0', 'att_green', 'att_free_2']",48827,48829,True,518,570,"['haz_unaff_0', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_1', 'haz_green']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_green', 'haz_unaff_2']",1,0,0,30,,1,True,locate_family,GREEN,160000,True,48679,111321,False,,,1,865,252,"dist_green,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1630,865,0.4693,True,48829,2,0
v1_10,0,271697600,2.0,320000,515,192000,,,,2.0,518,48891,"['att_free_1', 'att_yellow', 'att_green', 'att_free_2', 'att_free_3']",48891,48956,True,518,1618,"['haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_green', 'haz_unaff_2']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_green', 'haz_unaff_2']",1,0,0,31,,1,True,locate_family,GREEN,160000,True,48878,111122,False,,,1,693,140,"dist_green,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",882,693,0.2143,True,48956,65,0
v1_10,1,1939235730,2.0,320000,515,192000,,,,2.0,518,181928,"['att_free_1', 'att_yellow', 'att_free_3', 'att_free_2', 'att_green']",254694,255106,True,518,181928,"['haz_unaff_1', 'haz_unaff_0', 'haz_yellow', 'haz_unaff_2', 'haz_green']","['haz_yellow', 'haz_unaff_1', 'haz_unaff_0', 'haz_unaff_2', 'haz_green']",1,0,0,29,,1,True,locate_family,YELLOW,160000,True,524,159476,False,,,1,987,315,"dist_yellow,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1809,987,0.4544,True,255106,412,0
v1_10,2,1558629099,2.0,320000,515,192000,,,,2.0,520,224742,"['att_free_1', 'att_yellow', 'att_free_3', 'att_green', 'att_free_0']",224924,225716,True,520,8345,"['haz_unaff_0', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_1', 'haz_green']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_green']",1,0,0,32,,1,True,bank_hazard_within_budget,haz_green,160000,True,8345,151655,False,,,0,1105,229,"haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",6854,1105,0.8388,True,225716,792,0
v1_10,3,1178022468,2.0,320000,515,192000,,,,2.0,519,99020,"['att_free_1', 'att_free_2']",,,False,519,99020,"['haz_unaff_2', 'haz_unaff_0']",['haz_unaff_2'],1,0,0,,,1,True,locate_family,GREEN,160000,False,,,True,,,0,669,244,"dist_green,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",826,669,0.1901,False,,,0
v1_10,4,698076950,2.0,320000,515,192000,,,,2.0,518,7334,"['att_free_1', 'att_yellow', 'att_free_2', 'att_free_3']",,,False,518,7300,"['haz_unaff_1', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_0']","['haz_yellow', 'haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1']",1,0,0,29,,1,True,locate_family,YELLOW,160000,True,524,159476,False,,,1,861,247,"dist_yellow,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1127,861,0.236,False,,,0
v1_10,5,317470319,2.0,320000,515,192000,,,,2.0,518,73482,"['att_free_1', 'att_yellow', 'att_free_2', 'att_green']",,,False,518,73482,"['haz_unaff_1', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_green']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_1', 'haz_unaff_0', 'haz_green']",1,0,0,33,,1,True,bank_hazard_within_budget,haz_green,160000,True,73482,86518,False,,,0,671,110,"haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",830,671,0.1916,False,,,0
v1_10,6,1985008449,2.0,320000,515,192000,,,,2.0,1367,35224,"['att_yellow', 'att_free_2', 'att_free_3', 'att_free_0', 'att_green']",218586,,False,1367,35224,"['haz_unaff_0', 'haz_yellow', 'haz_unaff_2', 'haz_unaff_1', 'haz_green']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_1', 'haz_unaff_0', 'haz_green']",1,0,0,874,,1,True,locate_family,GREEN,160000,False,,,True,35224,124776,1,978,260,"dist_green,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",2215,978,0.5585,True,,,0
v1_10,7,1604401818,2.0,320000,515,192000,,,,2.0,518,571,"['att_free_1', 'att_yellow', 'att_free_3', 'att_free_2', 'att_green']",847,920,True,518,571,"['haz_unaff_0', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_1', 'haz_green']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_green']",1,0,0,30,,1,True,locate_family,YELLOW,160000,True,923,159077,False,,,1,726,142,"dist_yellow,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",907,726,0.1996,True,920,73,0
v1_10,8,1124456300,2.0,320000,515,192000,,,,2.0,1085,30798,"['att_yellow', 'att_free_2', 'att_free_0', 'att_free_3']",,,False,1085,22378,"['haz_unaff_1', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_2']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2']",1,0,0,592,,1,True,bank_hazard_within_budget,haz_green,160000,False,,,True,,,0,675,142,"haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",842,675,0.1983,False,,,0
v1_10,9,743849669,2.0,320000,515,192000,,,,2.0,518,297383,"['att_free_1', 'att_free_2', 'att_green']",,,False,518,297383,"['haz_unaff_2', 'haz_unaff_0', 'haz_green', 'haz_unaff_1']",['haz_unaff_2'],1,0,0,,,1,True,locate_family,GREEN,160000,False,,,True,,,0,677,246,"dist_green,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",856,677,0.2091,False,,,0
