arch,run_idx,seed,hazard_cost,arc_complete,arc_timeout,ineligible_reason,env1_surprise_step,prediction_step,transfer_triggered_step,confirmation_step,return_step,transformation_step,arc_total_steps,arc_env_span,causal_chain_depth,causal_chain_complete
v1_16,0,202358875,0.1,True,False,,39000,39000,39000,65,0,9,39075,3,6,True
v1_16,1,1869897005,0.1,True,False,,3000,3000,3000,381,0,14,3396,3,6,True
v1_16,2,1489290374,0.1,True,False,,1000,1000,1000,301,0,108,1410,3,6,True
v1_16,3,1108683743,0.1,True,False,,1000,1000,1000,98,0,34,1133,3,6,True
v1_16,4,628738225,0.1,True,False,,1000,1000,1000,63,0,20,1084,3,6,True
v1_16,5,248131594,0.1,True,False,,38500,38500,38500,88,0,17,38606,3,6,True
v1_16,6,1915669724,0.1,True,False,,2000,2000,2000,150,0,94,2245,3,6,True
v1_16,7,1535063093,0.1,True,False,,1000,1000,1000,81,0,3,1085,3,6,True
v1_16,8,1154456462,0.1,True,False,,1000,1000,1000,196,0,7,1204,3,6,True
v1_16,9,674510944,0.1,True,False,,1500,1500,1500,436,0,275,2212,3,6,True
v1_16,10,10,1.0,True,False,,2500,2500,2500,29,0,34,2564,3,6,True
v1_16,11,1010,1.0,True,False,,1500,1500,1500,95,0,9,1605,3,6,True
v1_16,12,2010,1.0,True,False,,1500,1500,1500,176,0,36,1713,3,6,True
v1_16,13,3010,1.0,True,False,,1000,1000,1000,159,0,12,1172,3,6,True
v1_16,14,4010,1.0,True,False,,264000,264000,264000,192,0,36,264229,3,6,True
v1_16,15,5010,1.0,True,False,,1000,1000,1000,176,0,38,1215,3,6,True
v1_16,16,6010,1.0,True,False,,1000,1000,1000,42,0,3,1046,3,6,True
v1_16,17,7010,1.0,True,False,,1000,1000,1000,414,0,4,1419,3,6,True
v1_16,18,8010,1.0,True,False,,17205,1000,17205,68,0,3,17277,3,6,True
v1_16,19,9010,1.0,True,False,,1000,1000,1000,277,0,48,1326,3,6,True
v1_16,20,20,2.0,True,False,,3003,3000,3003,71,0,3,3078,3,6,True
v1_16,21,1020,2.0,True,False,,1000,1000,1000,2337,0,30,3368,3,6,True
v1_16,22,2020,2.0,True,False,,1500,1500,1500,20,0,11,1532,3,6,True
v1_16,23,3020,2.0,True,False,,1000,1000,1000,22,0,8,1031,3,6,True
v1_16,24,4020,2.0,True,False,,1000,1000,1000,220,0,10,1231,3,6,True
v1_16,25,5020,2.0,True,False,,1000,1000,1000,305,0,296,1602,3,6,True
v1_16,26,6020,2.0,True,False,,2000,2000,2000,674,0,98,2773,3,6,True
v1_16,27,7020,2.0,True,False,,7000,7000,7000,99,0,3,7103,3,6,True
v1_16,28,8020,2.0,True,False,,1000,1000,1000,351,0,8,1360,3,6,True
v1_16,29,9020,2.0,True,False,,1500,1500,1500,13,0,3,1517,3,6,True
v1_16,30,100,10.0,True,False,,4831,1000,4831,568,0,39,5439,3,6,True
v1_16,31,1100,10.0,True,False,,270500,270500,270500,93,0,154,270748,3,6,True
v1_16,32,2100,10.0,True,False,,1000,1000,1000,748,0,19,1768,3,6,True
v1_16,33,3100,10.0,True,False,,1000,1000,1000,226,0,113,1340,3,6,True
v1_16,34,4100,10.0,True,False,,197500,197500,197500,89,0,18,197608,3,6,True
v1_16,35,5100,10.0,True,False,,3500,3500,3500,543,0,137,4181,3,6,True
v1_16,36,6100,10.0,True,False,,32000,32000,32000,44,0,43,32088,3,6,True
v1_16,37,7100,10.0,True,False,,1000,1000,1000,268,0,11,1280,3,6,True
v1_16,38,8100,10.0,True,False,,22448,1000,22448,39,0,7,22495,3,6,True
v1_16,39,9100,10.0,True,False,,2500,2500,2500,97,0,72,2670,3,6,True
