arch,run_idx,seed,hazard_cost,num_steps,total_statements,statements_q1,statements_q2,statements_q3,statements_q4,statements_q5,hallucination_count,q1_formation_depth,q3_surprise_cells,q3_resolution_stated,report_complete,statements_with_relevance_markers,goal_statement_present,goal_resolution_stated,q4_statement_count,suppressed_approach_count,goal_relevant_suppressed_count,br_statement_count,revised_expectation_count,mean_approach_delta,bias_effective,cf_records_raw,cf_records_emitted,cf_exclusion_rate,end_state_draw_active,end_state_banked_step,causal_chain_count,mean_chain_depth,complete_chain_count,q5_statement_count
v1_11,0,202358875,0.1,320000,711,8,8,6,689,0,0,6,5,0,True,2,True,True,689,689,138,0,0,0.0,False,908,689,0.2412,False,,0,0.0,0,0
v1_11,1,1869897005,0.1,320000,837,9,8,9,810,1,0,7,7,1,True,2,True,False,810,810,247,1,1,893.0,True,1011,810,0.1988,False,,1,6.0,1,1
v1_11,2,1489290374,0.1,320000,1298,13,8,2,1275,0,0,12,1,0,True,1,True,False,1275,1275,204,0,0,0.0,False,3630,1275,0.6488,True,55,0,0.0,0,0
v1_11,3,1108683743,0.1,320000,872,9,8,7,847,1,0,8,5,1,True,1,True,False,847,847,253,1,1,1054.0,True,1056,847,0.1979,False,,1,6.0,1,1
v1_11,4,628738225,0.1,320000,864,9,8,7,839,1,0,7,5,1,True,2,True,True,839,839,278,1,1,886.0,True,1071,839,0.2166,False,,1,6.0,1,1
v1_11,5,248131594,0.1,320000,690,8,8,6,667,1,0,8,4,1,True,0,True,False,667,667,140,1,1,880.0,True,831,667,0.1974,False,,1,6.0,1,1
v1_11,6,1915669724,0.1,320000,821,9,8,7,796,1,0,8,5,1,True,1,True,False,796,796,220,1,1,888.0,True,1036,796,0.2317,False,,1,6.0,1,1
v1_11,7,1535063093,0.1,320000,827,9,10,7,800,1,0,7,5,1,True,2,True,False,800,800,326,1,1,1036.0,True,1042,800,0.2322,False,,1,6.0,1,1
v1_11,8,1154456462,0.1,320000,2772,13,10,2,2747,0,0,12,1,0,True,1,True,False,2747,2747,502,0,0,0.0,False,17413,2747,0.8422,True,1743,0,0.0,0,0
v1_11,9,674510944,0.1,320000,826,8,8,6,803,1,0,8,4,1,True,0,True,False,803,803,284,1,1,873.0,True,1022,803,0.2143,False,,1,6.0,1,1
