arch,hazard_cost,num_steps,run_idx,seed,flag_type,flag_coord,flag_id,flag_set_step,confirming_observations,disconfirming_observations,last_confirmation_step,last_observation_step,transformed_at_step,derived_knowledge_flag_id,derived_from_threat_flag_id
v1_1,0.1,20000,0,57270932,mastery,"(4, 15)","mastery:(4, 15)",838,103,0,1062,1062,,,
v1_1,0.1,20000,0,57270932,mastery,"(9, 10)","mastery:(9, 10)",1102,43,0,11472,11472,,,
v1_1,0.1,20000,0,57270932,mastery,"(15, 16)","mastery:(15, 16)",1658,179,0,11374,11374,,,
v1_1,0.1,20000,0,57270932,knowledge_banking,"(14, 14)","knowledge_banking:(14, 14)",1773,166,0,11425,11425,,,
v1_1,0.1,20000,0,57270932,knowledge_banking,"(5, 9)","knowledge_banking:(5, 9)",1881,311,0,15815,15815,,,
v1_1,0.1,20000,0,57270932,threat,"(5, 8)","threat:(5, 8)",1882,0,1,,8696,8696,"knowledge_banking:(5, 8)",
v1_1,0.1,20000,0,57270932,knowledge_banking,"(6, 8)","knowledge_banking:(6, 8)",1887,96,0,19935,19935,,,
v1_1,0.1,20000,0,57270932,mastery,"(3, 3)","mastery:(3, 3)",3263,390,0,19703,19703,,,
v1_1,0.1,20000,0,57270932,knowledge_banking,"(14, 13)","knowledge_banking:(14, 13)",6874,102,0,11272,11272,,,
v1_1,0.1,20000,0,57270932,mastery,"(16, 3)","mastery:(16, 3)",8696,200,0,12312,12312,,,
v1_1,0.1,20000,0,57270932,mastery,"(11, 5)","mastery:(11, 5)",8909,17,0,12433,12433,,,
v1_1,0.1,20000,0,57270932,knowledge_banking,"(5, 8)","knowledge_banking:(5, 8)",12450,95,0,19996,19996,,,"threat:(5, 8)"
v1_1,0.1,20000,0,57270932,end_state_activation,,end_state_activation,12450,7549,0,19999,19999,,,
v1_1,0.1,20000,1,1824147949,mastery,"(4, 15)","mastery:(4, 15)",346,51,0,19958,19958,,,
v1_1,0.1,20000,1,1824147949,mastery,"(16, 3)","mastery:(16, 3)",1144,15,0,3374,3374,,,
v1_1,0.1,20000,1,1824147949,mastery,"(15, 16)","mastery:(15, 16)",1382,2340,0,19226,19226,,,
v1_1,0.1,20000,1,1824147949,threat,"(14, 14)","threat:(14, 14)",1589,1,1,1590,5468,5468,"knowledge_banking:(14, 14)",
v1_1,0.1,20000,1,1824147949,threat,"(14, 13)","threat:(14, 13)",1590,0,1,,2987,2987,"knowledge_banking:(14, 13)",
v1_1,0.1,20000,1,1824147949,mastery,"(11, 5)","mastery:(11, 5)",2987,67,0,9363,9363,,,
v1_1,0.1,20000,1,1824147949,mastery,"(9, 10)","mastery:(9, 10)",5468,339,0,18552,18552,,,
v1_1,0.1,20000,1,1824147949,knowledge_banking,"(14, 14)","knowledge_banking:(14, 14)",8941,124,0,17593,17593,,,"threat:(14, 14)"
v1_1,0.1,20000,1,1824147949,knowledge_banking,"(14, 13)","knowledge_banking:(14, 13)",8980,136,0,18634,18634,,,"threat:(14, 13)"
v1_1,0.1,20000,2,1443541318,mastery,"(4, 15)","mastery:(4, 15)",398,263,0,2694,2694,,,
v1_1,0.1,20000,2,1443541318,mastery,"(9, 10)","mastery:(9, 10)",2706,295,0,7592,7592,,,
v1_1,0.1,20000,2,1443541318,knowledge_banking,"(14, 13)","knowledge_banking:(14, 13)",3164,197,0,19472,19472,,,
v1_1,0.1,20000,2,1443541318,knowledge_banking,"(14, 14)","knowledge_banking:(14, 14)",3165,190,0,19473,19473,,,
v1_1,0.1,20000,2,1443541318,mastery,"(16, 3)","mastery:(16, 3)",3260,55,0,9900,9900,,,
v1_1,0.1,20000,2,1443541318,mastery,"(11, 5)","mastery:(11, 5)",3857,189,0,15297,15297,,,
v1_1,0.1,20000,2,1443541318,mastery,"(3, 3)","mastery:(3, 3)",4287,128,0,19061,19061,,,
v1_1,0.1,20000,2,1443541318,mastery,"(15, 16)","mastery:(15, 16)",4918,478,0,19744,19744,,,
v1_1,0.1,20000,2,1443541318,knowledge_banking,"(5, 8)","knowledge_banking:(5, 8)",6448,27,0,19068,19068,,,
v1_1,0.1,20000,2,1443541318,knowledge_banking,"(5, 9)","knowledge_banking:(5, 9)",6449,23,0,15139,15139,,,
v1_1,0.1,20000,2,1443541318,knowledge_banking,"(6, 8)","knowledge_banking:(6, 8)",6459,97,0,19147,19147,,,
v1_1,0.1,20000,2,1443541318,end_state_activation,,end_state_activation,6459,13540,0,19999,19999,,,
v1_1,0.1,20000,2,1443541318,end_state_banking,"(8, 16)","end_state_banking:(8, 16)",12161,0,0,,12161,,,
v1_1,0.1,20000,3,963595800,mastery,"(4, 15)","mastery:(4, 15)",388,218,0,18298,18298,,,
v1_1,0.1,20000,3,963595800,mastery,"(9, 10)","mastery:(9, 10)",782,170,0,19790,19790,,,
v1_1,0.1,20000,3,963595800,mastery,"(16, 3)","mastery:(16, 3)",876,281,0,17218,17218,,,
v1_1,0.1,20000,3,963595800,knowledge_banking,"(14, 13)","knowledge_banking:(14, 13)",1204,14,0,15198,15198,,,
