arch,run_idx,seed,hazard_cost,num_steps,activation_step,end_state_banked_step,steps_draw_to_bank,end_state_draw_active
v1_13_6,0,202358875,0.1,1000000,,366147,,False
v1_13_6,1,1869897005,0.1,1000000,,745976,,False
v1_13_6,2,1489290374,0.1,1000000,,23842,,False
v1_13_6,3,1108683743,0.1,1000000,,715819,,False
v1_13_6,4,628738225,0.1,1000000,,,,False
v1_13_6,5,248131594,0.1,1000000,,,,False
v1_13_6,6,1915669724,0.1,1000000,,517984,,False
v1_13_6,7,1535063093,0.1,1000000,,,,False
v1_13_6,8,1154456462,0.1,1000000,,56511,,False
v1_13_6,9,674510944,0.1,1000000,,,,False
v1_13_6,10,496635339,1.0,1000000,,,,False
v1_13_6,11,16689821,1.0,1000000,,,,False
v1_13_6,12,1783566838,1.0,1000000,,,,False
v1_13_6,13,1303621320,1.0,1000000,,772717,,False
v1_13_6,14,923014689,1.0,1000000,,,,False
v1_13_6,15,542408058,1.0,1000000,,,,False
v1_13_6,16,62462540,1.0,1000000,,,,False
v1_13_6,17,1829339557,1.0,1000000,,308443,,False
v1_13_6,18,1349394039,1.0,1000000,,23247,,False
v1_13_6,19,968787408,1.0,1000000,,21518,,False
v1_13_6,20,271697600,2.0,1000000,,16851,,False
v1_13_6,21,1939235730,2.0,1000000,,15911,,False
v1_13_6,22,1558629099,2.0,1000000,,581239,,False
v1_13_6,23,1178022468,2.0,1000000,,,,False
v1_13_6,24,698076950,2.0,1000000,,,,False
v1_13_6,25,317470319,2.0,1000000,,283221,,False
v1_13_6,26,1985008449,2.0,1000000,,311951,,False
v1_13_6,27,1604401818,2.0,1000000,,194281,,False
v1_13_6,28,1124456300,2.0,1000000,,,,False
v1_13_6,29,743849669,2.0,1000000,,,,False
v1_13_6,30,565380326,10.0,1000000,,141413,,False
v1_13_6,31,184773695,10.0,1000000,,524356,,False
v1_13_6,32,1852311825,10.0,1000000,,,,False
v1_13_6,33,1471705194,10.0,1000000,,,,False
v1_13_6,34,1091098563,10.0,1000000,,171935,,False
v1_13_6,35,611153045,10.0,1000000,,435005,,False
v1_13_6,36,230546414,10.0,1000000,,19529,,False
v1_13_6,37,1898084544,10.0,1000000,,59521,,False
v1_13_6,38,1517477913,10.0,1000000,,382111,,False
v1_13_6,39,1037532395,10.0,1000000,,,,False
