==============================================================================================
META-REPORT: v0.9 COST-BASED HAZARDS — 140 RUNS ACROSS 14 CONDITIONS
==============================================================================================

Cost levels: 0.1, 0.5, 1.0, 2.0, 5.0, 10.0
Runs per condition: 10
Life length per run: 20000 steps
Threshold-crossing defined as: hazard entries >= 3

PER-RUN RESULTS (grouped by mode and cost)
----------------------------------------------------------------------------------------------
                  mode |  cost | run | P3conc | P3feat | mast | on | ent P2 | ent P3 |   cost | viol
                  cost |   5.0 |   6 |  110.3 |  18.27 |   77 |  2 |      0 |      0 |    0.0 |   no
                  cost |   5.0 |   7 |  143.8 |  23.96 |   68 |  3 |      0 |      0 |    0.0 |   no
                  cost |   5.0 |   8 |   89.6 |  20.66 |   64 |  3 |      0 |      0 |    0.0 |   no
                  cost |   5.0 |   9 |  146.2 |  24.36 |   59 |  3 |      0 |      0 |    0.0 |   no
                  cost |   5.0 |  10 |  103.4 |  18.24 |   83 |  4 |      0 |      0 |    0.0 |   no
----------------------------------------------------------------------------------------------
                  cost |  10.0 |   1 |  144.7 |  24.04 |   48 |  1 |      0 |      0 |    0.0 |   no
                  cost |  10.0 |   2 |  105.1 |  17.66 |   88 |  2 |      0 |      0 |    0.0 |   no
                  cost |  10.0 |   3 |   51.4 |   1.39 |   84 |  3 |      0 |      0 |    0.0 |   no
                  cost |  10.0 |   4 |  142.5 |  23.75 |   62 |  3 |      0 |      0 |    0.0 |   no
                  cost |  10.0 |   5 |  128.2 |  21.45 |   74 |  4 |      0 |      0 |    0.0 |   no
                  cost |  10.0 |   6 |   67.9 |  11.30 |   56 |  4 |      0 |      0 |    0.0 |   no
                  cost |  10.0 |   7 |  131.1 |   1.42 |   76 |  3 |      0 |      0 |    0.0 |   no
                  cost |  10.0 |   8 |  120.1 |  21.11 |   81 |  3 |      0 |      0 |    0.0 |   no
                  cost |  10.0 |   9 |  142.2 |  23.71 |   40 |  1 |      0 |      0 |    0.0 |   no
                  cost |  10.0 |  10 |   68.9 |  10.54 |   76 |  1 |      0 |      0 |    0.0 |   no
----------------------------------------------------------------------------------------------
impassable_no_aversion |   0.0 |   1 |   77.1 |  19.15 |   84 |  5 |      0 |      0 |    0.0 |   no
impassable_no_aversion |   0.0 |   2 |  121.9 |  21.72 |   88 |  4 |      0 |      0 |    0.0 |   no
impassable_no_aversion |   0.0 |   3 |   66.1 |  13.96 |  103 |  4 |      0 |      0 |    0.0 |   no
impassable_no_aversion |   0.0 |   4 |   60.3 |   9.93 |  101 |  4 |      0 |      0 |    0.0 |   no
impassable_no_aversion |   0.0 |   5 |   83.6 |   2.66 |   78 |  4 |      0 |      0 |    0.0 |   no
impassable_no_aversion |   0.0 |   6 |  143.5 |  21.06 |   55 |  3 |      0 |      0 |    0.0 |   no
impassable_no_aversion |   0.0 |   7 |  138.4 |  23.05 |   47 |  2 |      0 |      0 |    0.0 |   no
impassable_no_aversion |   0.0 |   8 |  122.1 |  20.56 |   86 |  5 |      0 |      0 |    0.0 |   no
impassable_no_aversion |   0.0 |   9 |   37.6 |   4.87 |   97 |  5 |      0 |      0 |    0.0 |   no
impassable_no_aversion |   0.0 |  10 |   48.2 |   0.37 |   81 |  1 |      0 |      0 |    0.0 |   no
----------------------------------------------------------------------------------------------
      cost_no_aversion |   0.1 |   1 |   59.9 |   2.58 |   84 |  4 |     28 |      0 |    2.8 |  YES
      cost_no_aversion |   0.1 |   2 |  143.8 |  23.96 |   57 |  1 |      0 |      0 |    0.0 |   no
      cost_no_aversion |   0.1 |   3 |  115.7 |  19.59 |   66 |  2 |      0 |      1 |    0.1 |   no
      cost_no_aversion |   0.1 |   4 |  119.9 |  20.08 |   56 |  1 |      3 |      2 |    0.5 |  YES
      cost_no_aversion |   0.1 |   5 |  105.6 |  18.63 |   68 |  2 |      0 |      0 |    0.0 |   no
      cost_no_aversion |   0.1 |   6 |   37.0 |  12.76 |   91 |  4 |      6 |     47 |    5.3 |  YES
      cost_no_aversion |   0.1 |   7 |   40.6 |  14.16 |   97 |  4 |      1 |      5 |    0.6 |  YES
      cost_no_aversion |   0.1 |   8 |  114.2 |  19.11 |   81 |  4 |    142 |    240 |   38.2 |  YES
      cost_no_aversion |   0.1 |   9 |  145.5 |  24.10 |   51 |  2 |     34 |      0 |    3.4 |  YES
      cost_no_aversion |   0.1 |  10 |   28.8 |   0.51 |   86 |  1 |     36 |     17 |    5.3 |  YES
----------------------------------------------------------------------------------------------
      cost_no_aversion |   0.5 |   1 |  141.3 |  23.55 |   54 |  2 |      3 |      0 |    1.5 |  YES
      cost_no_aversion |   0.5 |   2 |  127.1 |  21.19 |   55 |  2 |     11 |     10 |   10.5 |  YES
      cost_no_aversion |   0.5 |   3 |  102.1 |  20.78 |   64 |  4 |      1 |      1 |    1.0 |   no
      cost_no_aversion |   0.5 |   4 |   57.5 |  18.12 |   93 |  4 |      7 |      2 |    4.5 |  YES
      cost_no_aversion |   0.5 |   5 |   80.4 |   3.81 |   81 |  4 |     31 |      3 |   17.0 |  YES
      cost_no_aversion |   0.5 |   6 |  104.0 |  19.92 |   81 |  5 |     12 |      5 |    8.5 |  YES
      cost_no_aversion |   0.5 |   7 |   87.1 |   2.05 |   75 |  3 |      6 |      3 |    4.5 |  YES
      cost_no_aversion |   0.5 |   8 |   40.6 |   8.92 |   88 |  4 |      3 |      3 |    3.0 |  YES
      cost_no_aversion |   0.5 |   9 |  134.5 |  22.42 |   77 |  2 |     43 |      0 |   21.5 |  YES
      cost_no_aversion |   0.5 |  10 |  146.2 |  24.36 |   57 |  2 |      2 |      0 |    1.0 |   no
----------------------------------------------------------------------------------------------
      cost_no_aversion |   1.0 |   1 |  139.3 |  23.22 |   44 |  1 |      0 |      0 |    0.0 |   no
      cost_no_aversion |   1.0 |   2 |  109.4 |   1.20 |   59 |  2 |      0 |      0 |    0.0 |   no
      cost_no_aversion |   1.0 |   3 |   84.4 |   5.93 |   82 |  4 |     18 |      3 |   21.0 |  YES
      cost_no_aversion |   1.0 |   4 |  131.6 |  22.50 |   59 |  2 |      5 |      4 |    9.0 |  YES
      cost_no_aversion |   1.0 |   5 |   90.0 |  20.55 |   83 |  3 |     16 |      3 |   19.0 |  YES
      cost_no_aversion |   1.0 |   6 |   42.9 |   8.93 |   95 |  3 |      1 |      1 |    2.0 |   no
      cost_no_aversion |   1.0 |   7 |  139.8 |  23.37 |   53 |  2 |      5 |      0 |    5.0 |  YES
      cost_no_aversion |   1.0 |   8 |  107.7 |  23.23 |   64 |  2 |      0 |      0 |    0.0 |   no
      cost_no_aversion |   1.0 |   9 |   60.2 |   0.37 |   87 |  2 |     19 |      1 |   20.0 |  YES
      cost_no_aversion |   1.0 |  10 |   74.9 |  12.15 |   57 |  3 |     12 |     16 |   28.0 |  YES
----------------------------------------------------------------------------------------------
      cost_no_aversion |   2.0 |   1 |  102.3 |  17.39 |   76 |  3 |      9 |      1 |   20.0 |  YES
      cost_no_aversion |   2.0 |   2 |  145.4 |  24.24 |   49 |  2 |      0 |      0 |    0.0 |   no
      cost_no_aversion |   2.0 |   3 |  136.1 |  22.64 |   39 |  1 |      0 |      0 |    0.0 |   no
      cost_no_aversion |   2.0 |   4 |   75.4 |   8.71 |   77 |  4 |      2 |      1 |    6.0 |  YES
      cost_no_aversion |   2.0 |   5 |   60.0 |   0.00 |   63 |  1 |      4 |      0 |    8.0 |  YES
      cost_no_aversion |   2.0 |   6 |   81.4 |  19.16 |   92 |  5 |      2 |      6 |   16.0 |  YES
      cost_no_aversion |   2.0 |   7 |   83.1 |  14.24 |   75 |  3 |      8 |      1 |   18.0 |  YES
      cost_no_aversion |   2.0 |   8 |  139.7 |  23.28 |   77 |  4 |      1 |      5 |   12.0 |  YES
      cost_no_aversion |   2.0 |   9 |   53.7 |  13.17 |   72 |  3 |      2 |      3 |   10.0 |  YES
      cost_no_aversion |   2.0 |  10 |  145.4 |  24.24 |   54 |  3 |      4 |      0 |    8.0 |  YES
----------------------------------------------------------------------------------------------
      cost_no_aversion |   5.0 |   1 |   61.9 |   2.01 |   86 |  5 |     17 |      5 |  110.0 |  YES
      cost_no_aversion |   5.0 |   2 |  142.7 |  23.78 |   38 |  1 |      0 |      0 |    0.0 |   no
      cost_no_aversion |   5.0 |   3 |  114.2 |  21.79 |   71 |  3 |      0 |      4 |   20.0 |  YES
      cost_no_aversion |   5.0 |   4 |  137.9 |  22.99 |   47 |  1 |      0 |      0 |    0.0 |   no
      cost_no_aversion |   5.0 |   5 |  147.7 |  24.62 |   36 |  2 |      0 |      0 |    0.0 |   no
      cost_no_aversion |   5.0 |   6 |  142.4 |  23.67 |   52 |  2 |      0 |      0 |    0.0 |   no
      cost_no_aversion |   5.0 |   7 |  135.5 |  22.59 |   50 |  3 |      0 |      0 |    0.0 |   no
      cost_no_aversion |   5.0 |   8 |  112.8 |  19.41 |   86 |  4 |     12 |      0 |   60.0 |  YES
      cost_no_aversion |   5.0 |   9 |   38.4 |   9.37 |   91 |  3 |      0 |      6 |   30.0 |  YES
      cost_no_aversion |   5.0 |  10 |   52.3 |   9.62 |   96 |  4 |     13 |      0 |   65.0 |  YES
----------------------------------------------------------------------------------------------
      cost_no_aversion |  10.0 |   1 |  146.7 |  24.44 |   27 |  1 |      0 |      0 |    0.0 |   no
      cost_no_aversion |  10.0 |   2 |  113.1 |  18.85 |   49 |  1 |     41 |      0 |  410.0 |  YES
      cost_no_aversion |  10.0 |   3 |  138.5 |  23.15 |   76 |  3 |     15 |      0 |  150.0 |  YES
      cost_no_aversion |  10.0 |   4 |  141.0 |  23.32 |   67 |  2 |      2 |      0 |   20.0 |   no
      cost_no_aversion |  10.0 |   5 |   42.3 |  11.19 |   99 |  4 |      4 |      0 |   40.0 |  YES
      cost_no_aversion |  10.0 |   6 |   58.6 |   6.49 |   85 |  3 |      6 |      0 |   60.0 |  YES
