arch,run_idx,agent,seed,hazard_cost,num_steps,activation_step,end_state_banked_step,steps_draw_to_bank,end_state_draw_active
v1_15,0,a,202358875,0.1,1000000,,,,False
v1_15,0,b,202378875,0.1,1000000,,,,False
v1_15,1,a,1869897005,0.1,1000000,,,,False
v1_15,1,b,1869917005,0.1,1000000,,,,False
v1_15,2,a,1489290374,0.1,1000000,,,,False
v1_15,2,b,1489310374,0.1,1000000,,,,False
v1_15,3,a,1108683743,0.1,1000000,,,,False
v1_15,3,b,1108703743,0.1,1000000,,,,False
v1_15,4,a,628738225,0.1,1000000,,,,False
v1_15,4,b,628758225,0.1,1000000,,,,False
v1_15,5,a,248131594,0.1,1000000,,,,False
v1_15,5,b,248151594,0.1,1000000,,,,False
v1_15,6,a,1915669724,0.1,1000000,,,,False
v1_15,6,b,1915689724,0.1,1000000,,,,False
v1_15,7,a,1535063093,0.1,1000000,,,,False
v1_15,7,b,1535083093,0.1,1000000,,,,False
v1_15,8,a,1154456462,0.1,1000000,,,,False
v1_15,8,b,1154476462,0.1,1000000,,,,False
v1_15,9,a,674510944,0.1,1000000,,,,False
v1_15,9,b,674530944,0.1,1000000,,,,False
v1_15,10,a,10,1.0,1000000,,,,False
v1_15,10,b,20010,1.0,1000000,,,,False
v1_15,11,a,1010,1.0,1000000,,,,False
v1_15,11,b,21010,1.0,1000000,,,,False
v1_15,12,a,2010,1.0,1000000,,,,False
v1_15,12,b,22010,1.0,1000000,,,,False
v1_15,13,a,3010,1.0,1000000,,,,False
v1_15,13,b,23010,1.0,1000000,,,,False
v1_15,14,a,4010,1.0,1000000,,,,False
v1_15,14,b,24010,1.0,1000000,,,,False
v1_15,15,a,5010,1.0,1000000,,,,False
v1_15,15,b,25010,1.0,1000000,,,,False
v1_15,16,a,6010,1.0,1000000,,,,False
v1_15,16,b,26010,1.0,1000000,,,,False
v1_15,17,a,7010,1.0,1000000,,,,False
v1_15,17,b,27010,1.0,1000000,,,,False
v1_15,18,a,8010,1.0,1000000,,,,False
v1_15,18,b,28010,1.0,1000000,,,,False
v1_15,19,a,9010,1.0,1000000,,,,False
v1_15,19,b,29010,1.0,1000000,,,,False
v1_15,20,a,20,2.0,1000000,,,,False
v1_15,20,b,20020,2.0,1000000,,,,False
v1_15,21,a,1020,2.0,1000000,,,,False
v1_15,21,b,21020,2.0,1000000,,,,False
v1_15,22,a,2020,2.0,1000000,,,,False
v1_15,22,b,22020,2.0,1000000,,,,False
v1_15,23,a,3020,2.0,1000000,,,,False
v1_15,23,b,23020,2.0,1000000,,,,False
v1_15,24,a,4020,2.0,1000000,,,,False
v1_15,24,b,24020,2.0,1000000,,,,False
v1_15,25,a,5020,2.0,1000000,,,,False
v1_15,25,b,25020,2.0,1000000,,,,False
v1_15,26,a,6020,2.0,1000000,,,,False
v1_15,26,b,26020,2.0,1000000,,,,False
v1_15,27,a,7020,2.0,1000000,,,,False
v1_15,27,b,27020,2.0,1000000,,,,False
v1_15,28,a,8020,2.0,1000000,,,,False
v1_15,28,b,28020,2.0,1000000,,,,False
v1_15,29,a,9020,2.0,1000000,,,,False
v1_15,29,b,29020,2.0,1000000,,,,False
v1_15,30,a,100,10.0,1000000,,,,False
v1_15,30,b,20100,10.0,1000000,,,,False
v1_15,31,a,1100,10.0,1000000,,,,False
v1_15,31,b,21100,10.0,1000000,,,,False
v1_15,32,a,2100,10.0,1000000,,,,False
v1_15,32,b,22100,10.0,1000000,,,,False
v1_15,33,a,3100,10.0,1000000,,,,False
v1_15,33,b,23100,10.0,1000000,,,,False
v1_15,34,a,4100,10.0,1000000,,,,False
v1_15,34,b,24100,10.0,1000000,,,,False
v1_15,35,a,5100,10.0,1000000,,,,False
v1_15,35,b,25100,10.0,1000000,,,,False
v1_15,36,a,6100,10.0,1000000,,,,False
v1_15,36,b,26100,10.0,1000000,,,,False
v1_15,37,a,7100,10.0,1000000,,,,False
v1_15,37,b,27100,10.0,1000000,,,,False
v1_15,38,a,8100,10.0,1000000,,,,False
v1_15,38,b,28100,10.0,1000000,,,,False
v1_15,39,a,9100,10.0,1000000,,,,False
v1_15,39,b,29100,10.0,1000000,,,,False
