arch,run_idx,agent,seed,hazard_cost,num_steps,total_statements,statements_q1,statements_q2,statements_q3,statements_q4,statements_q5,statements_q6,hallucination_count,q1_formation_depth,q3_surprise_cells,q3_resolution_stated,report_complete,statements_with_relevance_markers,goal_statement_present,goal_resolution_stated,q4_statement_count,suppressed_approach_count,goal_relevant_suppressed_count,br_statement_count,revised_expectation_count,mean_approach_delta,bias_effective,cf_records_raw,cf_records_emitted,cf_exclusion_rate,end_state_draw_active,end_state_banked_step,causal_chain_count,mean_chain_depth,complete_chain_count,q5_statement_count,predicted_record_written,predicted_record_state,social_corroboration_fired,zpd_delta
v1_15_2,13,b,23010,1.0,1000000,53,10,0,0,0,1,1,0,10,0,0,True,0,True,True,0,30,8,0,1,0.0,False,151,30,0.8013,False,,0,0.0,0,1,True,confirmed,True,224723
v1_15_2,14,a,4010,1.0,1000000,99,11,0,0,0,1,0,0,11,0,0,True,0,True,True,0,76,15,0,1,0.0,False,202,76,0.6238,False,,0,0.0,0,1,True,confirmed,False,208230
v1_15_2,14,b,24010,1.0,1000000,92,10,0,0,0,1,1,0,10,0,0,True,0,True,True,0,69,12,0,1,0.0,False,186,69,0.629,False,,0,0.0,0,1,True,confirmed,True,207667
v1_15_2,15,a,5010,1.0,1000000,1733,9,0,0,0,1,0,0,9,0,0,True,0,True,False,0,1713,509,0,1,0.0,False,2066,1713,0.1709,False,,0,0.0,0,1,True,unresolvable,False,
v1_15_2,15,b,25010,1.0,1000000,3032,9,0,0,0,1,0,0,9,0,0,True,0,True,False,0,3012,852,0,1,0.0,False,3573,3012,0.157,False,,0,0.0,0,1,True,unresolvable,False,
v1_15_2,16,a,6010,1.0,1000000,74,10,0,0,0,1,1,0,10,0,0,True,0,True,True,0,51,18,0,1,0.0,False,180,51,0.7167,False,,0,0.0,0,1,True,confirmed,True,215731
v1_15_2,16,b,26010,1.0,1000000,473,11,0,0,0,1,0,0,11,0,0,True,0,True,True,0,450,153,0,1,0.0,False,674,450,0.3323,False,,0,0.0,0,1,True,confirmed,False,73188
v1_15_2,17,a,7010,1.0,1000000,34,10,0,0,0,1,0,0,10,0,0,True,0,True,True,0,12,2,0,1,0.0,False,124,12,0.9032,False,,0,0.0,0,1,True,confirmed,False,229730
v1_15_2,17,b,27010,1.0,1000000,140,11,0,0,0,1,1,0,11,0,0,True,0,True,True,0,116,19,0,1,0.0,False,234,116,0.5043,False,,0,0.0,0,1,True,confirmed,True,187208
v1_15_2,18,a,8010,1.0,1000000,1746,12,0,0,0,1,0,0,12,0,0,True,0,True,True,0,1722,469,0,1,0.0,False,2107,1722,0.1827,False,,0,0.0,0,1,True,confirmed,False,-376079
