arch,run_idx,seed,hazard_cost,num_steps,total_statements,statements_q1,statements_q2,statements_q3,statements_q4,statements_q5,hallucination_count,q1_formation_depth,q3_surprise_cells,q3_resolution_stated,report_complete,statements_with_relevance_markers,goal_statement_present,goal_resolution_stated,q4_statement_count,suppressed_approach_count,goal_relevant_suppressed_count,br_statement_count,revised_expectation_count,mean_approach_delta,bias_effective,cf_records_raw,cf_records_emitted,cf_exclusion_rate,end_state_draw_active,end_state_banked_step,causal_chain_count,mean_chain_depth,complete_chain_count,q5_statement_count,predicted_record_written,predicted_record_state
v1_14_1,30,100,10.0,1000000,39,8,0,0,0,2,0,8,0,0,True,0,True,False,0,14,4,0,1,64.0,True,145,14,0.9034,False,,1,6.0,1,2,True,confirmed
v1_14_1,31,1100,10.0,1000000,52,9,0,0,0,2,0,9,0,0,True,0,True,False,0,26,9,0,1,308.0,True,140,26,0.8143,False,,1,6.0,1,2,True,confirmed
v1_14_1,32,2100,10.0,1000000,151,9,0,0,0,2,0,9,0,0,True,0,True,True,0,125,19,0,1,958.0,True,251,125,0.502,False,,1,6.0,1,2,True,confirmed
v1_14_1,33,3100,10.0,1000000,149,10,0,0,0,2,0,10,0,0,True,0,True,False,0,122,33,0,1,94.0,True,278,122,0.5612,False,,1,6.0,1,2,True,confirmed
v1_14_1,34,4100,10.0,1000000,46,13,0,0,0,2,0,13,0,0,True,0,True,True,0,14,4,0,1,69.0,True,144,14,0.9028,False,741,1,6.0,1,2,True,confirmed
v1_14_1,35,5100,10.0,1000000,277,9,0,0,0,2,0,9,0,0,True,0,True,True,0,251,46,0,1,903.0,True,404,251,0.3787,False,,1,6.0,1,2,True,confirmed
v1_14_1,36,6100,10.0,1000000,3069,8,0,0,0,1,0,8,0,0,True,0,True,False,0,3046,914,0,1,920.0,True,3671,3046,0.1703,False,,1,6.0,1,1,False,
v1_14_1,37,7100,10.0,1000000,141,8,0,0,0,2,0,8,0,0,True,0,True,True,0,116,38,0,1,40.0,True,257,116,0.5486,False,,1,6.0,1,2,True,confirmed
v1_14_1,38,8100,10.0,1000000,258,9,0,0,0,2,0,9,0,0,True,0,True,True,0,232,43,0,1,142.0,True,361,232,0.3573,False,,1,6.0,1,2,True,confirmed
v1_14_1,39,9100,10.0,1000000,872,9,0,0,0,2,0,9,0,0,True,0,True,False,0,846,254,0,1,862.0,True,1092,846,0.2253,False,,1,6.0,1,2,True,confirmed
