arch,run_idx,seed,hazard_cost,num_steps,object_id,surprise_step,resolution_step,resolution_window,suppressed_approach_count,pre_threshold_entries_at_surprise,bias_active_steps,approach_delta
,,,,,haz_yellow,24362,24362,0,13,1,0,0
,,,,,haz_yellow,24361,24361,0,14,1,0,0
,,,,,haz_unaff_0,37,37,0,0,1,0,0
,,,,,haz_yellow,590,590,0,2,1,0,0
,,,,,haz_yellow,590,590,0,1,1,0,0
,,,,,haz_yellow,537,537,0,1,1,0,0
,,,,,haz_yellow,536,536,0,1,1,0,0
,,,,,haz_yellow,537,537,0,1,1,0,0
,,,,,haz_yellow,536,536,0,1,1,0,0
,,,,,haz_yellow,536,536,0,1,1,0,0
,,,,,haz_yellow,536,536,0,1,1,0,0
,,,,,haz_yellow,537,537,0,1,1,0,0
,,,,,haz_unaff_2,15359,15359,0,3,1,0,0
,,,,,haz_yellow,536,536,0,1,1,0,0
,,,,,haz_yellow,609,609,0,2,1,0,0
,,,,,haz_yellow,608,608,0,2,1,0,0
,,,,,haz_yellow,537,537,0,1,1,0,0
,,,,,haz_yellow,536,536,0,1,1,0,0
,,,,,haz_unaff_0,40,40,0,0,1,0,0
,,,,,haz_yellow,63922,63922,0,35,1,0,0
,,,,,haz_yellow,63921,63921,0,27,1,0,0
,,,,,haz_yellow,536,536,0,1,1,0,0
,,,,,haz_yellow,536,536,0,1,1,0,0
,,,,,haz_yellow,536,536,0,1,1,0,0
,,,,,haz_yellow,536,536,0,1,1,0,0
,,,,,haz_yellow,645,645,0,2,1,0,0
,,,,,haz_yellow,645,645,0,1,1,0,0
,,,,,haz_yellow,94072,94072,0,48,1,0,0
,,,,,haz_yellow,94071,94071,0,51,1,0,0
,,,,,haz_yellow,537,537,0,1,1,0,0
,,,,,haz_yellow,536,536,0,1,1,0,0
,,,,,haz_yellow,668,668,0,1,1,0,0
,,,,,haz_yellow,667,667,0,1,1,0,0
,,,,,haz_yellow,584,584,0,1,1,0,0
,,,,,haz_yellow,583,583,0,1,1,0,0
,,,,,haz_yellow,536,536,0,1,1,0,0
,,,,,haz_yellow,536,536,0,1,1,0,0
,,,,,haz_yellow,536,536,0,1,1,0,0
,,,,,haz_yellow,536,536,0,1,1,0,0
,,,,,haz_yellow,81022,81022,0,38,1,0,0
,,,,,haz_yellow,81021,81021,0,35,1,0,0
,,,,,haz_yellow,610,610,0,2,1,0,0
,,,,,haz_yellow,609,609,0,2,1,0,0
,,,,,haz_yellow,536,536,0,1,1,0,0
,,,,,haz_yellow,536,536,0,1,1,0,0
,,,,,haz_unaff_0,1983,1983,0,2,1,0,0
,,,,,haz_yellow,538,538,0,1,1,0,0
,,,,,haz_yellow,537,537,0,1,1,0,0
,,,,,haz_yellow,539,539,0,1,1,0,0
,,,,,haz_yellow,538,538,0,1,1,0,0
,,,,,haz_yellow,537,537,0,1,1,0,0
,,,,,haz_yellow,537,537,0,1,1,0,0
,,,,,haz_yellow,736,736,0,1,1,0,0
,,,,,haz_unaff_1,56,56,0,0,1,0,0
,,,,,haz_yellow,736,736,0,1,1,0,0
,,,,,haz_yellow,574,574,0,1,1,0,0
,,,,,haz_yellow,574,574,0,1,1,0,0
,,,,,haz_yellow,536,536,0,1,1,0,0
,,,,,haz_yellow,536,536,0,1,1,0,0
,,,,,haz_yellow,537,537,0,1,1,0,0
,,,,,haz_yellow,536,536,0,1,1,0,0
,,,,,haz_yellow,850,850,0,2,1,0,0
,,,,,haz_unaff_2,535,535,0,2,1,0,0
,,,,,haz_yellow,850,850,0,1,1,0,0
,,,,,haz_unaff_0,813,813,0,2,1,0,0
,,,,,haz_yellow,36305,36305,0,16,1,0,0
,,,,,haz_yellow,36304,36304,0,15,1,0,0
,,,,,haz_yellow,175759,175759,0,73,1,0,0
,,,,,haz_yellow,175758,175758,0,76,1,0,0
,,,,,haz_yellow,1870,1870,0,1,1,0,0
,,,,,haz_yellow,1869,1869,0,2,1,0,0
,,,,,haz_yellow,537,537,0,1,1,0,0
,,,,,haz_yellow,536,536,0,1,1,0,0
,,,,,haz_yellow,536,536,0,1,1,0,0
,,,,,haz_yellow,536,536,0,1,1,0,0
,,,,,haz_yellow,538,538,0,1,1,0,0
,,,,,haz_yellow,537,537,0,1,1,0,0
,,,,,haz_yellow,556,556,0,1,1,0,0
,,,,,haz_unaff_0,509,509,0,1,1,0,0
,,,,,haz_yellow,555,555,0,2,1,0,0
,,,,,haz_yellow,587,587,0,1,1,0,0
,,,,,haz_yellow,587,587,0,1,1,0,0
,,,,,haz_unaff_2,40107,40107,0,7,1,0,0
,,,,,haz_yellow,3494,3494,0,2,1,0,0
,,,,,haz_unaff_2,532,532,0,2,1,0,0
,,,,,haz_yellow,3493,3493,0,4,1,0,0
,,,,,haz_yellow,259625,259625,0,102,1,0,0
,,,,,haz_yellow,259624,259624,0,133,1,0,0
,,,,,haz_yellow,645,645,0,1,1,0,0
,,,,,haz_yellow,645,645,0,1,1,0,0
